defense,offense,rule,boost_pct,approx_calmar,calmar,cagr,mdd,sharpe,sortino
31,0,Breadth40_1d,53.923853923853926,5.058629227722097,5.781,145.62,25.19,2.238,3.565
31,1,Breadth40_1d,53.923853923853926,4.769723503537621,5.607,141.22,25.19,2.199,3.504
31,4,Breadth40_7d,55.78865578865578,4.9056452689579855,5.217,127.52,24.44,2.204,3.448
31,4,Breadth30_7d,70.47397047397047,5.2064365186745265,5.184,126.72,24.44,2.215,3.452
17,4,Breadth30_7d,70.47397047397047,5.245086179699899,5.055,123.55,24.44,2.187,3.408
17,4,Breadth30_5d,70.16317016317016,5.078283228533997,5.029,122.91,24.44,2.177,3.418
31,4,Breadth30_5d,70.16317016317016,5.106184780463521,5.008,124.14,24.79,2.185,3.422
15,4,Breadth30_7d,70.47397047397047,5.115245181445175,4.94,120.75,24.44,2.152,3.367
15,4,Breadth30_5d,70.16317016317016,4.950761947991817,4.902,119.81,24.44,2.138,3.367
12,4,Breadth30_5d,70.16317016317016,4.943584874430093,4.898,119.72,24.44,2.137,3.356
12,4,Breadth30_3d,70.55167055167055,4.887751980195401,4.892,119.27,24.38,2.126,3.351
12,4,Breadth30_7d,70.47397047397047,4.953132480719318,4.887,119.45,24.44,2.136,3.331
17,4,KQ_MA120_7d,52.75835275835276,4.7693043581310155,4.878,122.85,25.19,2.171,3.37
17,1,Breadth30_7d,70.47397047397047,4.963288275024007,4.722,127.84,27.07,2.026,3.243
17,0,KQ_MA120_7d,52.75835275835276,5.454181797327362,4.646,129.31,27.84,2.09,3.268
15,0,KK_MA120_5d,50.038850038850036,4.74799404311894,4.639,125.96,27.15,2.061,3.21
17,0,Breadth30_7d,70.47397047397047,5.188959265398912,4.631,125.38,27.07,2.017,3.203
17,1,KQ_MA120_7d,52.75835275835276,5.003571928831284,4.629,128.34,27.72,2.071,3.252
14,0,KK_MA120_5d,50.038850038850036,4.80137086456717,4.603,124.22,26.99,2.047,3.176
5,4,Breadth30_7d,70.47397047397047,4.861064114844961,4.598,112.38,24.44,2.054,3.196
31,1,Breadth30_5d,70.16317016317016,5.008354275304459,4.597,124.47,27.07,1.985,3.22
12,0,KK_MA120_3d,50.815850815850816,4.789738156597986,4.597,123.93,26.96,2.065,3.179
15,0,KQ_MA120_7d,52.75835275835276,5.375209135278366,4.569,127.18,27.84,2.062,3.244
5,0,KP_MA120+VIX_lt25_5d,56.17715617715617,4.851627430461664,4.56,133.39,29.25,2.102,3.314
15,1,KQ_MA120_7d,52.75835275835276,4.928938208517888,4.553,126.21,27.72,2.043,3.228
17,1,Breadth30_5d,70.16317016317016,4.981605099359376,4.552,123.24,27.07,1.977,3.213
17,0,Breadth40_1d,53.923853923853926,5.088043867399722,4.536,138.96,30.64,2.185,3.487
5,0,KQ_MA120_7d,52.75835275835276,5.151308490138332,4.53,126.89,28.01,2.057,3.236
15,0,Breadth30_7d,70.47397047397047,4.966887851651065,4.527,122.55,27.07,1.987,3.166
