v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
25,0,50,25,0.6,12m,101.18,27.94,3.621,1.691,2.715
10,0,65,25,0.7,12m-1m,111.61,35.77,3.12,1.749,2.82
15,5,60,20,0.6,12m-1m,102.1,33.29,3.067,1.671,2.662
10,0,60,30,0.7,12m-1m,108.16,36.18,2.989,1.721,2.78
15,0,65,20,0.7,12m-1m,97.16,32.93,2.95,1.635,2.61
20,5,60,15,0.7,12m,95.15,33.43,2.847,1.612,2.509
20,5,60,15,0.6,12m,96.99,34.25,2.832,1.608,2.539
10,0,65,25,0.6,12m-1m,105.56,37.55,2.812,1.695,2.691
20,5,50,25,0.8,12m,96.78,35.05,2.761,1.6,2.442
15,0,60,25,0.7,12m-1m,94.08,34.51,2.726,1.597,2.564
25,0,50,25,0.5,12m,84.61,31.21,2.711,1.524,2.446
20,0,55,25,0.6,12m,96.88,35.77,2.708,1.596,2.537
0,0,75,25,0.4,12m,97.44,36.38,2.679,1.602,2.593
15,5,65,15,0.6,12m-1m,92.43,34.56,2.674,1.572,2.505
15,0,70,15,0.8,12m-1m,100.03,37.52,2.666,1.659,2.566
15,5,60,20,0.6,12m,93.86,35.21,2.665,1.6,2.558
10,10,55,25,0.6,12m-1m,103.19,38.93,2.651,1.684,2.741
15,10,50,25,0.6,12m,97.09,36.8,2.638,1.63,2.628
10,10,50,30,0.6,12m,100.46,38.3,2.623,1.658,2.659
15,5,55,25,0.7,12m-1m,95.05,36.41,2.61,1.619,2.602
15,0,65,20,0.6,12m,98.29,37.8,2.6,1.633,2.634
25,0,55,20,0.8,12m-1m,94.8,36.58,2.591,1.613,2.491
20,0,65,15,0.6,12m,89.33,34.55,2.586,1.534,2.506
25,0,55,20,0.8,12m,94.1,36.52,2.577,1.598,2.475
15,0,60,25,0.6,12m,101.88,39.54,2.577,1.659,2.673
10,0,75,15,0.6,12m-1m,94.94,36.92,2.571,1.585,2.559
10,5,55,30,0.6,12m,104.31,40.75,2.559,1.692,2.717
15,5,60,20,0.7,12m-1m,95.83,37.52,2.554,1.609,2.486
5,15,55,25,0.6,12m-1m,100.78,39.51,2.551,1.666,2.702
20,5,55,20,0.6,12m-1m,91.48,35.88,2.549,1.579,2.473
10,0,60,30,0.6,12m-1m,105.01,41.19,2.549,1.702,2.706
15,0,65,20,0.7,12m,99.59,39.32,2.533,1.642,2.559
15,5,60,20,0.5,12m-1m,87.39,34.78,2.513,1.531,2.447
15,0,70,15,0.7,12m-1m,89.12,35.52,2.509,1.539,2.409
5,15,60,20,0.6,12m-1m,99.71,40.03,2.491,1.651,2.678
10,0,70,20,0.6,12m-1m,100.38,40.37,2.487,1.644,2.607
10,5,65,20,0.7,12m-1m,86.94,34.98,2.485,1.544,2.483
20,5,60,15,0.6,12m-1m,83.97,33.91,2.476,1.491,2.388
20,5,50,25,0.8,12m-1m,97.65,39.55,2.469,1.636,2.578
15,5,65,15,0.5,12m-1m,88.05,35.86,2.456,1.519,2.452
20,0,70,10,0.6,12m,84.28,34.46,2.446,1.51,2.377
20,5,50,25,0.6,12m,80.47,32.95,2.442,1.458,2.311
15,0,55,30,0.6,12m-1m,98.35,40.55,2.425,1.623,2.571
10,15,55,20,0.5,12m,100.34,41.61,2.412,1.663,2.644
25,0,55,20,0.5,12m,75.64,31.4,2.409,1.419,2.271
5,10,60,25,0.6,12m-1m,93.45,38.85,2.405,1.584,2.57
5,15,65,15,0.6,12m,87.86,36.76,2.39,1.547,2.473
15,10,60,15,0.6,12m-1m,85.45,35.75,2.39,1.527,2.41
10,10,65,15,0.6,12m-1m,89.46,37.45,2.389,1.558,2.447
20,0,60,20,0.8,12m,95.27,40.04,2.379,1.589,2.495
20,5,55,20,0.8,12m,93.28,39.35,2.37,1.602,2.474
5,10,60,25,0.4,12m,93.61,39.51,2.369,1.592,2.533
20,5,50,25,0.7,12m-1m,90.35,38.24,2.363,1.562,2.458
15,5,50,30,0.6,12m,96.18,40.73,2.361,1.603,2.618
20,10,45,25,0.7,12m-1m,94.64,40.12,2.359,1.603,2.522
10,5,55,30,0.6,12m-1m,99.6,42.27,2.357,1.645,2.616
15,5,70,10,0.5,12m-1m,77.96,33.07,2.357,1.421,2.276
15,5,55,25,0.6,12m-1m,92.69,39.34,2.356,1.579,2.523
15,0,55,30,0.6,12m,93.99,39.92,2.355,1.579,2.602
10,15,60,15,0.5,12m-1m,87.99,37.47,2.348,1.539,2.45
20,0,65,15,0.8,12m,87.83,37.42,2.347,1.52,2.361
20,0,55,25,0.7,12m,88.34,37.75,2.34,1.513,2.348
5,15,60,20,0.6,12m,92.14,39.6,2.327,1.578,2.552
15,0,60,25,0.6,12m-1m,92.35,39.7,2.326,1.571,2.517
20,5,55,20,0.7,12m,88.69,38.16,2.324,1.539,2.381
10,5,60,25,0.6,12m-1m,90.87,39.34,2.31,1.556,2.515
0,5,75,20,0.3,12m,87.17,37.74,2.309,1.534,2.475
20,5,50,25,0.5,12m,79.03,34.25,2.308,1.424,2.333
10,0,75,15,0.5,12m-1m,100.31,43.63,2.299,1.627,2.63
5,5,60,30,0.7,12m,103.42,45.15,2.29,1.676,2.755
10,15,50,25,0.6,12m,91.14,39.87,2.286,1.568,2.512
15,5,65,15,0.7,12m,91.34,39.96,2.286,1.551,2.445
10,5,60,25,0.7,12m-1m,89.73,39.36,2.28,1.552,2.525
