v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
25,10,20,45,0.3,6m-1m,66.56,24.6,2.706,1.534,2.199
15,10,25,50,0.6,6m-1m,79.63,29.84,2.669,1.709,2.466
15,5,30,50,0.6,6m-1m,84.85,32.29,2.628,1.771,2.581
15,10,25,50,0.7,6m-1m,73.09,28.71,2.546,1.593,2.287
25,10,20,45,0.4,6m-1m,74.55,30.2,2.468,1.644,2.337
20,10,20,50,0.6,6m-1m,64.4,26.34,2.445,1.473,2.051
25,10,25,40,0.4,6m,61.24,25.11,2.439,1.402,2.037
20,15,25,40,0.4,6m,66.42,27.46,2.418,1.485,2.112
20,5,25,50,0.6,6m-1m,73.02,31.05,2.352,1.601,2.314
15,10,25,50,0.5,6m-1m,72.98,31.47,2.319,1.611,2.322
15,5,25,55,0.7,6m-1m,71.41,30.84,2.316,1.573,2.309
25,5,35,35,0.3,6m-1m,63.51,28.27,2.247,1.482,2.209
20,5,25,50,0.5,6m-1m,72.21,32.39,2.229,1.58,2.324
10,15,25,50,0.3,6m-1m,65.18,29.27,2.227,1.493,2.12
15,15,25,45,0.3,6m-1m,70.19,31.81,2.207,1.562,2.219
20,15,25,40,0.3,6m,63.01,28.56,2.206,1.431,2.074
20,15,20,45,0.5,6m-1m,68.62,31.13,2.204,1.571,2.229
10,20,30,40,0.6,6m-1m,65.17,29.75,2.191,1.434,2.048
15,15,20,50,0.7,6m-1m,69.95,31.95,2.189,1.551,2.202
15,5,25,55,0.6,6m-1m,71.75,32.78,2.189,1.586,2.308
20,15,25,40,0.6,6m-1m,62.67,29.02,2.159,1.448,2.072
20,15,20,45,0.6,6m-1m,66.5,30.91,2.151,1.517,2.095
15,10,20,55,0.5,6m-1m,66.23,31.02,2.135,1.518,2.15
25,10,15,50,0.5,6m-1m,61.67,28.89,2.135,1.471,2.043
20,5,20,55,0.5,6m-1m,64.98,30.46,2.133,1.481,2.083
20,0,30,50,0.5,6m-1m,71.07,33.34,2.132,1.568,2.307
25,10,20,45,0.5,6m-1m,68.88,32.41,2.125,1.547,2.149
15,15,20,50,0.6,6m-1m,69.17,32.69,2.116,1.554,2.199
25,5,25,45,0.3,6m-1m,61.78,29.24,2.113,1.447,2.124
10,5,25,60,0.6,6m-1m,70.61,33.46,2.11,1.557,2.258
15,15,25,45,0.4,6m-1m,66.23,31.51,2.102,1.513,2.171
25,5,15,55,0.3,6m-1m,60.45,28.83,2.097,1.456,2.084
20,20,25,35,0.8,6m-1m,56.17,26.8,2.096,1.341,1.942
25,10,15,50,0.4,6m-1m,60.22,28.89,2.085,1.451,2.012
10,20,20,50,0.6,6m-1m,65.68,31.56,2.081,1.494,2.155
15,0,30,55,0.6,6m-1m,75.73,36.41,2.08,1.619,2.328
10,5,25,60,0.7,6m-1m,64.29,31.18,2.062,1.453,2.07
20,15,25,40,0.5,6m,60.62,29.44,2.059,1.386,1.975
10,20,20,50,0.7,6m-1m,62.86,30.55,2.057,1.434,2.059
25,5,30,40,0.3,6m-1m,55.84,27.21,2.053,1.364,1.986
20,15,20,45,0.3,6m-1m,62.76,30.58,2.052,1.478,2.088
25,5,20,50,0.3,6m-1m,59.27,28.88,2.052,1.418,2.054
15,5,30,50,0.5,6m-1m,73.0,35.6,2.051,1.592,2.315
25,10,25,40,0.3,6m,56.65,27.62,2.051,1.36,1.993
10,20,40,30,0.3,6m,66.74,32.62,2.046,1.444,2.169
10,20,25,45,0.5,6m-1m,61.85,30.27,2.043,1.426,2.024
20,10,20,50,0.7,6m-1m,67.52,33.09,2.04,1.512,2.12
15,15,30,40,0.3,6m-1m,58.21,28.61,2.035,1.373,1.997
20,5,25,50,0.3,6m,62.15,30.68,2.026,1.406,2.027
20,0,20,60,0.8,6m-1m,58.41,28.87,2.024,1.373,2.0
20,0,30,50,0.6,6m-1m,73.36,36.27,2.023,1.597,2.353
20,10,25,45,0.3,6m-1m,66.81,33.05,2.022,1.516,2.169
20,5,30,45,0.4,6m-1m,65.5,32.4,2.022,1.494,2.178
20,5,30,45,0.5,6m-1m,73.91,36.66,2.016,1.622,2.391
10,15,30,45,0.8,6m-1m,65.2,32.4,2.013,1.459,2.122
15,10,25,50,0.8,6m-1m,69.59,34.6,2.011,1.526,2.169
25,10,30,35,0.3,6m,60.74,30.27,2.006,1.421,2.082
25,0,20,55,0.3,6m-1m,60.46,30.16,2.005,1.421,2.106
30,10,30,30,0.3,6m-1m,59.73,29.85,2.001,1.431,2.142
25,10,15,50,0.3,6m-1m,57.59,28.89,1.994,1.41,1.991
25,5,25,45,0.5,6m,57.6,28.9,1.993,1.325,1.917
15,15,35,35,0.3,6m-1m,63.92,32.11,1.991,1.452,2.146
10,5,25,60,0.5,6m-1m,64.47,32.38,1.991,1.463,2.1
20,0,25,55,0.7,6m-1m,65.97,33.2,1.987,1.471,2.099
20,0,30,50,0.7,6m-1m,69.28,34.91,1.984,1.531,2.241
10,20,20,50,0.8,6m-1m,64.79,32.74,1.979,1.452,2.103
15,10,25,50,0.4,6m-1m,64.48,32.69,1.972,1.484,2.145
25,10,25,40,0.5,6m,52.51,26.64,1.971,1.262,1.827
15,15,25,45,0.6,6m-1m,59.21,30.09,1.968,1.398,2.003
15,5,20,60,0.4,6m-1m,60.15,30.56,1.968,1.41,2.023
20,15,20,45,0.4,6m-1m,64.25,32.73,1.963,1.501,2.117
20,5,40,35,0.3,6m-1m,56.32,28.76,1.959,1.343,1.964
20,10,20,50,0.8,6m-1m,66.96,34.17,1.959,1.517,2.16
10,5,25,60,0.8,6m-1m,59.89,30.68,1.952,1.371,1.898
20,0,20,60,0.5,6m-1m,63.78,32.69,1.951,1.445,2.075
20,15,20,45,0.7,6m-1m,64.3,33.01,1.948,1.476,2.098
25,5,20,50,0.5,6m-1m,66.41,34.26,1.938,1.509,2.184
20,10,25,45,0.6,6m,64.69,33.51,1.931,1.434,2.087
20,10,25,45,0.3,6m,60.25,31.26,1.928,1.399,2.035
15,10,20,55,0.6,6m-1m,61.27,31.99,1.916,1.432,2.063
20,0,25,55,0.6,6m-1m,67.2,35.16,1.911,1.503,2.193
10,15,30,45,0.3,6m-1m,60.03,31.56,1.902,1.39,1.994
20,10,25,45,0.5,6m,57.8,30.45,1.898,1.337,1.929
30,0,20,50,0.6,6m-1m,58.41,30.79,1.897,1.395,1.983
20,5,20,55,0.8,6m-1m,64.7,34.15,1.895,1.464,2.102
10,20,25,45,0.4,6m-1m,60.57,31.99,1.893,1.41,1.986
10,15,30,45,0.7,6m-1m,66.87,35.35,1.892,1.486,2.151
25,0,20,55,0.7,6m-1m,63.17,33.43,1.889,1.441,2.064
20,10,30,40,0.5,6m,63.32,33.58,1.886,1.44,2.1
10,20,30,40,0.4,6m-1m,58.36,30.94,1.886,1.322,1.855
20,10,30,40,0.5,6m-1m,61.46,32.62,1.884,1.425,1.952
20,5,30,45,0.6,6m-1m,63.76,34.0,1.875,1.434,1.98
10,15,20,55,0.6,6m-1m,66.57,35.53,1.874,1.508,2.156
20,10,30,40,0.3,6m,63.76,34.04,1.873,1.448,2.099
20,10,20,50,0.3,6m,56.84,30.38,1.871,1.341,1.979
10,15,25,50,0.7,6m-1m,62.77,33.61,1.867,1.433,2.073
15,15,20,50,0.8,6m-1m,61.66,33.05,1.866,1.423,2.012
15,5,30,50,0.7,6m-1m,68.32,36.61,1.866,1.539,2.25
20,10,30,40,0.4,6m-1m,64.52,34.6,1.865,1.46,1.986
25,5,20,50,0.4,6m-1m,60.91,32.66,1.865,1.431,2.046
15,5,20,60,0.3,6m-1m,59.11,31.84,1.856,1.411,2.052
10,20,25,45,0.8,6m-1m,61.5,33.15,1.855,1.41,2.084
15,0,30,55,0.7,6m-1m,68.7,37.06,1.854,1.519,2.196
10,10,30,50,0.5,6m-1m,67.0,36.18,1.852,1.483,2.144
25,10,15,50,0.6,6m-1m,53.51,28.89,1.852,1.326,1.831
20,10,20,50,0.4,6m-1m,58.14,31.42,1.851,1.392,1.971
10,5,30,55,0.7,6m-1m,67.6,36.62,1.846,1.501,2.176
20,5,30,45,0.4,6m,61.62,33.47,1.841,1.4,2.042
15,15,20,50,0.3,6m,66.23,35.98,1.841,1.484,2.123
20,0,35,45,0.5,6m-1m,65.45,35.58,1.84,1.476,2.182
20,0,25,55,0.8,6m-1m,63.13,34.35,1.838,1.43,2.023
10,20,35,35,0.3,6m-1m,59.14,32.3,1.831,1.342,1.995
10,10,30,50,0.7,6m-1m,64.85,35.42,1.831,1.453,2.083
25,0,20,55,0.4,6m-1m,56.9,31.13,1.828,1.355,1.968
10,15,20,55,0.5,6m-1m,64.5,35.3,1.827,1.483,2.085
30,15,20,35,0.5,6m,50.13,27.46,1.825,1.223,1.735
25,5,20,50,0.3,6m,55.09,30.2,1.824,1.312,1.9
25,10,15,50,0.7,6m-1m,53.74,29.46,1.824,1.315,1.81
20,10,25,45,0.4,6m-1m,60.53,33.3,1.818,1.43,2.054
20,15,35,30,0.3,6m,55.29,30.44,1.817,1.282,1.885
15,10,20,55,0.4,6m-1m,60.11,33.1,1.816,1.419,2.014
15,15,25,45,0.7,6m-1m,58.62,32.34,1.812,1.377,1.973
25,0,25,50,0.6,6m-1m,60.79,33.59,1.81,1.421,2.083
15,5,30,50,0.4,6m-1m,62.71,34.67,1.809,1.445,2.114
10,15,30,45,0.4,6m-1m,60.66,33.59,1.806,1.392,2.005
25,10,20,45,0.6,6m-1m,62.09,34.43,1.803,1.419,2.015
10,10,25,55,0.7,6m-1m,69.04,38.34,1.801,1.526,2.172
20,20,25,35,0.6,6m-1m,60.19,33.44,1.8,1.41,1.995
25,5,40,30,0.4,6m-1m,61.6,34.22,1.8,1.433,2.098
25,10,15,50,0.4,6m,54.21,30.14,1.798,1.295,1.848
15,15,20,50,0.5,6m-1m,62.65,34.86,1.797,1.458,2.045
20,5,25,50,0.8,6m-1m,62.99,35.09,1.795,1.421,2.001
20,15,25,40,0.4,6m-1m,64.77,36.11,1.794,1.467,1.989
10,20,25,45,0.7,6m-1m,60.02,33.47,1.793,1.392,2.031
20,5,20,55,0.6,6m-1m,57.95,32.32,1.793,1.368,1.943
20,5,25,50,0.4,6m-1m,64.85,36.2,1.792,1.476,2.121
15,20,15,50,0.8,6m-1m,58.95,32.95,1.789,1.407,1.98
15,0,35,50,0.5,6m,61.91,34.61,1.789,1.411,2.08
10,10,30,50,0.4,6m-1m,63.68,35.7,1.784,1.437,2.05
20,5,30,45,0.5,6m,58.34,32.72,1.783,1.349,1.921
20,10,20,50,0.5,6m-1m,59.92,33.67,1.779,1.41,2.004
10,5,30,55,0.6,6m-1m,65.09,36.59,1.779,1.473,2.126
15,5,25,55,0.5,6m-1m,65.44,36.83,1.776,1.498,2.137
30,0,20,50,0.7,6m-1m,53.65,30.22,1.776,1.31,1.871
10,10,25,55,0.6,6m-1m,66.28,37.4,1.772,1.48,2.119
20,10,30,40,0.6,6m,55.54,31.39,1.77,1.314,1.92
10,20,25,45,0.3,6m-1m,60.19,34.03,1.769,1.405,1.974
15,20,20,45,0.5,6m-1m,56.95,32.26,1.765,1.381,1.946
15,0,30,55,0.5,6m-1m,60.88,34.54,1.763,1.408,2.038
