v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
25,0,50,25,0.6,12m,5,8,3,101.18,27.94,3.621,1.691
25,0,50,25,0.6,12m,6,8,3,100.27,27.94,3.589,1.684
20,0,55,25,0.6,12m,5,7,2,119.52,37.08,3.224,1.647
20,0,55,25,0.6,12m,6,7,2,119.52,37.08,3.224,1.647
25,0,50,25,0.6,12m,4,8,3,88.75,27.94,3.176,1.565
15,0,65,20,0.7,12m-1m,6,8,3,103.98,32.93,3.158,1.696
10,0,65,25,0.7,12m-1m,5,8,3,111.61,35.77,3.12,1.749
15,0,60,25,0.7,12m-1m,5,7,3,107.41,34.8,3.086,1.732
10,0,65,25,0.7,12m-1m,6,8,3,111.76,36.29,3.079,1.75
15,5,60,20,0.6,12m-1m,5,8,3,102.1,33.29,3.067,1.671
15,5,60,20,0.6,12m-1m,6,8,3,101.25,33.29,3.042,1.664
15,0,60,25,0.7,12m-1m,6,7,3,107.11,35.33,3.032,1.729
10,0,60,30,0.7,12m-1m,5,9,3,108.71,36.18,3.005,1.725
10,0,60,30,0.7,12m-1m,5,8,3,108.16,36.18,2.989,1.721
10,0,60,30,0.7,12m-1m,6,7,3,108.72,36.38,2.989,1.745
10,0,60,30,0.7,12m-1m,5,7,3,109.01,36.76,2.965,1.747
10,0,60,30,0.7,12m-1m,6,9,3,107.65,36.44,2.954,1.715
15,0,65,20,0.7,12m-1m,5,8,3,97.16,32.93,2.95,1.635
10,0,65,25,0.6,12m-1m,4,8,2,129.53,44.14,2.934,1.755
20,5,60,15,0.7,12m,4,8,3,96.26,32.89,2.927,1.622
10,0,65,25,0.6,12m-1m,4,9,2,128.31,44.14,2.907,1.743
10,0,60,30,0.7,12m-1m,4,7,3,108.76,37.44,2.905,1.741
15,5,60,20,0.6,12m-1m,6,7,3,96.54,33.29,2.9,1.631
20,0,55,25,0.6,12m,6,7,3,101.55,35.02,2.9,1.642
15,0,60,25,0.7,12m-1m,5,9,3,103.27,35.85,2.881,1.691
10,0,60,30,0.7,12m-1m,6,8,3,107.23,37.27,2.877,1.713
25,0,50,25,0.5,12m,5,9,3,89.15,31.21,2.857,1.565
25,0,50,25,0.5,12m,6,9,3,89.1,31.21,2.855,1.566
15,5,60,20,0.6,12m-1m,5,7,3,95.0,33.29,2.854,1.615
20,0,55,25,0.6,12m,5,7,3,94.79,33.25,2.851,1.581
15,0,65,20,0.7,12m-1m,5,9,3,95.71,33.58,2.85,1.62
20,5,60,15,0.7,12m,5,8,3,95.15,33.43,2.847,1.612
15,0,65,20,0.7,12m-1m,6,9,3,95.4,33.58,2.841,1.616
25,0,50,25,0.5,12m,4,9,3,89.69,31.67,2.832,1.575
20,5,60,15,0.6,12m,5,8,3,96.99,34.25,2.832,1.608
15,0,60,25,0.7,12m-1m,6,9,3,102.98,36.37,2.832,1.688
10,0,65,25,0.6,12m-1m,5,8,3,105.56,37.55,2.812,1.695
10,0,65,25,0.7,12m-1m,6,7,3,102.71,36.66,2.802,1.675
10,0,65,25,0.7,12m-1m,5,9,3,100.27,35.85,2.797,1.642
