v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
25,5,35,35,0.3,6m-1m,5,7,5,75.98,25.48,2.981,1.637
25,10,20,45,0.4,6m-1m,5,7,6,77.14,26.22,2.942,1.663
20,5,25,50,0.5,6m-1m,4,7,6,89.05,30.77,2.894,1.724
25,10,20,45,0.4,6m-1m,5,7,7,76.32,26.47,2.883,1.653
15,5,30,50,0.6,6m-1m,5,7,5,89.83,31.18,2.881,1.79
20,5,25,50,0.5,6m-1m,4,7,7,88.92,30.99,2.869,1.723
20,5,25,50,0.5,6m-1m,4,7,5,86.53,31.64,2.734,1.69
15,10,25,50,0.6,6m-1m,5,8,5,86.89,31.8,2.732,1.778
15,10,25,50,0.6,6m-1m,5,8,6,79.11,29.0,2.727,1.695
15,5,30,50,0.6,6m-1m,5,8,6,81.83,30.21,2.709,1.721
25,10,20,45,0.3,6m-1m,5,8,7,66.56,24.6,2.706,1.534
15,10,25,50,0.6,6m-1m,5,7,5,90.03,33.42,2.694,1.816
25,10,20,45,0.4,6m-1m,5,7,5,74.73,27.8,2.688,1.615
25,10,20,45,0.3,6m-1m,5,7,6,75.84,28.39,2.672,1.648
15,10,25,50,0.6,6m-1m,5,7,7,83.91,31.42,2.671,1.756
15,10,25,50,0.6,6m-1m,5,8,7,79.63,29.84,2.669,1.709
15,10,25,50,0.6,6m-1m,5,7,6,82.54,30.99,2.663,1.735
25,10,20,45,0.3,6m-1m,5,7,7,74.95,28.39,2.64,1.636
15,10,25,50,0.6,6m-1m,5,9,5,89.81,34.07,2.636,1.806
25,10,20,45,0.3,6m-1m,5,8,6,65.7,24.99,2.629,1.516
15,5,30,50,0.6,6m-1m,5,8,7,84.85,32.29,2.628,1.771
15,10,25,50,0.5,6m-1m,6,9,5,78.76,30.05,2.621,1.671
15,5,30,50,0.6,6m-1m,5,8,5,82.17,31.45,2.613,1.7
25,5,35,35,0.3,6m-1m,5,8,5,70.87,27.24,2.602,1.558
20,5,25,50,0.5,6m-1m,4,8,4,82.49,31.7,2.602,1.615
15,10,25,50,0.6,6m-1m,5,9,6,77.19,29.95,2.577,1.669
15,5,30,50,0.6,6m-1m,5,9,5,78.39,30.58,2.564,1.657
15,10,25,50,0.7,6m-1m,5,8,7,73.09,28.71,2.546,1.593
20,5,25,50,0.5,6m-1m,4,8,6,82.69,32.52,2.542,1.653
15,5,25,55,0.7,6m-1m,5,7,6,76.34,30.06,2.54,1.617
15,10,25,50,0.7,6m-1m,5,8,5,77.3,30.59,2.527,1.637
20,5,25,50,0.5,6m-1m,4,8,7,83.55,33.13,2.522,1.665
20,15,25,40,0.4,6m,5,7,5,78.73,31.34,2.512,1.621
15,5,25,55,0.7,6m-1m,5,7,7,76.42,30.47,2.508,1.62
25,10,25,40,0.4,6m,5,7,6,62.97,25.11,2.507,1.42
15,5,30,50,0.6,6m-1m,5,7,6,84.14,33.57,2.506,1.732
25,10,25,40,0.4,6m,5,8,6,62.71,25.11,2.497,1.423
25,10,25,40,0.4,6m,5,7,7,62.69,25.11,2.496,1.415
15,10,25,50,0.6,6m-1m,5,9,7,76.45,30.7,2.49,1.667
20,5,25,50,0.6,6m-1m,5,7,5,76.79,30.88,2.486,1.613
15,5,25,55,0.7,6m-1m,6,7,6,71.78,29.05,2.471,1.582
25,10,20,45,0.4,6m-1m,5,8,7,74.55,30.2,2.468,1.644
20,15,25,40,0.4,6m,5,8,6,67.57,27.46,2.46,1.494
20,5,25,50,0.5,6m-1m,5,7,6,76.47,31.09,2.46,1.621
25,10,25,40,0.4,6m,5,9,6,61.75,25.11,2.459,1.413
15,10,25,50,0.6,6m-1m,4,7,4,82.26,33.49,2.456,1.627
25,5,35,35,0.3,6m-1m,5,7,6,66.55,27.13,2.453,1.515
15,10,25,50,0.5,6m-1m,5,9,5,80.41,32.8,2.451,1.687
15,10,25,50,0.6,6m-1m,4,8,7,75.54,30.84,2.449,1.589
20,10,20,50,0.6,6m-1m,5,8,7,64.4,26.34,2.445,1.473
25,10,25,40,0.4,6m,5,8,7,61.24,25.11,2.439,1.402
20,5,25,50,0.6,6m-1m,5,7,6,74.95,30.76,2.436,1.602
15,5,30,50,0.6,6m-1m,5,7,7,82.46,33.85,2.436,1.712
15,10,25,50,0.6,6m-1m,5,7,4,83.88,34.43,2.436,1.682
25,10,20,45,0.4,6m-1m,4,7,5,68.67,28.21,2.435,1.492
15,10,25,50,0.6,6m-1m,4,8,6,74.49,30.62,2.433,1.573
25,5,35,35,0.3,6m-1m,5,7,7,66.04,27.16,2.432,1.508
15,5,30,50,0.6,6m-1m,6,7,4,78.12,32.22,2.425,1.579
20,15,25,40,0.4,6m,5,8,7,66.42,27.46,2.418,1.485
25,10,25,40,0.4,6m,6,7,7,61.5,25.49,2.413,1.444
25,10,25,40,0.4,6m,5,9,7,60.46,25.11,2.407,1.399
15,5,30,50,0.6,6m-1m,5,7,4,81.87,34.13,2.399,1.623
20,5,25,50,0.6,6m-1m,5,7,7,75.29,31.46,2.394,1.608
20,5,25,50,0.6,6m-1m,5,8,6,71.97,30.12,2.389,1.58
25,10,20,45,0.3,6m-1m,5,7,5,71.58,29.99,2.387,1.573
25,10,20,45,0.4,6m-1m,4,7,7,67.31,28.21,2.386,1.476
15,5,25,55,0.7,6m-1m,5,8,6,70.73,29.69,2.382,1.56
15,10,25,50,0.5,6m-1m,5,7,7,79.25,33.36,2.376,1.681
15,10,25,50,0.6,6m-1m,4,7,5,77.03,32.42,2.376,1.588
20,10,20,50,0.6,6m-1m,5,7,6,70.58,29.72,2.375,1.549
20,15,25,40,0.4,6m,5,8,5,73.29,30.87,2.374,1.547
20,5,25,50,0.5,6m-1m,4,7,4,82.58,34.88,2.368,1.607
25,10,20,45,0.3,6m-1m,5,9,7,61.03,25.78,2.368,1.464
20,5,25,50,0.6,6m-1m,5,8,7,73.02,31.05,2.352,1.601
25,10,20,45,0.4,6m-1m,4,7,6,66.09,28.21,2.343,1.456
