atk,def,rule,as,ds,cagr,mdd,cal,sh,sort,alpha,sw
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP200_5d,3,5,187.3,27.07,6.918,2.53,3.993,174.64,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_5d,3,5,193.07,28.48,6.779,2.584,4.051,180.42,15
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,KP200_5d,3,5,182.46,27.07,6.739,2.478,3.923,169.8,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_5d,3,5,189.71,28.48,6.661,2.552,4.029,177.05,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP200_5d,3,5,180.03,27.07,6.649,2.48,3.887,167.37,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_5d,3,5,179.87,27.07,6.644,2.504,3.921,167.21,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_5d,3,5,188.51,28.48,6.619,2.548,4.016,175.86,15
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_5d,3,5,188.13,28.48,6.605,2.531,3.981,175.47,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_5d,3,5,187.03,28.48,6.566,2.561,4.037,174.37,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_5d,3,5,177.46,27.07,6.555,2.49,3.915,164.81,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP200_4d,3,5,177.46,27.07,6.555,2.456,3.864,164.81,15
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,KP200_5d,3,7,177.08,27.07,6.541,2.453,3.889,164.42,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP200_5d,3,7,176.57,27.07,6.522,2.448,3.832,163.92,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_5d,3,5,185.65,28.48,6.518,2.534,3.946,172.99,15
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP200_5d,3,5,176.21,27.07,6.509,2.452,3.768,163.55,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP200_5d,3,7,175.25,27.07,6.473,2.453,3.845,162.59,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP150_5d,3,5,174.73,27.07,6.454,2.444,3.837,162.07,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_4d,3,5,183.22,28.48,6.433,2.512,3.936,170.57,15
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_5d,3,7,182.64,28.48,6.412,2.507,3.948,169.99,15
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_5d,3,5,182.19,28.48,6.396,2.507,3.964,169.53,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_5d,3,7,182.13,28.48,6.394,2.502,3.89,169.47,15
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP200_5d,3,7,173.04,27.07,6.391,2.431,3.726,160.38,15
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_5d,3,5,172.78,27.07,6.382,2.436,3.844,160.12,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_5d,3,5,181.76,28.48,6.381,2.506,3.824,169.1,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_5d,3,5,181.76,28.48,6.381,2.5,3.913,169.1,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_4d,3,5,181.71,28.48,6.38,2.513,3.951,169.05,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_4d,3,5,181.73,28.48,6.38,2.485,3.948,169.07,21
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_5d,3,5,172.19,27.07,6.36,2.451,3.805,159.53,15
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_5d,3,7,180.8,28.48,6.348,2.489,3.948,168.14,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_5d,3,7,180.78,28.48,6.347,2.508,3.903,168.12,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_4d,3,5,180.76,28.48,6.346,2.479,3.931,168.11,21
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_4d,3,5,171.76,27.07,6.344,2.433,3.817,159.11,21
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_4d,3,5,171.73,27.07,6.343,2.442,3.841,159.07,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_5d,3,5,180.6,28.48,6.341,2.495,3.9,167.94,15
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_5d,3,7,171.26,27.07,6.325,2.44,3.838,158.6,15
