combo,ratio,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,5,60,20,33.33,57.4,0.581,0.805,0.928
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,10,0,70,20,40.68,63.07,0.645,0.903,1.012
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,10,5,65,20,44.82,55.66,0.805,0.953,1.11
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,20,5,55,20,44.45,56.29,0.79,0.946,1.092
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,0,60,25,26.04,66.52,0.391,0.711,0.831
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,10,5,55,30,52.41,54.94,0.954,1.02,1.181
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,10,50,25,61.85,54.75,1.13,1.117,1.306
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,10,0,65,25,49.67,59.03,0.841,1.009,1.176
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,20,0,50,30,63.09,64.66,0.976,1.128,1.274
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,5,5,70,20,32.21,61.72,0.522,0.796,0.879
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,5,50,30,67.89,58.03,1.17,1.178,1.312
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,10,10,50,30,62.84,51.28,1.225,1.124,1.354
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,25,5,45,25,26.01,65.33,0.398,0.719,0.792
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,20,10,40,30,45.0,63.08,0.713,0.942,1.068
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,5,55,25,24.66,65.09,0.379,0.691,0.786
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,15,5,60,20,17.84,62.84,0.284,0.594,0.686
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,10,0,70,20,37.2,65.13,0.571,0.854,0.993
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,10,5,65,20,33.59,53.35,0.629,0.813,0.946
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,20,5,55,20,39.28,64.09,0.613,0.881,1.029
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,15,0,60,25,24.32,69.45,0.35,0.688,0.801
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,10,5,55,30,41.61,54.98,0.757,0.905,1.053
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,15,10,50,25,55.07,57.68,0.955,1.053,1.233
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,10,0,65,25,34.22,62.81,0.545,0.821,0.942
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,20,0,50,30,21.13,70.61,0.299,0.654,0.714
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,5,5,70,20,31.74,54.14,0.586,0.79,0.89
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,15,5,50,30,35.25,65.93,0.535,0.835,0.931
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,10,10,50,30,44.28,53.23,0.832,0.931,1.093
