combo,ratio,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,10,25,50,24.12,55.01,0.439,0.729,0.734
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,20,10,20,50,21.7,55.79,0.389,0.699,0.665
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,10,20,55,17.43,57.23,0.305,0.626,0.612
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,25,10,20,45,8.71,57.82,0.151,0.462,0.439
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,5,20,60,18.2,66.76,0.273,0.672,0.617
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,20,5,25,50,0.72,65.7,0.011,0.376,0.351
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,10,10,30,50,-3.54,68.02,-0.052,0.297,0.282
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,15,20,50,14.33,61.44,0.233,0.572,0.559
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,20,10,25,45,5.71,55.66,0.103,0.402,0.398
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,25,5,20,50,-4.07,73.92,-0.055,0.279,0.246
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,10,10,20,60,-1.38,71.49,-0.019,0.379,0.339
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,15,10,30,45,-5.76,57.0,-0.101,0.17,0.173
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,20,10,15,55,35.6,56.44,0.631,0.918,0.881
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,25,10,25,40,-7.96,53.21,-0.15,0.114,0.114
rev_z+oca_z+rev_accel_z,0.5/0.3/0.2,10,5,25,60,10.92,65.8,0.166,0.554,0.506
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,15,10,25,50,-0.27,66.25,-0.004,0.355,0.322
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,20,10,20,50,4.84,66.19,0.073,0.448,0.402
