gs1,gs2,gr,v,q,g,m,mom,cagr,mdd,cal,sh,sort
rev_z,oca_z,0.0,40,10,30,20,6m,-0.91,75.73,-0.012,0.329,0.35
rev_z,oca_z,0.0,40,10,30,20,6m-1m,1.19,73.84,0.016,0.331,0.371
rev_z,oca_z,0.0,40,10,30,20,12m,-23.54,81.93,-0.287,-0.15,-0.153
rev_z,oca_z,0.0,40,10,30,20,12m-1m,6.44,69.65,0.092,0.446,0.479
rev_z,oca_z,0.0,35,15,25,25,6m,-6.22,70.41,-0.088,0.215,0.251
rev_z,oca_z,0.0,35,15,25,25,6m-1m,17.19,64.71,0.266,0.596,0.675
rev_z,oca_z,0.0,35,15,25,25,12m,8.57,67.4,0.127,0.461,0.515
rev_z,oca_z,0.0,35,15,25,25,12m-1m,19.01,72.02,0.264,0.623,0.701
rev_z,oca_z,0.0,30,10,30,30,6m,41.56,57.6,0.722,0.877,1.186
rev_z,oca_z,0.0,30,10,30,30,6m-1m,35.99,57.62,0.625,0.82,1.082
rev_z,oca_z,0.0,30,10,30,30,12m,25.82,55.83,0.462,0.7,0.836
rev_z,oca_z,0.0,30,10,30,30,12m-1m,37.64,56.35,0.668,0.86,1.032
rev_z,oca_z,0.0,10,40,30,20,6m,17.86,61.35,0.291,0.589,0.725
rev_z,oca_z,0.0,10,40,30,20,6m-1m,22.48,56.25,0.4,0.655,0.891
rev_z,oca_z,0.0,10,40,30,20,12m,26.7,61.41,0.435,0.737,0.822
rev_z,oca_z,0.0,10,40,30,20,12m-1m,25.41,57.85,0.439,0.702,0.861
rev_z,oca_z,0.0,15,35,25,25,6m,35.61,49.79,0.715,0.843,1.107
rev_z,oca_z,0.0,15,35,25,25,6m-1m,39.33,53.82,0.731,0.894,1.181
rev_z,oca_z,0.0,15,35,25,25,12m,59.81,62.81,0.952,1.117,1.217
rev_z,oca_z,0.0,15,35,25,25,12m-1m,46.31,62.94,0.736,0.974,1.082
rev_z,oca_z,0.0,20,30,20,30,6m,16.54,59.87,0.276,0.56,0.723
rev_z,oca_z,0.0,20,30,20,30,6m-1m,11.16,64.32,0.173,0.472,0.603
rev_z,oca_z,0.0,20,30,20,30,12m,29.18,58.08,0.502,0.759,0.868
rev_z,oca_z,0.0,20,30,20,30,12m-1m,42.75,58.08,0.736,0.929,1.072
rev_z,oca_z,0.0,10,10,60,20,6m,91.61,52.5,1.745,1.447,1.931
rev_z,oca_z,0.0,10,10,60,20,6m-1m,73.14,57.69,1.268,1.266,1.635
rev_z,oca_z,0.0,10,10,60,20,12m,41.89,70.48,0.594,0.919,1.001
rev_z,oca_z,0.0,10,10,60,20,12m-1m,41.69,66.98,0.622,0.917,0.993
rev_z,oca_z,0.0,15,5,50,30,6m,96.45,49.96,1.931,1.448,1.806
rev_z,oca_z,0.0,15,5,50,30,6m-1m,63.78,54.52,1.17,1.127,1.547
rev_z,oca_z,0.0,15,5,50,30,12m,141.4,50.16,2.819,1.755,2.176
rev_z,oca_z,0.0,15,5,50,30,12m-1m,128.15,50.16,2.555,1.671,2.08
rev_z,oca_z,0.0,5,5,70,20,6m,98.8,56.33,1.754,1.48,1.7
rev_z,oca_z,0.0,5,5,70,20,6m-1m,96.58,56.0,1.725,1.476,1.696
rev_z,oca_z,0.0,5,5,70,20,12m,96.34,57.47,1.677,1.441,1.646
rev_z,oca_z,0.0,5,5,70,20,12m-1m,84.58,57.47,1.472,1.359,1.534
rev_z,oca_z,0.0,10,10,55,25,6m,62.28,55.92,1.114,1.127,1.512
rev_z,oca_z,0.0,10,10,55,25,6m-1m,66.09,46.67,1.416,1.169,1.606
rev_z,oca_z,0.0,10,10,55,25,12m,121.18,59.43,2.039,1.566,1.801
rev_z,oca_z,0.0,10,10,55,25,12m-1m,106.68,60.14,1.774,1.48,1.704
rev_z,oca_z,0.0,10,10,20,60,6m,32.18,64.81,0.497,0.783,0.915
rev_z,oca_z,0.0,10,10,20,60,6m-1m,39.21,57.15,0.686,0.873,1.112
rev_z,oca_z,0.0,10,10,20,60,12m,7.47,63.14,0.118,0.434,0.515
rev_z,oca_z,0.0,10,10,20,60,12m-1m,22.29,62.5,0.357,0.66,0.739
rev_z,oca_z,0.0,15,10,20,55,6m,21.58,68.09,0.317,0.636,0.79
rev_z,oca_z,0.0,15,10,20,55,6m-1m,17.54,65.15,0.269,0.602,0.673
rev_z,oca_z,0.0,15,10,20,55,12m,18.26,57.77,0.316,0.591,0.725
rev_z,oca_z,0.0,15,10,20,55,12m-1m,18.86,62.15,0.304,0.605,0.706
rev_z,oca_z,0.0,10,5,25,60,6m,13.65,69.21,0.197,0.54,0.642
rev_z,oca_z,0.0,10,5,25,60,6m-1m,49.78,59.73,0.833,0.994,1.206
rev_z,oca_z,0.0,10,5,25,60,12m,21.94,56.74,0.387,0.648,0.745
rev_z,oca_z,0.0,10,5,25,60,12m-1m,43.8,50.19,0.873,0.924,1.098
rev_z,oca_z,0.0,20,10,15,55,6m,5.27,68.52,0.077,0.423,0.48
rev_z,oca_z,0.0,20,10,15,55,6m-1m,-2.82,75.92,-0.037,0.294,0.316
rev_z,oca_z,0.0,20,10,15,55,12m,23.61,51.45,0.459,0.663,0.865
rev_z,oca_z,0.0,20,10,15,55,12m-1m,4.27,62.75,0.068,0.38,0.449
rev_z,oca_z,0.0,25,25,25,25,6m,27.96,65.5,0.427,0.733,0.935
rev_z,oca_z,0.0,25,25,25,25,6m-1m,16.29,69.63,0.234,0.556,0.703
rev_z,oca_z,0.0,25,25,25,25,12m,49.3,53.72,0.918,1.019,1.174
rev_z,oca_z,0.0,25,25,25,25,12m-1m,47.59,54.96,0.866,0.993,1.159
rev_z,oca_z,0.0,20,20,30,30,6m,34.17,60.76,0.562,0.812,1.019
