gs1,gs2,gr,avg_cal,max_cal,avg_cagr
oca_z,op_margin_z,0.8,1.001,3.702,52.625125000000004
oca_z,op_margin_z,0.7,0.9983124999999999,3.833,51.014625
oca_z,op_margin_z,0.6,0.968975,4.126,49.238125000000004
oca_z,gp_growth_z,0.7,0.9262499999999999,2.756,52.42075
rev_z,oca_z,0.6,0.9239625,4.804,47.191375
rev_z,oca_z,0.4,0.914925,4.247,49.3545
rev_z,gp_growth_z,0.5,0.9081125,3.18,43.9345
rev_z,oca_z,0.3,0.9053625000000001,2.957,49.545125
rev_z,oca_z,0.5,0.8961625,4.475,47.302749999999996
oca_z,op_margin_z,0.5,0.8922874999999999,2.857,45.458375000000004
rev_z,gp_growth_z,0.4,0.8897875,3.578,43.611875
oca_z,op_margin_z,0.9,0.8750875,4.414,47.523624999999996
oca_z,gp_growth_z,0.8,0.8670375,2.549,49.531124999999996
oca_z,gp_growth_z,0.6,0.8593125,3.327,47.55075
rev_z,oca_z,0.2,0.8524625,2.725,47.978125
rev_z,oca_z,0.7,0.8289250000000001,3.571,41.633625
oca_z,gp_growth_z,0.5,0.8241375,3.388,44.54875
rev_z,gp_growth_z,0.6,0.80955,3.248,39.2265
oca_z,gp_growth_z,0.9,0.7930625,2.856,45.642
rev_z,op_margin_z,0.7,0.7907375,3.056,39.457625
rev_z,oca_z,0.1,0.7892875,3.033,45.046125
rev_z,gp_growth_z,0.3,0.784525,3.603,39.178250000000006
oca_z,op_margin_z,0.4,0.7808625,2.284,41.600875
rev_z,gp_growth_z,0.7,0.7777125,3.274,37.48325
rev_z,op_margin_z,0.6,0.7697625,2.49,40.832499999999996
rev_z,op_margin_z,0.5,0.766875,3.074,41.393
oca_z,gp_growth_z,0.4,0.7633125,3.185,40.9285
oca_z,gp_growth_z,1.0,0.751725,2.819,42.686375
oca_z,rev_accel_z,1.0,0.751725,2.819,42.686375
oca_z,cfo_growth_z,1.0,0.751725,2.819,42.686375
oca_z,op_margin_z,1.0,0.751725,2.819,42.686375
rev_z,oca_z,0.0,0.751725,2.819,42.686375
rev_z,op_margin_z,0.8,0.7450625,3.432,35.6815
rev_z,oca_z,0.8,0.7387875,3.447,36.79575
oca_z,cfo_growth_z,0.9,0.731925,2.688,41.94225
rev_z,gp_growth_z,0.2,0.726,2.522,36.539625
oca_z,op_margin_z,0.3,0.7058125,2.052,37.858375
rev_z,op_margin_z,0.4,0.7019375,2.039,39.328875
oca_z,gp_growth_z,0.3,0.6887875,3.818,37.273875
rev_z,gp_growth_z,0.8,0.6824,2.932,33.10625
oca_z,rev_accel_z,0.9,0.6823375,2.141,38.6435
oca_z,cfo_growth_z,0.8,0.65025,3.142,37.9995
rev_z,oca_z,0.9,0.64275,2.944,31.798125
rev_z,op_margin_z,0.3,0.6314124999999999,2.172,34.728500000000004
