gs1,gs2,gr,v,q,g,m,mom,cagr,mdd,cal,sh,sort
rev_z,rev_accel_z,0.0,40,10,30,20,6m,3.59,65.6,0.055,0.367,0.348
rev_z,rev_accel_z,0.0,40,10,30,20,6m-1m,10.11,60.92,0.166,0.473,0.471
rev_z,rev_accel_z,0.0,40,10,30,20,12m,-15.42,65.48,-0.235,-0.059,-0.056
rev_z,rev_accel_z,0.0,40,10,30,20,12m-1m,-1.38,63.32,-0.022,0.261,0.248
rev_z,rev_accel_z,0.0,35,15,25,25,6m,0.66,66.22,0.01,0.323,0.302
rev_z,rev_accel_z,0.0,35,15,25,25,6m-1m,-3.27,68.54,-0.048,0.236,0.217
rev_z,rev_accel_z,0.0,35,15,25,25,12m,-15.8,70.64,-0.224,-0.053,-0.049
rev_z,rev_accel_z,0.0,35,15,25,25,12m-1m,-17.42,69.19,-0.252,-0.092,-0.083
rev_z,rev_accel_z,0.0,30,10,30,30,6m,-8.77,71.71,-0.122,0.125,0.118
rev_z,rev_accel_z,0.0,30,10,30,30,6m-1m,-11.12,70.14,-0.159,0.062,0.058
rev_z,rev_accel_z,0.0,30,10,30,30,12m,-20.91,72.52,-0.288,-0.158,-0.147
rev_z,rev_accel_z,0.0,30,10,30,30,12m-1m,-14.34,65.66,-0.218,-0.03,-0.029
rev_z,rev_accel_z,0.0,10,40,30,20,6m,2.85,38.62,0.074,0.273,0.381
rev_z,rev_accel_z,0.0,10,40,30,20,6m-1m,8.53,38.97,0.219,0.405,0.561
rev_z,rev_accel_z,0.0,10,40,30,20,12m,4.79,36.34,0.132,0.324,0.414
rev_z,rev_accel_z,0.0,10,40,30,20,12m-1m,2.49,43.88,0.057,0.263,0.326
rev_z,rev_accel_z,0.0,15,35,25,25,6m,-15.06,50.2,-0.3,-0.155,-0.168
rev_z,rev_accel_z,0.0,15,35,25,25,6m-1m,4.99,45.04,0.111,0.344,0.374
rev_z,rev_accel_z,0.0,15,35,25,25,12m,-4.84,64.42,-0.075,0.188,0.189
rev_z,rev_accel_z,0.0,15,35,25,25,12m-1m,-13.9,68.51,-0.203,-0.054,-0.055
rev_z,rev_accel_z,0.0,20,30,20,30,6m,-22.77,68.62,-0.332,-0.205,-0.192
rev_z,rev_accel_z,0.0,20,30,20,30,6m-1m,-18.92,61.44,-0.308,-0.123,-0.115
rev_z,rev_accel_z,0.0,20,30,20,30,12m,-20.8,70.48,-0.295,-0.135,-0.128
rev_z,rev_accel_z,0.0,20,30,20,30,12m-1m,-20.38,65.38,-0.312,-0.162,-0.15
rev_z,rev_accel_z,0.0,10,10,60,20,6m,18.53,41.75,0.444,0.543,1.329
rev_z,rev_accel_z,0.0,10,10,60,20,6m-1m,23.83,30.67,0.777,0.623,1.59
rev_z,rev_accel_z,0.0,10,10,60,20,12m,22.57,23.53,0.959,0.635,1.469
