gs1,gs2,gr,avg_cal,max_cal,avg_cagr
rev_z,rev_accel_z,0.2,0.044337499999999995,2.086,-3.740125
rev_accel_z,gp_growth_z,0.8,0.016225,1.348,-2.6736250000000004
rev_z,rev_accel_z,0.3,0.015649999999999997,2.182,-4.738375
rev_accel_z,gp_growth_z,0.9,-0.002287499999999995,3.194,-4.928875
rev_z,rev_accel_z,0.1,-0.0036124999999999977,2.668,-4.444
rev_accel_z,op_margin_z,1.0,-0.014049999999999998,0.968,-3.9956250000000004
rev_accel_z,cfo_growth_z,1.0,-0.014049999999999998,0.968,-3.9956250000000004
oca_z,rev_accel_z,0.0,-0.014049999999999998,0.968,-3.9956250000000004
rev_accel_z,gp_growth_z,1.0,-0.014049999999999998,0.968,-3.9956250000000004
rev_z,rev_accel_z,0.0,-0.014049999999999998,0.968,-3.9956250000000004
oca_z,rev_accel_z,0.3,-0.024925,0.844,-3.451875
oca_z,rev_accel_z,0.2,-0.0313375,0.934,-4.7536249999999995
oca_z,rev_accel_z,0.1,-0.03294999999999999,0.851,-4.428125
rev_accel_z,op_margin_z,0.9,-0.039537499999999996,0.841,-4.840625
rev_accel_z,cfo_growth_z,0.9,-0.056787500000000005,0.848,-5.256125
rev_accel_z,op_margin_z,0.8,-0.0596,0.734,-5.3782499999999995
rev_accel_z,gp_growth_z,0.6,-0.064675,0.812,-5.3295
rev_z,rev_accel_z,0.4,-0.06828749999999999,0.903,-7.174875
rev_accel_z,cfo_growth_z,0.7,-0.081775,0.514,-5.578625000000001
oca_z,rev_accel_z,0.5,-0.08285000000000001,0.753,-6.094625
rev_accel_z,cfo_growth_z,0.8,-0.0829375,0.841,-6.041875
rev_accel_z,gp_growth_z,0.7,-0.0912875,0.633,-6.803749999999999
oca_z,rev_accel_z,0.4,-0.09285000000000002,0.743,-6.468875
oca_z,rev_accel_z,0.6,-0.10495000000000002,0.769,-7.3012500000000005
oca_z,rev_accel_z,0.7,-0.12116249999999999,1.576,-9.40625
rev_z,rev_accel_z,0.5,-0.124875,0.731,-9.405249999999999
rev_accel_z,gp_growth_z,0.5,-0.126025,0.676,-8.982375000000001
oca_z,op_margin_z,0.4,-0.1292875,2.618,-11.4675
rev_accel_z,op_margin_z,0.6,-0.13835,0.703,-8.898375
oca_z,op_margin_z,0.2,-0.147875,2.302,-13.126624999999999
oca_z,op_margin_z,0.3,-0.15507500000000002,2.371,-12.942875
rev_accel_z,op_margin_z,0.7,-0.156,0.409,-10.16425
oca_z,op_margin_z,0.5,-0.1602875,1.933,-12.325875
rev_accel_z,cfo_growth_z,0.6,-0.1637875,0.359,-10.078875
rev_accel_z,op_margin_z,0.2,-0.165725,1.915,-11.75425
rev_accel_z,op_margin_z,0.1,-0.1723875,2.335,-12.086875000000001
rev_z,rev_accel_z,0.6,-0.1735625,0.501,-12.067
rev_z,rev_accel_z,0.7,-0.17365,0.384,-12.088125
oca_z,op_margin_z,0.6,-0.175725,1.959,-13.428999999999998
oca_z,op_margin_z,0.1,-0.176625,2.214,-12.872625
oca_z,op_margin_z,0.8,-0.17858749999999998,1.519,-13.920124999999999
oca_z,op_margin_z,0.7,-0.1802125,1.468,-13.42925
oca_z,op_margin_z,0.0,-0.180475,1.734,-11.942625
