gsub,v,q,g,m,e,x,s,cagr,mdd,cal,sh,sort
3f_rev_oca_gp,0,0,40,60,3,6,3,68.3,54.73,1.248,1.154,1.538
3f_rev_oca_gp,0,0,40,60,3,8,3,77.55,55.89,1.387,1.243,1.647
3f_rev_oca_gp,0,0,40,60,3,10,3,57.34,69.46,0.825,1.04,1.259
3f_rev_oca_gp,0,0,40,60,5,6,3,76.48,60.26,1.269,1.227,1.717
3f_rev_oca_gp,0,0,40,60,5,8,3,97.21,61.14,1.59,1.403,1.958
3f_rev_oca_gp,0,0,40,60,5,10,3,63.61,69.15,0.92,1.104,1.345
3f_rev_oca_gp,0,0,40,60,7,8,3,107.27,59.75,1.795,1.486,2.058
3f_rev_oca_gp,0,0,40,60,7,10,3,67.28,67.31,1.0,1.14,1.38
3f_rev_oca_gp,0,0,45,55,3,6,3,75.77,56.81,1.334,1.213,1.513
3f_rev_oca_gp,0,0,45,55,3,8,3,62.56,66.14,0.946,1.09,1.32
3f_rev_oca_gp,0,0,45,55,3,10,3,60.91,64.69,0.942,1.076,1.308
3f_rev_oca_gp,0,0,45,55,5,6,3,82.41,58.02,1.42,1.273,1.815
3f_rev_oca_gp,0,0,45,55,5,8,3,84.6,59.59,1.42,1.286,1.612
3f_rev_oca_gp,0,0,45,55,5,10,3,95.51,57.95,1.648,1.383,1.844
3f_rev_oca_gp,0,0,45,55,7,8,3,94.41,59.02,1.599,1.364,1.693
3f_rev_oca_gp,0,0,45,55,7,10,3,102.1,57.95,1.762,1.433,1.885
3f_rev_oca_gp,0,0,50,50,3,6,3,67.36,55.78,1.208,1.128,1.507
3f_rev_oca_gp,0,0,50,50,3,8,3,60.67,63.83,0.951,1.063,1.344
3f_rev_oca_gp,0,0,50,50,3,10,3,68.68,62.41,1.1,1.137,1.474
3f_rev_oca_gp,0,0,50,50,5,6,3,103.56,48.23,2.147,1.434,1.848
3f_rev_oca_gp,0,0,50,50,5,8,3,95.71,55.52,1.724,1.392,1.946
3f_rev_oca_gp,0,0,50,50,5,10,3,98.29,57.94,1.696,1.403,1.849
3f_rev_oca_gp,0,0,50,50,7,8,3,103.06,52.2,1.974,1.455,2.012
3f_rev_oca_gp,0,0,50,50,7,10,3,128.69,52.12,2.469,1.639,2.216
3f_rev_oca_gp,0,0,55,45,3,6,3,97.62,48.69,2.005,1.439,1.863
3f_rev_oca_gp,0,0,55,45,3,8,3,101.63,48.9,2.078,1.485,2.019
3f_rev_oca_gp,0,0,55,45,3,10,3,79.92,57.4,1.392,1.277,1.573
3f_rev_oca_gp,0,0,55,45,5,6,3,110.58,53.13,2.081,1.487,1.93
3f_rev_oca_gp,0,0,55,45,5,8,3,110.68,47.14,2.348,1.498,2.018
3f_rev_oca_gp,0,0,55,45,5,10,3,94.11,47.14,1.997,1.36,1.783
3f_rev_oca_gp,0,0,55,45,7,8,3,111.64,47.77,2.337,1.504,2.076
3f_rev_oca_gp,0,0,55,45,7,10,3,95.91,47.77,2.008,1.373,1.84
3f_rev_oca_gp,0,0,60,40,3,6,3,132.76,46.69,2.843,1.721,2.275
3f_rev_oca_gp,0,0,60,40,3,8,3,104.82,52.3,2.004,1.511,1.981
3f_rev_oca_gp,0,0,60,40,3,10,3,88.08,55.34,1.591,1.368,1.804
3f_rev_oca_gp,0,0,60,40,5,6,3,164.87,43.49,3.791,1.855,2.585
3f_rev_oca_gp,0,0,60,40,5,8,3,134.51,47.25,2.847,1.67,2.311
3f_rev_oca_gp,0,0,60,40,5,10,3,124.21,50.88,2.441,1.592,2.126
3f_rev_oca_gp,0,0,60,40,7,8,3,160.81,47.25,3.403,1.839,2.549
3f_rev_oca_gp,0,0,60,40,7,10,3,126.01,50.88,2.477,1.607,2.158
3f_rev_oca_gp,0,0,65,35,3,6,3,135.81,41.98,3.235,1.738,2.309
3f_rev_oca_gp,0,0,65,35,3,8,3,147.31,41.98,3.509,1.819,2.394
3f_rev_oca_gp,0,0,65,35,3,10,3,126.09,45.9,2.747,1.675,2.215
3f_rev_oca_gp,0,0,65,35,5,6,3,138.43,41.98,3.298,1.762,2.249
3f_rev_oca_gp,0,0,65,35,5,8,3,134.78,41.98,3.211,1.73,2.229
3f_rev_oca_gp,0,0,65,35,5,10,3,124.76,50.88,2.452,1.644,2.085
3f_rev_oca_gp,0,0,65,35,7,8,3,169.86,41.98,4.046,1.961,2.562
3f_rev_oca_gp,0,0,65,35,7,10,3,143.12,50.88,2.813,1.779,2.284
3f_rev_oca_gp,0,0,70,30,3,6,3,151.52,41.98,3.609,1.847,2.46
3f_rev_oca_gp,0,0,70,30,3,8,3,165.97,41.98,3.954,1.923,2.593
3f_rev_oca_gp,0,0,70,30,3,10,3,144.02,41.98,3.431,1.786,2.425
3f_rev_oca_gp,0,0,70,30,5,6,3,181.46,41.98,4.323,2.019,2.669
3f_rev_oca_gp,0,0,70,30,5,8,3,174.03,41.98,4.145,1.975,2.57
3f_rev_oca_gp,0,0,70,30,5,10,3,140.15,45.9,3.053,1.758,2.299
3f_rev_oca_gp,0,0,70,30,7,8,3,153.21,41.98,3.65,1.842,2.42
3f_rev_oca_gp,0,0,70,30,7,10,3,139.04,50.88,2.733,1.75,2.224
3f_rev_oca_gp,0,5,35,60,3,6,3,60.32,52.27,1.154,1.072,1.38
3f_rev_oca_gp,0,5,35,60,3,8,3,68.79,54.31,1.267,1.157,1.491
3f_rev_oca_gp,0,5,35,60,3,10,3,59.89,66.08,0.906,1.061,1.269
3f_rev_oca_gp,0,5,35,60,5,6,3,77.02,55.39,1.39,1.222,1.632
3f_rev_oca_gp,0,5,35,60,5,8,3,92.56,54.99,1.683,1.368,1.879
3f_rev_oca_gp,0,5,35,60,5,10,3,78.12,63.12,1.238,1.229,1.483
3f_rev_oca_gp,0,5,35,60,7,8,3,89.85,54.51,1.648,1.346,1.854
3f_rev_oca_gp,0,5,35,60,7,10,3,78.28,63.92,1.225,1.23,1.487
3f_rev_oca_gp,0,5,40,55,3,6,3,64.44,60.03,1.073,1.108,1.44
3f_rev_oca_gp,0,5,40,55,3,8,3,72.11,56.35,1.28,1.181,1.52
3f_rev_oca_gp,0,5,40,55,3,10,3,63.61,66.42,0.958,1.093,1.296
3f_rev_oca_gp,0,5,40,55,5,6,3,72.36,55.63,1.301,1.188,1.649
3f_rev_oca_gp,0,5,40,55,5,8,3,97.06,56.23,1.726,1.393,1.94
3f_rev_oca_gp,0,5,40,55,5,10,3,69.5,58.9,1.18,1.153,1.445
3f_rev_oca_gp,0,5,40,55,7,8,3,101.57,54.4,1.867,1.43,1.992
3f_rev_oca_gp,0,5,40,55,7,10,3,75.3,58.9,1.278,1.207,1.508
3f_rev_oca_gp,0,5,45,50,3,6,3,59.18,55.15,1.073,1.079,1.416
3f_rev_oca_gp,0,5,45,50,3,8,3,79.09,49.7,1.591,1.275,1.666
3f_rev_oca_gp,0,5,45,50,3,10,3,77.65,58.37,1.33,1.252,1.488
3f_rev_oca_gp,0,5,45,50,5,6,3,97.45,48.82,1.996,1.394,1.936
3f_rev_oca_gp,0,5,45,50,5,8,3,107.07,50.28,2.13,1.475,2.024
3f_rev_oca_gp,0,5,45,50,5,10,3,90.29,62.96,1.434,1.328,1.646
3f_rev_oca_gp,0,5,45,50,7,8,3,122.02,47.53,2.567,1.588,2.166
3f_rev_oca_gp,0,5,45,50,7,10,3,100.34,62.0,1.618,1.406,1.743
3f_rev_oca_gp,0,5,50,45,3,6,3,78.66,52.72,1.492,1.258,1.561
3f_rev_oca_gp,0,5,50,45,3,8,3,97.7,51.19,1.909,1.428,1.876
3f_rev_oca_gp,0,5,50,45,3,10,3,99.48,51.22,1.942,1.442,1.893
3f_rev_oca_gp,0,5,50,45,5,6,3,100.04,52.12,1.92,1.4,1.802
3f_rev_oca_gp,0,5,50,45,5,8,3,116.96,48.32,2.42,1.529,2.088
3f_rev_oca_gp,0,5,50,45,5,10,3,123.01,48.32,2.545,1.576,2.151
3f_rev_oca_gp,0,5,50,45,7,8,3,107.75,48.32,2.23,1.461,2.002
3f_rev_oca_gp,0,5,50,45,7,10,3,112.1,48.32,2.32,1.497,2.053
3f_rev_oca_gp,0,5,55,40,3,6,3,98.58,51.28,1.922,1.441,1.777
3f_rev_oca_gp,0,5,55,40,3,8,3,113.61,46.29,2.454,1.57,2.043
3f_rev_oca_gp,0,5,55,40,3,10,3,113.57,46.29,2.454,1.568,2.038
3f_rev_oca_gp,0,5,55,40,5,6,3,123.99,52.02,2.383,1.575,2.059
3f_rev_oca_gp,0,5,55,40,5,8,3,93.94,47.28,1.987,1.353,1.838
3f_rev_oca_gp,0,5,55,40,5,10,3,102.19,50.88,2.008,1.421,1.914
3f_rev_oca_gp,0,5,55,40,7,8,3,85.76,47.28,1.814,1.286,1.752
3f_rev_oca_gp,0,5,55,40,7,10,3,102.43,50.88,2.013,1.423,1.919
3f_rev_oca_gp,0,5,60,35,3,6,3,115.12,41.98,2.742,1.581,2.062
3f_rev_oca_gp,0,5,60,35,3,8,3,102.35,45.9,2.23,1.483,1.924
3f_rev_oca_gp,0,5,60,35,3,10,3,91.31,45.9,1.989,1.395,1.817
3f_rev_oca_gp,0,5,60,35,5,6,3,151.37,41.98,3.606,1.848,2.376
3f_rev_oca_gp,0,5,60,35,5,8,3,109.34,45.9,2.382,1.489,2.028
3f_rev_oca_gp,0,5,60,35,5,10,3,142.03,45.9,3.094,1.717,2.341
3f_rev_oca_gp,0,5,60,35,7,8,3,103.8,48.43,2.143,1.449,1.985
3f_rev_oca_gp,0,5,60,35,7,10,3,121.88,45.9,2.655,1.585,2.168
3f_rev_oca_gp,0,5,65,30,3,6,3,144.37,41.98,3.439,1.763,2.215
3f_rev_oca_gp,0,5,65,30,3,8,3,113.31,41.98,2.699,1.538,1.958
3f_rev_oca_gp,0,5,65,30,3,10,3,121.72,41.98,2.899,1.623,2.036
3f_rev_oca_gp,0,5,65,30,5,6,3,172.25,41.98,4.103,1.977,2.539
3f_rev_oca_gp,0,5,65,30,5,8,3,137.68,41.98,3.28,1.737,2.277
3f_rev_oca_gp,0,5,65,30,5,10,3,167.45,45.9,3.648,1.927,2.524
3f_rev_oca_gp,0,5,65,30,7,8,3,124.45,41.98,2.964,1.658,2.172
3f_rev_oca_gp,0,5,65,30,7,10,3,132.09,45.9,2.877,1.713,2.245
3f_rev_oca_gp,0,5,70,25,3,6,3,124.84,41.98,2.974,1.662,2.114
3f_rev_oca_gp,0,5,70,25,3,8,3,143.43,41.98,3.417,1.805,2.271
3f_rev_oca_gp,0,5,70,25,3,10,3,138.35,41.98,3.296,1.77,2.231
3f_rev_oca_gp,0,5,70,25,5,6,3,199.7,41.98,4.757,2.107,2.756
3f_rev_oca_gp,0,5,70,25,5,8,3,172.37,45.9,3.755,1.953,2.548
3f_rev_oca_gp,0,5,70,25,5,10,3,184.32,45.9,4.015,2.019,2.628
3f_rev_oca_gp,0,5,70,25,7,8,3,137.65,45.9,2.999,1.745,2.31
3f_rev_oca_gp,0,5,70,25,7,10,3,143.84,45.9,3.134,1.784,2.392
3f_rev_oca_gp,0,10,30,60,3,6,3,44.6,60.45,0.738,0.923,1.077
3f_rev_oca_gp,0,10,30,60,3,8,3,31.02,63.77,0.486,0.756,0.918
3f_rev_oca_gp,0,10,30,60,3,10,3,49.81,67.27,0.74,0.964,1.144
3f_rev_oca_gp,0,10,30,60,5,6,3,35.63,66.59,0.535,0.817,0.966
3f_rev_oca_gp,0,10,30,60,5,8,3,25.66,66.02,0.389,0.689,0.875
3f_rev_oca_gp,0,10,30,60,5,10,3,28.76,74.18,0.388,0.731,0.871
3f_rev_oca_gp,0,10,30,60,7,8,3,28.28,62.66,0.451,0.738,0.876
3f_rev_oca_gp,0,10,30,60,7,10,3,28.54,69.77,0.409,0.744,0.832
3f_rev_oca_gp,0,10,35,55,3,6,3,70.77,57.25,1.236,1.147,1.492
3f_rev_oca_gp,0,10,35,55,3,8,3,65.29,60.88,1.073,1.097,1.429
3f_rev_oca_gp,0,10,35,55,3,10,3,68.51,66.01,1.038,1.122,1.422
3f_rev_oca_gp,0,10,35,55,5,6,3,72.8,61.28,1.188,1.195,1.492
3f_rev_oca_gp,0,10,35,55,5,8,3,80.12,60.88,1.316,1.254,1.726
3f_rev_oca_gp,0,10,35,55,5,10,3,60.7,69.68,0.871,1.066,1.318
3f_rev_oca_gp,0,10,35,55,7,8,3,85.11,58.05,1.466,1.315,1.779
3f_rev_oca_gp,0,10,35,55,7,10,3,63.61,67.0,0.949,1.105,1.341
3f_rev_oca_gp,0,10,40,50,3,6,3,76.05,53.02,1.434,1.189,1.724
3f_rev_oca_gp,0,10,40,50,3,8,3,102.14,51.34,1.989,1.398,2.021
3f_rev_oca_gp,0,10,40,50,3,10,3,69.33,66.52,1.042,1.126,1.465
3f_rev_oca_gp,0,10,40,50,5,6,3,81.78,58.02,1.409,1.255,1.606
3f_rev_oca_gp,0,10,40,50,5,8,3,83.69,49.06,1.706,1.276,1.766
3f_rev_oca_gp,0,10,40,50,5,10,3,81.62,56.96,1.433,1.248,1.58
3f_rev_oca_gp,0,10,40,50,7,8,3,92.83,49.06,1.892,1.374,1.858
3f_rev_oca_gp,0,10,40,50,7,10,3,96.69,56.96,1.698,1.388,1.7
3f_rev_oca_gp,0,10,45,45,3,6,3,61.28,58.37,1.05,1.088,1.412
3f_rev_oca_gp,0,10,45,45,3,8,3,62.95,60.6,1.039,1.105,1.426
3f_rev_oca_gp,0,10,45,45,3,10,3,67.0,56.6,1.184,1.144,1.47
3f_rev_oca_gp,0,10,45,45,5,6,3,89.75,56.66,1.584,1.317,1.696
3f_rev_oca_gp,0,10,45,45,5,8,3,104.37,56.26,1.855,1.43,1.835
3f_rev_oca_gp,0,10,45,45,5,10,3,87.78,47.53,1.847,1.321,1.845
3f_rev_oca_gp,0,10,45,45,7,8,3,114.05,56.26,2.027,1.502,1.907
3f_rev_oca_gp,0,10,45,45,7,10,3,103.99,47.53,2.188,1.453,2.025
3f_rev_oca_gp,0,10,50,40,3,6,3,78.17,57.61,1.357,1.247,1.488
3f_rev_oca_gp,0,10,50,40,3,8,3,94.65,49.39,1.916,1.39,1.726
3f_rev_oca_gp,0,10,50,40,3,10,3,87.11,49.39,1.764,1.328,1.651
3f_rev_oca_gp,0,10,50,40,5,6,3,122.75,52.95,2.318,1.585,2.006
3f_rev_oca_gp,0,10,50,40,5,8,3,149.87,45.9,3.265,1.759,2.389
3f_rev_oca_gp,0,10,50,40,5,10,3,124.12,45.9,2.704,1.594,2.162
3f_rev_oca_gp,0,10,50,40,7,8,3,159.34,45.9,3.471,1.826,2.476
3f_rev_oca_gp,0,10,50,40,7,10,3,124.77,45.9,2.718,1.606,2.174
3f_rev_oca_gp,0,10,55,35,3,6,3,84.22,53.66,1.569,1.303,1.554
3f_rev_oca_gp,0,10,55,35,3,8,3,77.03,47.41,1.625,1.248,1.56
3f_rev_oca_gp,0,10,55,35,3,10,3,79.59,47.41,1.679,1.283,1.597
3f_rev_oca_gp,0,10,55,35,5,6,3,137.89,52.66,2.618,1.69,2.152
3f_rev_oca_gp,0,10,55,35,5,8,3,112.88,45.9,2.459,1.531,2.06
3f_rev_oca_gp,0,10,55,35,5,10,3,138.99,45.9,3.028,1.721,2.309
3f_rev_oca_gp,0,10,55,35,7,8,3,118.72,45.9,2.586,1.58,2.129
3f_rev_oca_gp,0,10,55,35,7,10,3,147.39,45.9,3.211,1.784,2.391
