gsub,v,q,g,m,e,x,s,cagr,mdd,cal,sh,sort
2f_oca_opm,0,0,40,60,3,6,5,-23.95,75.86,-0.316,-0.344,-0.509
2f_oca_opm,0,0,40,60,3,6,7,-23.95,75.86,-0.316,-0.344,-0.509
2f_oca_opm,0,0,40,60,3,8,5,-29.62,80.36,-0.369,-0.498,-0.644
2f_oca_opm,0,0,40,60,3,8,7,-28.64,79.71,-0.359,-0.483,-0.641
2f_oca_opm,0,0,40,60,3,10,5,-18.04,67.27,-0.268,-0.251,-0.37
2f_oca_opm,0,0,40,60,3,10,7,-23.15,71.81,-0.322,-0.421,-0.609
2f_oca_opm,0,0,40,60,5,6,5,-7.28,62.24,-0.117,0.082,0.112
2f_oca_opm,0,0,40,60,5,6,7,-5.56,60.76,-0.091,0.12,0.165
2f_oca_opm,0,0,40,60,5,8,5,-3.42,54.19,-0.063,0.134,0.224
2f_oca_opm,0,0,40,60,5,8,7,-6.12,61.09,-0.1,0.112,0.144
2f_oca_opm,0,0,40,60,5,10,5,1.1,43.27,0.025,0.224,0.366
2f_oca_opm,0,0,40,60,5,10,7,5.68,43.58,0.13,0.334,0.583
2f_oca_opm,0,0,40,60,7,8,5,5.33,46.15,0.116,0.329,0.549
2f_oca_opm,0,0,40,60,7,8,7,-3.13,57.91,-0.054,0.161,0.2
2f_oca_opm,0,0,40,60,7,10,5,0.79,51.05,0.015,0.21,0.333
2f_oca_opm,0,0,40,60,7,10,7,11.94,38.84,0.307,0.465,0.91
2f_oca_opm,0,0,45,55,3,6,5,-18.8,74.41,-0.253,-0.232,-0.359
2f_oca_opm,0,0,45,55,3,6,7,-18.8,74.41,-0.253,-0.232,-0.359
2f_oca_opm,0,0,45,55,3,8,5,-19.03,71.04,-0.268,-0.234,-0.372
2f_oca_opm,0,0,45,55,3,8,7,-18.8,71.04,-0.265,-0.228,-0.362
2f_oca_opm,0,0,45,55,3,10,5,-19.5,71.0,-0.275,-0.259,-0.41
2f_oca_opm,0,0,45,55,3,10,7,-19.54,71.06,-0.275,-0.26,-0.413
2f_oca_opm,0,0,45,55,5,6,5,-8.08,59.95,-0.135,0.018,0.031
2f_oca_opm,0,0,45,55,5,6,7,-13.66,66.07,-0.207,-0.136,-0.221
2f_oca_opm,0,0,45,55,5,8,5,-12.9,56.54,-0.228,-0.094,-0.162
2f_oca_opm,0,0,45,55,5,8,7,-10.27,58.0,-0.177,-0.051,-0.084
2f_oca_opm,0,0,45,55,5,10,5,-11.8,55.46,-0.213,-0.077,-0.131
2f_oca_opm,0,0,45,55,5,10,7,-8.44,55.18,-0.153,-0.014,-0.022
2f_oca_opm,0,0,45,55,7,8,5,-20.5,66.85,-0.307,-0.335,-0.562
2f_oca_opm,0,0,45,55,7,8,7,4.48,45.67,0.098,0.306,0.538
2f_oca_opm,0,0,45,55,7,10,5,-15.51,64.44,-0.241,-0.228,-0.367
2f_oca_opm,0,0,45,55,7,10,7,12.98,34.51,0.376,0.503,0.904
2f_oca_opm,0,0,50,50,3,6,5,-33.04,78.25,-0.422,-0.649,-0.93
2f_oca_opm,0,0,50,50,3,6,7,-33.04,78.25,-0.422,-0.649,-0.93
2f_oca_opm,0,0,50,50,3,8,5,-25.1,72.27,-0.347,-0.381,-0.586
2f_oca_opm,0,0,50,50,3,8,7,-25.1,72.27,-0.347,-0.381,-0.586
2f_oca_opm,0,0,50,50,3,10,5,-23.64,69.94,-0.338,-0.344,-0.527
2f_oca_opm,0,0,50,50,3,10,7,-23.64,69.94,-0.338,-0.344,-0.527
2f_oca_opm,0,0,50,50,5,6,5,-2.75,59.34,-0.046,0.144,0.238
2f_oca_opm,0,0,50,50,5,6,7,3.48,54.11,0.064,0.291,0.485
2f_oca_opm,0,0,50,50,5,8,5,-9.72,61.33,-0.158,-0.019,-0.033
2f_oca_opm,0,0,50,50,5,8,7,-0.38,53.32,-0.007,0.205,0.353
2f_oca_opm,0,0,50,50,5,10,5,-5.85,56.91,-0.103,0.072,0.124
2f_oca_opm,0,0,50,50,5,10,7,5.64,44.7,0.126,0.338,0.589
2f_oca_opm,0,0,50,50,7,8,5,-3.22,54.94,-0.059,0.133,0.233
2f_oca_opm,0,0,50,50,7,8,7,-2.0,47.96,-0.042,0.149,0.268
2f_oca_opm,0,0,50,50,7,10,5,-0.48,54.78,-0.009,0.196,0.342
2f_oca_opm,0,0,50,50,7,10,7,-9.12,58.27,-0.157,-0.076,-0.124
2f_oca_opm,0,0,55,45,3,6,5,-28.87,72.16,-0.4,-0.444,-0.732
2f_oca_opm,0,0,55,45,3,6,7,-28.87,72.16,-0.4,-0.444,-0.732
2f_oca_opm,0,0,55,45,3,8,5,-19.55,67.54,-0.289,-0.21,-0.352
2f_oca_opm,0,0,55,45,3,8,7,-19.55,67.54,-0.289,-0.21,-0.352
2f_oca_opm,0,0,55,45,3,10,5,-13.19,60.38,-0.218,-0.058,-0.099
2f_oca_opm,0,0,55,45,3,10,7,-13.19,60.38,-0.218,-0.058,-0.099
2f_oca_opm,0,0,55,45,5,6,5,-1.68,55.89,-0.03,0.175,0.292
2f_oca_opm,0,0,55,45,5,6,7,1.98,53.32,0.037,0.257,0.432
2f_oca_opm,0,0,55,45,5,8,5,-3.73,56.49,-0.066,0.128,0.215
2f_oca_opm,0,0,55,45,5,8,7,-2.4,52.81,-0.045,0.154,0.26
2f_oca_opm,0,0,55,45,5,10,5,3.74,48.36,0.077,0.296,0.51
2f_oca_opm,0,0,55,45,5,10,7,8.82,40.54,0.218,0.405,0.699
2f_oca_opm,0,0,55,45,7,8,5,-7.44,58.65,-0.127,0.023,0.04
2f_oca_opm,0,0,55,45,7,8,7,36.12,36.65,0.986,0.643,2.398
2f_oca_opm,0,0,55,45,7,10,5,-5.92,51.54,-0.115,0.058,0.098
2f_oca_opm,0,0,55,45,7,10,7,14.13,32.16,0.44,0.525,0.93
2f_oca_opm,0,0,60,40,3,6,5,-21.78,67.21,-0.324,-0.139,-0.234
2f_oca_opm,0,0,60,40,3,6,7,-21.78,67.21,-0.324,-0.139,-0.234
2f_oca_opm,0,0,60,40,3,8,5,-17.52,65.63,-0.267,-0.057,-0.095
2f_oca_opm,0,0,60,40,3,8,7,-17.51,65.63,-0.267,-0.056,-0.094
2f_oca_opm,0,0,60,40,3,10,5,7.08,40.29,0.176,0.373,0.786
2f_oca_opm,0,0,60,40,3,10,7,8.44,40.29,0.209,0.394,0.83
2f_oca_opm,0,0,60,40,5,6,5,33.69,47.15,0.715,0.568,2.604
2f_oca_opm,0,0,60,40,5,6,7,42.1,43.23,0.974,0.619,2.902
2f_oca_opm,0,0,60,40,5,8,5,29.98,44.75,0.67,0.549,2.462
2f_oca_opm,0,0,60,40,5,8,7,31.19,42.16,0.74,0.578,2.289
2f_oca_opm,0,0,60,40,5,10,5,2.63,45.89,0.057,0.274,0.494
2f_oca_opm,0,0,60,40,5,10,7,46.16,40.27,1.146,0.729,2.626
2f_oca_opm,0,0,60,40,7,8,5,-13.87,59.63,-0.233,-0.118,-0.192
2f_oca_opm,0,0,60,40,7,8,7,36.14,36.08,1.002,0.656,2.272
2f_oca_opm,0,0,60,40,7,10,5,10.05,40.25,0.25,0.424,0.829
2f_oca_opm,0,0,60,40,7,10,7,14.99,33.11,0.453,0.529,0.996
2f_oca_opm,0,0,65,35,3,6,5,-21.88,70.33,-0.311,-0.262,-0.353
2f_oca_opm,0,0,65,35,3,6,7,-21.88,70.33,-0.311,-0.262,-0.353
2f_oca_opm,0,0,65,35,3,8,5,-14.7,62.81,-0.234,-0.091,-0.121
2f_oca_opm,0,0,65,35,3,8,7,-15.35,62.81,-0.244,-0.107,-0.143
2f_oca_opm,0,0,65,35,3,10,5,11.74,42.02,0.279,0.452,0.871
2f_oca_opm,0,0,65,35,3,10,7,10.88,42.02,0.259,0.438,0.844
2f_oca_opm,0,0,65,35,5,6,5,23.2,49.67,0.467,0.493,2.42
2f_oca_opm,0,0,65,35,5,6,7,28.74,45.08,0.637,0.528,2.654
