atk,def,rule,cagr,mdd,cal,sh,sort,sw,boost
A2_3f_rog_G65M30,D5_2f_rao_M55,KP_MA200_5d,182.52,28.1,6.496,2.488,4.024,15,53.60744763382467
A4_3f_roo_G60M30,D5_2f_rao_M55,KP_MA200_5d,175.95,28.1,6.262,2.447,3.911,15,53.60744763382467
A6_2f_oca_G60M25,D5_2f_rao_M55,KP_MA200_5d,164.46,27.25,6.035,2.338,3.719,15,53.60744763382467
A3_3f_rog_G60M25,D5_2f_rao_M55,KP_MA200_5d,162.41,27.25,5.96,2.349,3.717,15,53.60744763382467
A7_2f_roc_G55M25,D5_2f_rao_M55,KP_MA200_5d,165.04,27.8,5.937,2.374,3.807,15,53.60744763382467
A2_3f_rog_G65M30,D5_2f_rao_M55,KP_MA200_4d,164.02,28.1,5.837,2.338,3.776,15,53.68502715283165
A5_3f_rog_G70M25,D5_2f_rao_M55,KP_MA200_5d,171.53,31.45,5.455,2.39,3.835,15,53.60744763382467
A4_3f_roo_G60M30,D5_2f_rao_M55,KP_MA200_4d,158.79,29.29,5.422,2.303,3.679,15,53.68502715283165
A2_3f_rog_G65M30,D7_3f_rog_E7S7,KP_MA200_5d,149.65,28.1,5.326,2.287,3.67,15,53.60744763382467
A6_2f_oca_G60M25,D5_2f_rao_M55,KP_MA250_5d,144.21,27.25,5.292,2.187,3.494,13,47.478665632273085
A2_3f_rog_G65M30,D1_3f_rog_M60S7,KP_MA200_5d,146.65,28.1,5.219,2.195,3.551,15,53.60744763382467
A3_3f_rog_G60M25,D5_2f_rao_M55,KP_MA200_4d,149.83,28.78,5.207,2.238,3.527,15,53.68502715283165
A6_2f_oca_G60M25,D5_2f_rao_M55,KP_MA200_4d,148.23,28.5,5.2,2.205,3.499,15,53.68502715283165
A4_3f_roo_G60M30,D7_3f_rog_E7S7,KP_MA200_5d,143.85,28.1,5.119,2.244,3.556,15,53.60744763382467
A4_3f_roo_G60M30,D5_2f_rao_M55,KP_MA250_5d,143.78,28.1,5.117,2.19,3.481,13,47.478665632273085
A7_2f_roc_G55M25,D5_2f_rao_M55,KP_MA250_5d,136.75,26.77,5.108,2.148,3.432,13,47.478665632273085
A2_3f_rog_G65M30,D5_2f_rao_M55,KP_MA250_5d,143.42,28.1,5.104,2.187,3.507,13,47.478665632273085
A4_3f_roo_G60M30,D1_3f_rog_M60S7,KP_MA200_5d,140.91,28.1,5.015,2.152,3.443,15,53.60744763382467
A7_2f_roc_G55M25,D7_3f_rog_E7S7,KP_MA200_5d,134.21,26.77,5.013,2.168,3.44,15,53.60744763382467
