v,q,g,m,mom,g_sub,cal,cagr,mdd,sharpe,sortino
20,10,35,35,12m,rev+oca+gp,2.132,88.47,41.49,1.01,3.198
10,10,45,35,6m,rev+oca+gp,2.096,81.86,39.06,0.966,3.042
10,0,55,35,12m,rev+oca+gp,2.05,84.57,41.25,0.985,2.992
15,5,50,30,12m,rev+oca+opm,2.048,87.58,42.78,1.001,3.158
20,0,45,35,12m,rev+oca+opm,2.047,90.24,44.1,1.021,3.156
20,15,30,35,12m,rev+oca+gp,2.041,84.83,41.56,0.895,3.253
25,0,40,35,12m,rev+oca+opm,2.036,87.65,43.05,1.005,3.153
15,10,45,30,12m,rev+oca+opm,2.028,83.28,41.07,0.974,2.951
15,0,50,35,12m,rev+oca+gp,2.025,85.37,42.16,0.994,3.04
15,10,35,40,12m,rev+oca+gp,1.996,84.58,42.37,0.985,3.115
20,15,30,35,12m,rev+gp+opm,1.996,84.72,42.44,0.987,3.075
25,10,30,35,12m,rev+oca+opm,1.983,82.46,41.58,0.879,3.216
10,5,45,40,12m,rev+gp+opm,1.979,83.62,42.24,0.983,3.05
15,0,50,35,12m,rev+oca+opm,1.942,84.78,43.67,0.986,3.101
15,5,40,40,12m,rev+gp+opm,1.938,85.71,44.22,0.992,3.025
20,0,45,35,12m,rev+oca+gp,1.935,84.36,43.59,0.983,3.047
20,0,50,30,12m,rev+oca+opm,1.912,80.78,42.26,0.961,2.985
25,10,35,30,12m,rev+oca+opm,1.91,78.24,40.96,0.855,3.127
15,15,45,25,12m,rev+gp+opm,1.9,78.21,41.17,0.944,2.96
15,0,45,40,12m,rev+oca+opm,1.886,80.4,42.63,0.938,2.967
20,0,50,30,12m,rev+oca+gp,1.88,81.93,43.59,0.968,2.987
20,10,40,30,12m,rev+gp+opm,1.873,80.37,42.91,0.955,2.948
5,0,60,35,12m,rev+oca+opm,1.87,73.46,39.28,0.941,2.755
10,0,50,40,12m,rev+oca+opm,1.866,75.04,40.21,0.953,2.804
15,15,30,40,12m,rev+oca+gp,1.844,78.28,42.44,0.936,2.971
25,5,30,40,12m,rev+oca+gp,1.839,78.28,42.58,0.945,2.957
20,5,30,45,12m,rev+oca+opm,1.83,78.12,42.69,0.944,2.815
15,10,35,40,12m,rev+oca+opm,1.827,77.88,42.63,0.933,2.958
20,5,45,30,12m,rev+oca+opm,1.827,84.31,46.14,0.983,3.05
20,0,40,40,6m,rev+oca+gp,1.822,76.58,42.04,0.916,2.892
10,0,45,45,12m,rev+oca+opm,1.822,73.51,40.34,0.942,2.735
15,5,40,40,12m,rev+oca+gp,1.821,82.73,45.42,0.952,3.034
15,10,30,45,12m,rev+oca+opm,1.818,76.09,41.85,0.93,2.881
30,5,25,40,12m-1m,rev+oca+opm,1.816,75.51,41.58,0.841,3.092
5,0,50,45,12m,rev+oca+opm,1.808,71.82,39.73,0.929,2.671
10,0,55,35,12m-1m,rev+oca+opm,1.803,69.65,38.64,0.915,2.677
15,5,40,40,12m,rev+oca+opm,1.801,79.23,44.0,0.942,2.892
20,10,30,40,12m,rev+gp+opm,1.796,76.04,42.33,0.93,2.871
20,5,30,45,6m,rev+oca+gp,1.792,71.9,40.11,0.819,2.83
20,10,30,40,12m,rev+oca+gp,1.79,76.67,42.83,0.934,2.904
25,5,35,35,12m,rev+oca+gp,1.79,74.47,41.6,0.919,2.872
