v,q,g,m,mom,g_sub,cal,cagr,mdd,sharpe,sortino
30,20,10,40,6m-1m,rev+oca 7:3,1.827,91.38,50.02,0.667,4.022
30,15,25,30,6m,rev+oca 7:3,1.818,86.99,47.84,0.658,3.978
20,0,35,45,6m-1m,rev+opm 7:3,1.764,84.94,48.16,0.882,3.169
30,10,35,25,6m-1m,rev+oca 7:3,1.734,69.66,40.18,0.704,3.177
30,20,10,40,6m-1m,rev+opm 7:3,1.618,84.61,52.29,0.644,3.737
20,20,35,25,6m-1m,rev+opm 7:3,1.616,75.59,46.78,0.731,3.132
20,10,35,35,6m,rev+opm 7:3,1.601,78.41,48.96,0.745,3.317
30,5,35,30,6m,rev+oca 7:3,1.59,72.57,45.64,0.717,3.364
25,0,35,40,6m,rev+opm 7:3,1.574,82.74,52.57,0.849,3.083
30,0,35,35,6m,rev+oca 7:3,1.567,71.98,45.95,0.72,3.132
20,5,35,40,6m,rev+opm 7:3,1.558,79.06,50.75,0.831,3.063
25,15,35,25,6m-1m,rev+opm 7:3,1.557,73.76,47.38,0.724,3.045
30,5,35,30,6m-1m,rev+opm 7:3,1.555,74.83,48.12,0.618,3.835
25,20,35,20,6m,rev+oca 7:3,1.554,80.57,51.86,0.64,3.637
25,0,35,40,6m-1m,rev+opm 7:3,1.553,70.75,45.56,0.708,3.208
30,10,25,35,6m,rev+oca 7:3,1.545,74.17,48.0,0.725,3.197
25,10,30,35,6m,rev+opm 7:3,1.541,84.4,54.77,0.744,3.737
30,10,30,30,6m-1m,rev+oca 7:3,1.529,72.48,47.4,0.723,3.159
20,20,35,25,6m-1m,rev+oca 7:3,1.525,67.93,44.56,0.703,2.891
25,15,25,35,6m-1m,rev+oca 7:3,1.523,73.67,48.39,0.721,3.131
35,5,30,30,6m,rev+oca 7:3,1.509,76.07,50.4,0.732,3.396
25,20,35,20,6m-1m,rev+opm 7:3,1.507,81.24,53.89,0.757,3.159
25,10,35,30,6m-1m,rev+oca 7:3,1.483,74.52,50.25,0.726,3.306
25,15,30,30,6m-1m,rev+opm 7:3,1.474,75.64,51.32,0.732,3.2
20,15,35,30,6m,rev+opm 7:3,1.458,74.92,51.37,0.727,3.294
30,20,20,30,6m-1m,rev+oca 7:3,1.449,71.73,49.49,0.606,3.57
15,20,30,35,6m,rev+oca 7:3,1.446,62.09,42.92,0.791,2.471
25,20,30,25,6m-1m,rev+opm 7:3,1.437,77.94,54.26,0.75,2.938
20,15,35,30,6m,rev+oca 7:3,1.43,69.72,48.77,0.706,3.203
20,15,35,30,6m-1m,rev+oca 7:3,1.421,68.15,47.96,0.697,3.016
25,10,30,35,6m,rev+oca 7:3,1.409,69.72,49.48,0.782,2.884
25,15,35,25,6m-1m,rev+oca 7:3,1.39,64.78,46.59,0.687,2.859
25,5,35,35,6m,rev+opm 7:3,1.388,74.58,53.73,0.728,3.174
25,15,25,35,6m,rev+oca 7:3,1.386,67.36,48.6,0.695,2.989
30,15,25,30,6m-1m,rev+oca 7:3,1.382,69.74,50.45,0.706,2.909
35,20,15,30,6m-1m,rev+oca 7:3,1.378,65.43,47.48,0.585,3.568
20,20,35,25,6m,rev+opm 7:3,1.375,69.82,50.78,0.708,3.002
20,10,25,45,6m-1m,rev+opm 7:3,1.361,73.55,54.05,0.801,3.052
25,0,30,45,6m-1m,rev+opm 7:3,1.359,69.95,51.49,0.782,2.938
25,10,35,30,6m,rev+oca 7:3,1.357,73.85,54.41,0.724,3.277
25,5,30,40,6m,rev+opm 7:3,1.356,74.98,55.29,0.707,3.375
30,20,10,40,6m,rev+oca 7:3,1.351,69.06,51.13,0.597,3.638
20,5,30,45,6m-1m,rev+opm 7:3,1.346,72.98,54.22,0.818,2.978
35,5,35,25,6m,rev+oca 7:3,1.336,65.84,49.29,0.685,3.222
35,20,5,40,6m-1m,rev+oca 7:3,1.326,78.63,59.32,0.626,4.047
30,10,35,25,6m-1m,rev+opm 7:3,1.326,69.18,52.19,0.6,3.593
15,10,35,40,6m,rev+opm 7:3,1.324,64.86,48.99,0.776,2.655
30,15,15,40,6m-1m,rev+opm 7:3,1.323,80.22,60.64,0.631,3.955
35,10,25,30,6m,rev+oca 7:3,1.32,78.37,59.37,0.631,3.831
25,15,25,35,6m,rev+opm 7:3,1.313,71.62,54.55,0.715,3.077
30,10,30,30,6m,rev+oca 7:3,1.311,68.22,52.03,0.791,2.747
35,15,25,25,6m-1m,rev+oca 7:3,1.31,68.18,52.03,0.597,3.515
35,15,30,20,6m-1m,rev+opm 7:3,1.303,72.46,55.6,0.613,3.563
30,15,10,45,6m-1m,rev+oca 7:3,1.301,70.89,54.5,0.719,3.068
30,10,25,35,6m-1m,rev+oca 7:3,1.296,72.23,55.75,0.716,3.155
30,20,10,40,6m,rev+opm 7:3,1.293,68.67,53.09,0.596,3.631
35,0,35,30,6m,rev+oca 7:3,1.28,64.88,50.68,0.685,3.17
25,20,20,35,6m,rev+oca 7:3,1.279,68.37,53.46,0.596,3.595
25,15,30,30,6m,rev+oca 7:3,1.275,68.61,53.79,0.794,2.763
30,15,20,35,6m-1m,rev+oca 7:3,1.275,73.97,58.04,0.616,3.575
20,20,30,30,6m,rev+oca 7:3,1.269,67.18,52.94,0.693,2.92
25,20,15,40,6m,rev+opm 7:3,1.269,74.01,58.34,0.731,3.014
15,10,35,40,6m-1m,rev+oca 7:3,1.263,62.59,49.58,0.744,2.73
25,5,25,45,6m,rev+opm 7:3,1.263,82.09,65.0,0.847,3.108
30,20,25,25,6m,rev+oca 7:3,1.262,80.43,63.75,0.639,3.582
35,10,30,25,6m,rev+oca 7:3,1.255,81.59,65.02,0.642,3.708
30,15,35,20,6m-1m,rev+oca 7:3,1.254,71.0,56.61,0.608,3.544
20,10,30,40,6m,rev+oca 7:3,1.248,56.14,44.98,0.752,2.421
20,20,35,25,6m,rev+oca 7:3,1.246,65.76,52.76,0.779,2.532
35,15,30,20,6m-1m,rev+oca 7:3,1.243,66.34,53.38,0.592,3.404
20,15,25,40,6m,rev+oca 7:3,1.241,59.94,48.3,0.742,2.55
30,10,35,25,6m,rev+oca 7:3,1.23,65.33,53.11,0.685,3.145
30,15,20,35,6m-1m,rev+opm 7:3,1.229,72.25,58.77,0.607,3.603
30,5,35,30,6m-1m,rev+oca 7:3,1.221,55.63,45.58,0.64,2.741
30,5,25,40,6m-1m,rev+opm 7:3,1.218,75.1,61.65,0.731,3.297
35,20,20,25,6m-1m,rev+opm 7:3,1.214,67.12,55.27,0.589,3.404
35,10,5,50,6m-1m,rev+opm 7:3,1.211,70.76,58.43,0.587,3.713
30,0,25,45,6m-1m,rev+opm 7:3,1.21,69.18,57.19,0.735,3.122
35,20,25,20,6m,rev+opm 7:3,1.207,81.86,67.84,0.643,3.677
30,5,30,35,6m,rev+oca 7:3,1.206,61.87,51.29,0.754,2.586
20,15,35,30,6m-1m,rev+opm 7:3,1.206,60.05,49.8,0.664,2.679
10,20,35,35,6m,rev+oca 7:3,1.202,63.5,52.85,0.827,2.428
