v,q,g,m,mom,g_sub,entry,exit,slots,cal,cagr,mdd,sharpe,sortino
20,0,45,35,12m,rev+oca+opm,10,11,5,2.435,95.25,39.12,1.053,3.293
20,0,45,35,12m,rev+oca+opm,10,12,5,2.385,93.31,39.12,1.041,3.24
20,0,45,35,12m,rev+oca+opm,10,13,5,2.32,90.75,39.12,1.025,3.215
20,0,45,35,12m,rev+oca+opm,10,14,5,2.24,87.65,39.12,1.006,3.159
25,0,40,35,12m,rev+oca+opm,10,11,3,2.231,96.53,43.26,0.82,3.522
20,10,35,35,12m,rev+oca+gp,5,6,7,2.214,91.86,41.49,1.01,3.293
20,0,45,35,12m,rev+oca+opm,5,9,7,2.211,96.65,43.71,1.147,3.205
15,0,50,35,12m,rev+oca+opm,10,11,5,2.185,85.96,39.33,0.996,3.196
15,0,50,35,12m,rev+oca+gp,5,10,5,2.183,92.04,42.16,1.036,3.21
25,0,40,35,12m,rev+oca+opm,5,7,7,2.177,93.33,42.88,1.041,3.28
20,10,35,35,12m,rev+oca+gp,5,10,5,2.176,90.3,41.49,0.925,3.358
20,0,45,35,12m,rev+oca+opm,5,10,7,2.174,95.04,43.71,1.157,3.166
25,0,40,35,12m,rev+oca+opm,10,12,3,2.168,93.77,43.26,0.809,3.468
25,0,40,35,12m,rev+oca+opm,5,8,7,2.166,92.88,42.88,1.038,3.26
20,15,30,35,12m,rev+oca+gp,10,11,5,2.148,84.57,39.37,0.894,3.24
20,10,35,35,12m,rev+oca+gp,5,6,5,2.139,88.75,41.49,0.992,3.201
25,0,40,35,12m,rev+oca+opm,5,7,5,2.134,91.84,43.05,1.031,3.261
20,10,35,35,12m,rev+oca+gp,5,8,5,2.132,88.47,41.49,1.01,3.198
20,0,45,35,12m,rev+oca+opm,5,10,5,2.126,93.75,44.1,1.042,3.24
10,5,45,40,12m,rev+gp+opm,5,10,5,2.124,87.96,41.41,1.011,3.119
20,0,45,35,12m,rev+oca+opm,5,9,5,2.124,93.68,44.1,1.042,3.223
15,0,50,35,12m,rev+oca+opm,5,8,7,2.117,92.19,43.55,1.114,3.161
20,0,45,35,12m,rev+oca+opm,10,15,5,2.113,82.65,39.12,0.974,3.053
25,0,40,35,12m,rev+oca+opm,5,8,3,2.107,98.64,46.82,0.827,3.56
15,10,35,40,12m,rev+oca+gp,5,10,5,2.106,89.21,42.37,1.015,3.178
25,0,40,35,12m,rev+oca+opm,3,8,3,2.103,92.7,44.07,0.805,3.346
10,10,45,35,6m,rev+oca+gp,5,8,5,2.096,81.86,39.06,0.966,3.042
25,0,40,35,12m,rev+oca+opm,5,9,5,2.091,90.01,43.05,1.02,3.183
15,0,50,35,12m,rev+oca+opm,5,9,7,2.081,90.64,43.55,1.123,3.115
20,10,35,35,12m,rev+oca+gp,5,9,5,2.081,86.34,41.49,0.997,3.153
25,10,30,35,12m,rev+oca+opm,10,15,3,2.08,93.81,45.11,0.676,4.138
20,15,30,35,12m,rev+oca+gp,5,9,5,2.078,86.37,41.56,0.904,3.268
25,0,40,35,12m,rev+oca+opm,10,13,3,2.075,89.74,43.26,0.793,3.439
20,15,30,35,12m,rev+gp+opm,5,9,5,2.074,88.05,42.44,0.91,3.307
25,0,40,35,12m,rev+oca+opm,5,7,3,2.074,98.09,47.29,0.825,3.563
20,10,35,35,12m,rev+oca+gp,5,7,5,2.069,85.87,41.49,0.994,3.1
25,0,40,35,12m,rev+oca+opm,7,11,3,2.067,95.21,46.07,0.815,3.478
25,0,40,35,12m,rev+oca+opm,10,13,5,2.067,80.87,39.13,0.962,3.033
15,0,50,35,12m,rev+oca+opm,5,10,5,2.062,90.05,43.67,1.019,3.22
20,0,45,35,12m,rev+oca+opm,5,8,7,2.06,90.02,43.71,1.101,3.086
25,0,40,35,12m,rev+oca+opm,7,8,3,2.059,97.69,47.43,0.824,3.55
10,10,45,35,6m,rev+oca+gp,5,9,5,2.058,81.26,39.49,0.963,3.041
10,10,45,35,6m,rev+oca+gp,5,8,7,2.057,78.69,38.26,0.945,3.046
15,0,50,35,12m,rev+oca+opm,7,10,5,2.056,85.82,41.74,0.994,3.157
15,10,35,40,12m,rev+oca+gp,5,9,5,2.054,87.01,42.37,1.001,3.156
15,0,50,35,12m,rev+oca+opm,5,9,5,2.052,89.6,43.67,1.016,3.185
10,0,55,35,12m,rev+oca+gp,5,8,5,2.05,84.57,41.25,0.985,2.992
15,0,50,35,12m,rev+oca+opm,7,9,5,2.049,85.53,41.74,0.991,3.135
15,5,50,30,12m,rev+oca+opm,5,8,5,2.048,87.58,42.78,1.001,3.158
20,0,45,35,12m,rev+oca+opm,5,8,5,2.047,90.24,44.1,1.021,3.156
25,0,40,35,12m,rev+oca+opm,5,9,7,2.043,87.63,42.88,1.019,3.122
25,10,30,35,12m,rev+oca+opm,3,6,5,2.042,98.17,48.08,0.825,3.513
20,15,30,35,12m,rev+oca+gp,5,8,5,2.041,84.83,41.56,0.895,3.253
25,0,40,35,12m,rev+oca+opm,10,12,5,2.041,79.85,39.13,0.956,3.013
25,10,30,35,12m,rev+oca+opm,10,14,3,2.038,91.23,44.76,0.668,4.103
20,0,45,35,12m,rev+oca+opm,7,10,5,2.036,90.08,44.25,1.021,3.148
25,0,40,35,12m,rev+oca+opm,5,8,5,2.036,87.65,43.05,1.005,3.153
20,10,35,35,12m,rev+oca+gp,5,7,7,2.035,84.46,41.49,1.061,3.011
10,0,55,35,12m,rev+oca+gp,5,8,7,2.034,83.9,41.25,1.071,2.898
20,15,30,35,12m,rev+oca+gp,10,14,5,2.034,81.18,39.9,0.875,3.17
25,10,30,35,12m,rev+oca+opm,3,6,7,2.031,97.62,48.08,0.823,3.504
20,15,30,35,12m,rev+oca+gp,5,7,5,2.031,84.4,41.56,0.985,3.104
20,0,45,35,12m,rev+oca+opm,7,11,5,2.028,89.73,44.25,1.019,3.124
15,10,45,30,12m,rev+oca+opm,5,8,5,2.028,83.28,41.07,0.974,2.951
10,5,45,40,12m,rev+gp+opm,5,7,5,2.026,81.73,40.34,0.97,2.999
15,0,50,35,12m,rev+oca+opm,5,10,7,2.026,88.22,43.55,1.106,3.076
10,10,45,35,6m,rev+oca+gp,5,9,7,2.025,76.73,37.89,0.932,3.017
15,0,50,35,12m,rev+oca+gp,5,8,5,2.025,85.37,42.16,0.994,3.04
20,10,35,35,12m,rev+oca+gp,10,11,3,2.024,93.38,46.15,0.678,4.058
20,0,45,35,12m,rev+oca+opm,5,7,5,2.02,89.07,44.1,1.014,3.12
10,5,45,40,12m,rev+gp+opm,5,7,7,2.019,81.45,40.34,1.057,2.895
20,0,45,35,12m,rev+oca+opm,5,6,5,2.019,85.91,42.56,0.994,3.091
15,0,50,35,12m,rev+oca+opm,3,8,5,2.018,85.74,42.49,0.97,2.831
20,0,45,35,12m,rev+oca+opm,7,9,5,2.018,89.31,44.25,1.016,3.141
10,5,45,40,12m,rev+gp+opm,5,8,7,2.017,81.39,40.34,1.058,2.893
10,5,45,40,12m,rev+gp+opm,5,10,7,2.014,81.24,40.34,1.058,2.91
20,10,35,35,12m,rev+oca+gp,7,11,3,2.013,92.89,46.15,0.677,4.05
20,10,35,35,12m,rev+oca+gp,5,9,7,2.011,83.45,41.49,1.056,3.031
25,0,40,35,12m,rev+oca+opm,3,8,5,2.009,87.26,43.43,0.871,3.091
25,0,40,35,12m,rev+oca+opm,7,12,3,2.007,92.47,46.07,0.804,3.425
20,10,35,35,12m,rev+oca+gp,10,12,5,2.006,80.83,40.29,0.872,3.192
10,5,45,40,12m,rev+gp+opm,5,9,5,2.005,85.98,42.88,0.998,3.091
