v,q,g,m,mom,g_sub,entry,exit,slots,cal,cagr,mdd,sharpe,sortino
20,0,35,45,6m-1m,rev+opm 7:3,3,6,3,1.971,89.91,45.61,0.792,3.68
30,15,25,30,6m,rev+oca 7:3,3,4,5,1.955,88.66,45.35,0.666,4.003
30,15,25,30,6m,rev+oca 7:3,3,4,7,1.955,88.66,45.35,0.666,4.003
30,15,25,30,6m,rev+oca 7:3,3,5,5,1.945,89.72,46.12,0.668,4.037
30,15,25,30,6m,rev+oca 7:3,3,5,7,1.945,89.72,46.12,0.668,4.037
30,15,25,30,6m,rev+oca 7:3,3,4,3,1.936,90.89,46.93,0.673,3.972
20,0,35,45,6m-1m,rev+opm 7:3,3,8,3,1.923,86.05,44.76,0.775,3.645
30,15,25,30,6m,rev+oca 7:3,3,5,3,1.905,86.75,45.54,0.659,3.897
20,0,35,45,6m-1m,rev+opm 7:3,3,7,3,1.882,84.27,44.77,0.768,3.613
30,20,10,40,6m-1m,rev+oca 7:3,3,5,5,1.873,94.89,50.66,0.677,4.227
30,20,10,40,6m-1m,rev+oca 7:3,3,5,7,1.873,94.89,50.66,0.677,4.227
25,15,35,25,6m-1m,rev+opm 7:3,3,7,5,1.849,82.21,44.46,0.76,3.226
25,15,35,25,6m-1m,rev+opm 7:3,3,8,7,1.847,84.96,46.0,0.771,3.279
25,15,35,25,6m-1m,rev+opm 7:3,3,7,7,1.845,82.05,44.46,0.759,3.223
30,20,10,40,6m-1m,rev+oca 7:3,3,6,7,1.827,91.38,50.02,0.667,4.022
30,20,10,40,6m-1m,rev+oca 7:3,3,6,5,1.822,91.16,50.02,0.666,4.019
30,20,10,40,6m-1m,rev+opm 7:3,3,5,5,1.821,88.34,48.52,0.655,4.0
30,20,10,40,6m-1m,rev+opm 7:3,3,5,7,1.821,88.34,48.52,0.655,4.0
30,15,25,30,6m,rev+oca 7:3,3,6,5,1.82,87.1,47.84,0.659,3.981
30,15,25,30,6m,rev+oca 7:3,3,6,7,1.818,86.99,47.84,0.658,3.978
25,0,35,40,6m,rev+opm 7:3,5,7,3,1.795,89.73,49.98,0.791,3.584
25,15,35,25,6m-1m,rev+opm 7:3,3,8,5,1.794,83.16,46.35,0.763,3.248
30,20,10,40,6m-1m,rev+oca 7:3,3,4,3,1.79,102.02,57.0,0.699,4.142
30,20,10,40,6m-1m,rev+oca 7:3,3,4,5,1.787,98.51,55.13,0.689,4.085
30,20,10,40,6m-1m,rev+oca 7:3,3,4,7,1.787,98.51,55.13,0.689,4.085
30,10,35,25,6m-1m,rev+oca 7:3,3,7,7,1.769,71.08,40.18,0.715,3.179
20,0,35,45,6m-1m,rev+opm 7:3,3,6,7,1.764,84.94,48.16,0.882,3.169
20,0,35,45,6m-1m,rev+opm 7:3,3,6,5,1.762,84.87,48.16,0.882,3.168
30,10,35,25,6m-1m,rev+oca 7:3,3,7,5,1.758,70.63,40.18,0.713,3.169
30,20,10,40,6m-1m,rev+oca 7:3,3,5,3,1.744,88.55,50.76,0.66,3.991
30,10,35,25,6m-1m,rev+oca 7:3,3,5,5,1.742,69.73,40.04,0.706,3.126
30,10,35,25,6m-1m,rev+oca 7:3,3,5,7,1.742,69.73,40.04,0.706,3.126
25,0,35,40,6m,rev+opm 7:3,7,9,3,1.739,92.77,53.34,0.803,3.718
25,0,35,40,6m,rev+opm 7:3,3,7,7,1.738,89.54,51.53,0.882,3.3
30,10,35,25,6m-1m,rev+oca 7:3,3,6,5,1.735,69.71,40.18,0.705,3.178
30,10,35,25,6m-1m,rev+oca 7:3,3,6,7,1.734,69.66,40.18,0.704,3.177
25,15,35,25,6m-1m,rev+opm 7:3,5,8,5,1.729,73.49,42.5,0.723,3.344
30,20,10,40,6m-1m,rev+oca 7:3,3,7,7,1.723,85.55,49.64,0.648,3.943
25,0,35,40,6m,rev+opm 7:3,3,7,5,1.721,88.68,51.53,0.878,3.289
30,10,35,25,6m-1m,rev+oca 7:3,3,6,3,1.708,69.78,40.86,0.706,3.11
20,0,35,45,6m-1m,rev+opm 7:3,3,7,7,1.693,77.37,45.69,0.841,3.063
20,0,35,45,6m-1m,rev+opm 7:3,3,8,7,1.692,75.99,44.91,0.843,2.992
20,0,35,45,6m-1m,rev+opm 7:3,3,7,5,1.687,77.07,45.69,0.839,3.057
30,20,10,40,6m-1m,rev+oca 7:3,3,7,5,1.685,85.24,50.59,0.647,3.927
30,15,25,30,6m,rev+oca 7:3,3,7,7,1.684,81.27,48.26,0.64,3.885
25,0,35,40,6m,rev+opm 7:3,3,8,5,1.68,85.59,50.94,0.863,3.213
30,15,25,30,6m,rev+oca 7:3,3,7,5,1.678,80.97,48.26,0.639,3.882
25,0,35,40,6m,rev+opm 7:3,3,7,3,1.677,86.34,51.5,0.78,3.386
30,5,35,30,6m-1m,rev+opm 7:3,3,5,5,1.67,78.69,47.11,0.632,3.77
30,5,35,30,6m-1m,rev+opm 7:3,3,5,7,1.67,78.69,47.11,0.632,3.77
25,0,35,40,6m,rev+opm 7:3,3,8,7,1.666,84.89,50.94,0.859,3.199
25,15,35,25,6m-1m,rev+opm 7:3,5,6,5,1.662,74.56,44.87,0.729,3.367
25,0,35,40,6m,rev+opm 7:3,5,6,3,1.662,85.27,51.29,0.773,3.481
25,15,35,25,6m-1m,rev+opm 7:3,5,7,5,1.659,73.25,44.16,0.722,3.346
30,10,35,25,6m-1m,rev+oca 7:3,3,8,7,1.658,66.61,40.18,0.693,3.081
30,10,35,25,6m-1m,rev+oca 7:3,3,8,5,1.655,66.48,40.18,0.692,3.078
25,0,35,40,6m-1m,rev+opm 7:3,7,8,3,1.653,78.75,47.65,0.744,3.292
30,5,35,30,6m-1m,rev+opm 7:3,3,5,3,1.646,77.93,47.35,0.631,3.682
20,10,35,35,6m,rev+opm 7:3,3,7,7,1.638,79.14,48.31,0.748,3.367
25,15,35,25,6m-1m,rev+opm 7:3,5,8,3,1.636,75.12,45.91,0.727,3.289
25,0,35,40,6m,rev+opm 7:3,5,9,3,1.635,87.21,53.34,0.78,3.622
30,0,35,35,6m,rev+oca 7:3,3,5,5,1.634,76.3,46.69,0.735,3.238
30,0,35,35,6m,rev+oca 7:3,3,5,7,1.634,76.3,46.69,0.735,3.238
20,0,35,45,6m-1m,rev+opm 7:3,3,8,5,1.634,74.18,45.39,0.832,2.954
20,10,35,35,6m,rev+opm 7:3,10,15,5,1.633,72.91,44.65,0.91,2.811
25,15,35,25,6m-1m,rev+opm 7:3,7,8,3,1.631,75.22,46.11,0.727,3.294
20,20,35,25,6m-1m,rev+opm 7:3,3,6,3,1.627,76.33,46.91,0.737,3.068
30,20,10,40,6m-1m,rev+opm 7:3,3,6,5,1.625,84.98,52.29,0.645,3.745
20,10,35,35,6m,rev+opm 7:3,3,7,5,1.623,78.4,48.31,0.745,3.342
25,0,35,40,6m-1m,rev+opm 7:3,3,8,3,1.622,70.63,43.54,0.605,3.612
25,0,35,40,6m-1m,rev+opm 7:3,3,8,7,1.621,69.37,42.8,0.706,3.119
20,0,35,45,6m-1m,rev+opm 7:3,5,6,7,1.621,72.41,44.66,0.886,2.908
30,20,10,40,6m-1m,rev+opm 7:3,3,6,7,1.618,84.61,52.29,0.644,3.737
20,20,35,25,6m-1m,rev+opm 7:3,3,6,5,1.616,75.59,46.78,0.731,3.132
20,20,35,25,6m-1m,rev+opm 7:3,3,6,7,1.616,75.59,46.78,0.731,3.132
25,20,35,20,6m,rev+oca 7:3,3,5,5,1.612,82.51,51.17,0.647,3.698
25,20,35,20,6m,rev+oca 7:3,3,5,7,1.612,82.51,51.17,0.647,3.698
20,20,35,25,6m-1m,rev+opm 7:3,7,8,3,1.61,76.88,47.74,0.735,3.302
25,0,35,40,6m,rev+opm 7:3,3,6,3,1.61,85.87,53.32,0.778,3.374
20,10,35,35,6m,rev+opm 7:3,3,6,5,1.601,78.36,48.96,0.745,3.316
20,10,35,35,6m,rev+opm 7:3,3,6,7,1.601,78.41,48.96,0.745,3.317
30,20,10,40,6m-1m,rev+opm 7:3,3,5,3,1.595,83.49,52.34,0.645,3.859
30,5,35,30,6m,rev+oca 7:3,3,6,7,1.59,72.57,45.64,0.717,3.364
30,5,35,30,6m,rev+oca 7:3,3,6,5,1.588,72.45,45.64,0.716,3.361
25,0,35,40,6m,rev+opm 7:3,7,11,3,1.585,86.47,54.54,0.777,3.594
25,0,35,40,6m,rev+opm 7:3,10,11,3,1.585,86.47,54.54,0.777,3.594
30,5,35,30,6m-1m,rev+opm 7:3,5,6,7,1.584,73.9,46.67,0.726,3.345
30,10,35,25,6m-1m,rev+oca 7:3,3,5,3,1.584,68.48,43.23,0.701,3.034
25,15,35,25,6m-1m,rev+opm 7:3,3,7,3,1.581,79.9,50.55,0.752,3.129
20,10,35,35,6m,rev+opm 7:3,10,14,5,1.581,70.39,44.52,0.892,2.773
20,5,35,40,6m,rev+opm 7:3,3,7,3,1.58,78.42,49.65,0.748,3.215
20,20,35,25,6m-1m,rev+opm 7:3,3,5,5,1.58,72.32,45.78,0.717,3.061
20,20,35,25,6m-1m,rev+opm 7:3,3,5,7,1.58,72.32,45.78,0.717,3.061
25,0,35,40,6m,rev+opm 7:3,3,6,5,1.574,82.76,52.57,0.849,3.084
25,0,35,40,6m,rev+opm 7:3,3,6,7,1.574,82.74,52.57,0.849,3.083
