regime,atk,def,cal,cagr,mdd,sharpe,sortino,switches
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.456,140.08,40.53,0.797,4.808,33
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.456,140.08,40.53,0.797,4.808,33
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.443,135.66,39.4,0.786,4.75,93
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.443,135.66,39.4,0.786,4.75,93
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.399,137.44,40.43,0.79,4.748,23
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.399,137.44,40.43,0.79,4.748,23
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.398,137.36,40.43,0.79,4.788,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.398,137.36,40.43,0.79,4.788,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.396,137.32,40.43,0.79,4.798,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.396,137.32,40.43,0.79,4.798,21
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.38,130.95,38.74,0.774,4.662,93
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.38,130.95,38.74,0.774,4.662,93
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.378,136.58,40.43,0.788,4.8,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.378,136.58,40.43,0.788,4.8,21
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.375,136.77,40.53,0.788,4.736,33
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.375,136.77,40.53,0.788,4.736,33
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.351,135.81,40.53,0.787,4.753,33
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.351,135.81,40.53,0.787,4.753,33
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.35,135.45,40.43,0.786,4.713,23
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.35,135.45,40.43,0.786,4.713,23
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.349,128.7,38.43,0.768,4.663,21
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.349,128.7,38.43,0.768,4.663,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.345,135.25,40.43,0.784,4.752,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.345,135.25,40.43,0.784,4.752,21
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.344,131.97,39.47,0.777,4.706,93
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.344,131.97,39.47,0.777,4.706,93
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.341,128.39,38.43,0.767,4.657,21
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.341,128.39,38.43,0.767,4.657,21
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.339,135.34,40.53,0.785,4.722,19
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.339,135.34,40.53,0.785,4.722,19
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.339,128.34,38.43,0.766,4.667,21
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.339,128.34,38.43,0.766,4.667,21
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.333,135.09,40.53,0.784,4.735,33
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.333,135.09,40.53,0.784,4.735,33
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.331,134.98,40.53,0.784,4.725,19
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.331,134.98,40.53,0.784,4.725,19
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.319,135.32,40.77,0.785,4.771,27
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.319,135.32,40.77,0.785,4.771,27
MA200_7d,V20Q0G45M35,V30Q15G25M30,3.312,132.65,40.05,0.778,4.695,21
