regime,atk,def,cal,cagr,mdd,sharpe,sortino,switches
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.696,140.03,37.89,0.796,4.768,25
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.696,140.03,37.89,0.796,4.768,25
BL126_40pct_3d,V20Q0G45M35,V30Q15G25M30,3.667,141.83,38.67,0.8,4.816,39
BL126_40pct_3d,V20Q0G45M35,V30Q15G25M30,3.667,141.83,38.67,0.8,4.816,39
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.633,137.64,37.89,0.79,4.723,25
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.633,137.64,37.89,0.79,4.723,25
BL126_40pct_3d,V20Q0G45M35,V30Q15G25M30,3.61,139.62,38.67,0.795,4.773,39
BL126_40pct_3d,V20Q0G45M35,V30Q15G25M30,3.61,139.62,38.67,0.795,4.773,39
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.572,135.33,37.89,0.784,4.709,25
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.572,135.33,37.89,0.784,4.709,25
DUAL_KP200+BS126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.553,143.65,40.43,0.805,4.864,23
DUAL_KP200+BS126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.553,143.65,40.43,0.805,4.864,23
BL126_40pct_3d,V20Q0G45M35,V30Q15G25M30,3.549,137.27,38.67,0.789,4.745,39
BL126_40pct_3d,V20Q0G45M35,V30Q15G25M30,3.549,137.27,38.67,0.789,4.745,39
DUAL_KP200+BL126_40_AND_5d,V20Q0G45M35,V30Q15G25M30,3.537,138.76,39.23,0.793,4.814,23
DUAL_KP200+BL126_40_AND_5d,V20Q0G45M35,V30Q15G25M30,3.537,138.76,39.23,0.793,4.814,23
DUAL_KP200+BS126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.537,143.02,40.43,0.803,4.862,23
DUAL_KP200+BS126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.537,143.02,40.43,0.803,4.862,23
DUAL_KP200+BL126_40_AND_5d,V20Q0G45M35,V30Q15G25M30,3.532,138.56,39.23,0.793,4.822,23
DUAL_KP200+BL126_40_AND_5d,V20Q0G45M35,V30Q15G25M30,3.532,138.56,39.23,0.793,4.822,23
DUAL_KP200+BU126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.523,142.42,40.43,0.802,4.838,21
DUAL_KP200+BU126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.523,142.42,40.43,0.802,4.838,21
DUAL_KP200+BL126_40_AND_5d,V20Q0G45M35,V30Q15G25M30,3.508,137.62,39.23,0.79,4.825,23
DUAL_KP200+BL126_40_AND_5d,V20Q0G45M35,V30Q15G25M30,3.508,137.62,39.23,0.79,4.825,23
DUAL_KP200+BU126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.507,141.79,40.43,0.8,4.835,21
DUAL_KP200+BU126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.507,141.79,40.43,0.8,4.835,21
BL126_50pct_10d,V20Q0G45M35,V30Q15G25M30,3.497,135.54,38.77,0.786,4.755,15
BL126_50pct_10d,V20Q0G45M35,V30Q15G25M30,3.497,135.54,38.77,0.786,4.755,15
DUAL_KP200+BS126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.483,140.82,40.43,0.798,4.815,23
DUAL_KP200+BS126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.483,140.82,40.43,0.798,4.815,23
DUAL_KP200+BL126_40_AND_5d,V20Q0G45M35,V30Q15G25M30,3.479,136.49,39.23,0.787,4.776,23
DUAL_KP200+BL126_40_AND_5d,V20Q0G45M35,V30Q15G25M30,3.479,136.49,39.23,0.787,4.776,23
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.475,140.49,40.43,0.797,4.801,19
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.475,140.49,40.43,0.797,4.801,19
BL126_50pct_10d,V20Q0G45M35,V30Q15G25M30,3.469,134.47,38.77,0.783,4.704,15
BL126_50pct_10d,V20Q0G45M35,V30Q15G25M30,3.469,134.47,38.77,0.783,4.704,15
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.468,140.21,40.43,0.796,4.798,19
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.468,140.21,40.43,0.796,4.798,19
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.46,131.08,37.89,0.774,4.635,25
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.46,131.08,37.89,0.774,4.635,25
BL126_50pct_10d,V20Q0G45M35,V30Q15G25M30,3.454,133.91,38.77,0.782,4.699,15
BL126_50pct_10d,V20Q0G45M35,V30Q15G25M30,3.454,133.91,38.77,0.782,4.699,15
DUAL_KP200+BU126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.453,139.59,40.43,0.795,4.788,21
DUAL_KP200+BU126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.453,139.59,40.43,0.795,4.788,21
BL126_40pct_3d,V20Q0G45M35,V30Q15G25M30,3.446,133.28,38.67,0.78,4.693,39
BL126_40pct_3d,V20Q0G45M35,V30Q15G25M30,3.446,133.28,38.67,0.78,4.693,39
BL126_50pct_10d,V20Q0G45M35,V30Q15G25M30,3.445,133.55,38.77,0.781,4.703,15
BL126_50pct_10d,V20Q0G45M35,V30Q15G25M30,3.445,133.55,38.77,0.781,4.703,15
DUAL_KP200+BL126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.433,138.79,40.43,0.793,4.78,21
DUAL_KP200+BL126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.433,138.79,40.43,0.793,4.78,21
DUAL_KP200+BL126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.429,138.63,40.43,0.792,4.743,23
DUAL_KP200+BL126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.429,138.63,40.43,0.792,4.743,23
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.428,129.87,37.89,0.77,4.638,25
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.428,129.87,37.89,0.77,4.638,25
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.413,137.98,40.43,0.791,4.773,19
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.413,137.98,40.43,0.791,4.773,19
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.406,137.71,40.43,0.79,4.77,19
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.406,137.71,40.43,0.79,4.77,19
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.402,137.54,40.43,0.79,4.749,19
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.402,137.54,40.43,0.79,4.749,19
DUAL_KP200+BS126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.4,137.45,40.43,0.789,4.789,23
DUAL_KP200+BS126_50_OR_5d,V20Q0G45M35,V30Q15G25M30,3.4,137.45,40.43,0.789,4.789,23
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.399,128.78,37.89,0.768,4.59,25
BL126_40pct_5d,V20Q0G45M35,V30Q15G25M30,3.399,128.78,37.89,0.768,4.59,25
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.395,137.27,40.43,0.789,4.747,19
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V30Q15G25M30,3.395,137.27,40.43,0.789,4.747,19
