rank,regime,cal,cagr,mdd,switches,wf_p1,wf_p2,wf_p3,wf_p4,wf_min,wf_pass,stab_ratio,stab_min,stab_mean,total
1,DUAL_KP200+BS126_50_OR_5d,3.553,143.65,40.43,23,5.404,3.825,3.115,4.25,3.115,True,0.96,1.981,2.61964,2.8825760000000002
2,MA200_5d,3.398,137.36,40.43,21,4.882,3.825,3.257,3.925,3.257,True,1.0,2.035,2.5641599999999998,2.8761000000000005
3,MA150_5d,3.399,137.44,40.43,23,4.968,3.603,3.314,4.195,3.314,True,0.92,1.824,2.4888399999999997,2.839316
4,MA150_3d,3.456,140.08,40.53,33,5.257,4.053,2.996,4.33,2.996,True,1.0,2.082,2.6945599999999996,2.7668000000000004
5,KD_MA150_3d,3.042,140.32,46.12,23,4.59,3.893,3.359,4.347,3.359,True,1.0,2.086,2.4829199999999996,2.7287
6,RSI14_45_3d,3.443,135.66,39.4,93,3.598,4.188,3.101,5.284,3.101,True,1.0,2.093,2.69408,2.7117999999999998
7,BL126_40pct_3d,3.667,141.83,38.67,39,4.629,4.141,2.174,7.289,2.174,True,0.88,1.896,2.40332,2.5376920000000003
8,GC20x60_5d,3.166,126.47,39.95,33,5.593,3.231,2.629,3.297,2.629,True,0.92,1.529,2.3626,2.4610440000000002
9,BL126_40pct_5d,3.696,140.03,37.89,25,5.274,4.157,1.55,6.33,1.55,True,0.84,1.808,2.42984,2.394728
10,SLOPE200_10w_10d,3.283,127.68,38.89,10,5.511,4.229,1.828,3.716,1.828,True,0.96,1.98,2.58036,2.363636
11,MOM252_3d,3.349,128.7,38.43,21,5.381,4.393,1.629,4.01,1.629,True,1.0,2.028,2.61156,2.3632
12,DD15pct_3d,3.199,140.49,43.92,22,6.942,3.341,1.836,6.303,1.836,True,1.0,2.045,2.46328,2.3503000000000003
13,BU126_40pct_3d,2.836,130.8,46.12,25,4.676,3.727,1.424,4.383,1.424,False,0.96,1.953,2.39268,2.022512
14,BS126_30pct_5d,2.869,111.21,38.77,20,2.07,3.894,1.348,3.826,1.348,False,0.36,1.245,1.86508,1.6716680000000002
15,NO_REGIME,2.435,95.25,39.12,0,2.413,4.115,0.517,5.329,0.517,False,0.24,1.252,1.74964,1.20248
