univ,v,q,g,m,slots,exit,cagr,mdd,calmar,total,alpha,sharpe
KP200+KQ150,0.0,0.0,0.3,0.7,3,4,43.32,36.69,1.181,1499.5,21.43,1.163
KP200+KQ150,0.0,0.0,0.3,0.7,5,7,56.18,26.84,2.093,2999.65,34.14,1.58
KP200+KQ150,0.0,0.0,0.3,0.7,7,10,52.24,27.25,1.917,2445.77,30.2,1.172
KP200+KQ150,0.0,0.0,0.3,0.7,10,14,41.29,25.81,1.6,1333.1,19.26,1.242
KP200+KQ150,0.0,0.0,0.35,0.65,3,4,54.88,38.48,1.426,2806.44,32.96,1.348
KP200+KQ150,0.0,0.0,0.35,0.65,5,7,52.95,25.92,2.043,2539.76,30.92,1.528
KP200+KQ150,0.0,0.0,0.35,0.65,7,10,51.48,27.57,1.867,2349.74,29.44,1.162
KP200+KQ150,0.0,0.0,0.35,0.65,10,14,43.48,25.17,1.727,1513.51,21.45,1.238
KP200+KQ150,0.0,0.0,0.4,0.6,3,4,60.9,38.12,1.598,3799.28,38.87,1.465
KP200+KQ150,0.0,0.0,0.4,0.6,5,7,66.88,29.0,2.306,5065.47,44.85,1.237
KP200+KQ150,0.0,0.0,0.4,0.6,7,10,43.26,28.81,1.501,1493.9,21.22,1.433
KP200+KQ150,0.0,0.0,0.4,0.6,10,14,45.81,24.77,1.849,1725.84,23.77,1.331
KP200+KQ150,0.0,0.0,0.45,0.55,3,4,75.87,27.9,2.719,7637.43,53.84,1.642
KP200+KQ150,0.0,0.0,0.45,0.55,5,7,59.93,30.43,1.969,3621.33,37.89,1.674
KP200+KQ150,0.0,0.0,0.45,0.55,7,10,55.56,24.49,2.268,2905.89,33.52,1.316
KP200+KQ150,0.0,0.0,0.45,0.55,10,14,44.44,22.98,1.934,1597.7,22.4,1.301
KP200+KQ150,0.0,0.0,0.5,0.5,3,4,79.38,33.03,2.403,8908.03,57.35,1.688
KP200+KQ150,0.0,0.0,0.5,0.5,5,7,63.37,25.17,2.518,4285.53,41.34,1.747
KP200+KQ150,0.0,0.0,0.5,0.5,7,10,55.59,23.16,2.4,2911.67,33.56,1.319
KP200+KQ150,0.0,0.0,0.5,0.5,10,14,46.62,23.79,1.96,1805.73,24.59,1.348
KP200+KQ150,0.0,0.0,0.55,0.45,3,4,67.96,29.73,2.286,5326.89,45.93,1.605
KP200+KQ150,0.0,0.0,0.55,0.45,5,7,66.29,25.17,2.634,4926.06,44.26,1.807
KP200+KQ150,0.0,0.0,0.55,0.45,7,10,54.2,23.1,2.346,2710.56,32.17,1.729
KP200+KQ150,0.0,0.0,0.55,0.45,10,14,50.05,21.99,2.276,2177.58,28.02,1.439
KP200+KQ150,0.0,0.0,0.6,0.4,3,4,58.17,34.49,1.686,3318.45,36.14,1.433
KP200+KQ150,0.0,0.0,0.6,0.4,5,7,65.87,26.14,2.52,4829.39,43.84,1.832
KP200+KQ150,0.0,0.0,0.6,0.4,7,10,52.47,23.1,2.271,2475.88,30.44,1.673
