univ,v,q,g,m,slots,exit,cagr,mdd,calmar,total,alpha,sharpe
KP200+KQ150,0.0,0.0,0.3,0.7,3,4,43.32,36.69,1.181,1499.5,21.43,1.163
KP200+KQ150,0.0,0.0,0.3,0.7,5,7,56.18,26.84,2.093,2999.65,34.14,1.58
KP200+KQ150,0.0,0.0,0.3,0.7,7,10,52.24,27.25,1.917,2445.77,30.2,1.172
KP200+KQ150,0.0,0.0,0.3,0.7,10,14,41.29,25.81,1.6,1333.1,19.26,1.242
KP200+KQ150,0.0,0.0,0.4,0.6,3,4,60.9,38.12,1.598,3799.28,38.87,1.465
KP200+KQ150,0.0,0.0,0.4,0.6,5,7,66.88,29.0,2.306,5065.47,44.85,1.237
KP200+KQ150,0.0,0.0,0.4,0.6,7,10,43.26,28.81,1.501,1493.9,21.22,1.433
KP200+KQ150,0.0,0.0,0.4,0.6,10,14,45.81,24.77,1.849,1725.84,23.77,1.331
KP200+KQ150,0.0,0.0,0.5,0.5,3,4,79.38,33.03,2.403,8908.03,57.35,1.688
KP200+KQ150,0.0,0.0,0.5,0.5,5,7,63.37,25.17,2.518,4285.53,41.34,1.747
KP200+KQ150,0.0,0.0,0.5,0.5,7,10,55.59,23.16,2.4,2911.67,33.56,1.319
KP200+KQ150,0.0,0.0,0.5,0.5,10,14,46.62,23.79,1.96,1805.73,24.59,1.348
KP200+KQ150,0.0,0.0,0.6,0.4,3,4,58.17,34.49,1.686,3318.45,36.14,1.433
KP200+KQ150,0.0,0.0,0.6,0.4,5,7,65.87,26.14,2.52,4829.39,43.84,1.832
KP200+KQ150,0.0,0.0,0.6,0.4,7,10,52.47,23.1,2.271,2475.88,30.44,1.673
KP200+KQ150,0.0,0.0,0.6,0.4,10,14,51.04,24.53,2.08,2295.9,29.01,1.41
KP200+KQ150,0.0,0.0,0.7,0.3,3,4,66.28,32.93,2.013,4923.76,44.25,1.608
KP200+KQ150,0.0,0.0,0.7,0.3,5,7,56.64,28.5,1.987,3071.14,34.61,1.646
KP200+KQ150,0.0,0.0,0.7,0.3,7,10,49.74,26.38,1.885,2141.05,27.7,1.61
KP200+KQ150,0.0,0.0,0.7,0.3,10,14,51.85,21.15,2.451,2396.23,29.81,1.476
KP200+KQ150,0.0,0.0,0.8,0.2,3,4,79.74,31.32,2.546,9050.68,57.71,1.746
KP200+KQ150,0.0,0.0,0.8,0.2,5,7,58.19,31.76,1.832,3320.39,36.15,1.68
KP200+KQ150,0.0,0.0,0.8,0.2,7,10,54.3,25.85,2.101,2723.59,32.26,1.308
KP200+KQ150,0.0,0.0,0.8,0.2,10,14,50.78,21.11,2.405,2263.9,28.74,1.451
KP200+KQ150,0.0,0.1,0.2,0.7,3,4,43.19,30.51,1.416,1488.24,21.18,1.196
KP200+KQ150,0.0,0.1,0.2,0.7,5,7,59.89,27.3,2.194,3614.52,37.86,1.263
KP200+KQ150,0.0,0.1,0.2,0.7,7,10,48.18,27.09,1.779,1967.58,26.15,1.122
