univ,weights,slots,exit,cagr,mdd,calmar,total,sharpe,alpha
raw (production),V15Q00G55M30 (현재),3,4,53.66,31.73,1.691,2635.6,1.339,31.55
raw (production),V15Q00G55M30 (현재),5,7,63.88,28.96,2.206,4390.19,1.687,41.84
raw (production),V15Q00G55M30 (현재),7,10,46.06,25.78,1.787,1750.16,1.437,24.02
raw (production),V15Q00G55M30 (현재),10,14,34.48,25.9,1.331,879.49,1.199,12.45
raw (production),V40Q25G15M20 (V↑),3,4,21.86,43.57,0.502,358.48,0.735,0.08
raw (production),V40Q25G15M20 (V↑),5,7,24.96,54.22,0.46,456.46,0.9,2.93
raw (production),V40Q25G15M20 (V↑),7,10,24.23,49.94,0.485,431.96,0.943,2.2
raw (production),V40Q25G15M20 (V↑),10,14,18.48,41.58,0.444,269.12,0.832,-3.56
raw (production),V35Q35G15M15 (V+Q),3,4,35.12,35.17,0.999,915.81,1.015,13.09
raw (production),V35Q35G15M15 (V+Q),5,7,22.32,40.92,0.545,372.04,0.832,0.29
raw (production),V35Q35G15M15 (V+Q),7,10,17.69,43.09,0.41,250.6,0.749,-4.35
raw (production),V35Q35G15M15 (V+Q),10,14,13.06,43.76,0.298,157.33,0.642,-8.98
raw (production),V50Q20G05M25 (가치),3,4,20.17,36.05,0.559,311.66,0.704,-1.5
raw (production),V50Q20G05M25 (가치),5,7,19.9,34.76,0.573,304.64,0.775,-2.13
raw (production),V50Q20G05M25 (가치),7,10,14.26,36.33,0.393,179.24,0.638,-7.77
raw (production),V50Q20G05M25 (가치),10,14,13.63,36.62,0.372,167.49,0.659,-8.41
raw (production),V30Q30G20M20 (균형),3,4,40.14,32.83,1.223,1245.51,1.109,18.36
raw (production),V30Q30G20M20 (균형),5,7,30.07,41.69,0.721,657.46,1.031,8.03
raw (production),V30Q30G20M20 (균형),7,10,19.88,53.4,0.372,304.25,0.802,-2.15
raw (production),V30Q30G20M20 (균형),10,14,18.58,39.4,0.471,271.51,0.823,-3.46
raw (production),V25Q15G35M25,3,4,56.7,33.59,1.688,3080.26,1.423,34.53
raw (production),V25Q15G35M25,5,7,36.46,28.76,1.268,996.23,1.147,14.43
raw (production),V25Q15G35M25,7,10,36.8,28.23,1.304,1017.45,1.242,14.77
raw (production),V25Q15G35M25,10,14,31.54,29.11,1.083,725.91,1.171,9.5
raw (production),V20Q10G40M30,3,4,58.92,31.85,1.85,3444.51,1.446,36.89
raw (production),V20Q10G40M30,5,7,54.01,26.42,2.044,2683.12,1.521,31.97
raw (production),V20Q10G40M30,7,10,41.37,28.26,1.464,1339.43,1.346,19.34
raw (production),V20Q10G40M30,10,14,37.85,25.36,1.493,1085.39,1.323,15.82
raw (production),V20Q10G20M50 (M↑),3,4,40.83,29.79,1.371,1297.33,1.09,18.81
