univ,weights,slots,exit,cagr,mdd,calmar,total,sharpe,alpha
raw,V15Q00G55M30 (현재),3,4,37.16,55.27,0.672,1040.32,0.83,18.15
raw,V15Q00G55M30 (현재),3,6,39.74,61.78,0.643,1216.38,0.867,20.91
raw,V15Q00G55M30 (현재),5,7,43.49,46.57,0.934,1513.76,1.022,24.58
raw,V15Q00G55M30 (현재),5,10,47.33,43.07,1.099,1878.07,1.104,28.42
raw,V15Q00G55M30 (현재),7,10,40.99,47.01,0.872,1309.84,1.069,22.08
raw,V15Q00G55M30 (현재),10,14,28.16,51.12,0.551,576.05,0.868,9.25
raw,V15Q00G55M30 (현재),15,20,22.87,42.09,0.543,388.72,0.789,3.97
raw,V40Q25G15M20 (V↑),3,4,11.99,61.98,0.193,139.22,0.477,-6.04
raw,V40Q25G15M20 (V↑),3,6,6.41,67.27,0.095,61.43,0.363,-12.17
raw,V40Q25G15M20 (V↑),5,7,13.77,62.13,0.222,170.2,0.533,-5.13
raw,V40Q25G15M20 (V↑),5,10,14.15,59.33,0.238,177.06,0.547,-4.76
raw,V40Q25G15M20 (V↑),7,10,13.34,68.65,0.194,162.33,0.54,-5.57
raw,V40Q25G15M20 (V↑),10,14,14.58,54.59,0.267,185.35,0.599,-4.32
raw,V40Q25G15M20 (V↑),15,20,11.34,56.8,0.2,128.79,0.523,-7.56
raw,V35Q35G15M15 (V+Q),3,4,13.29,80.57,0.165,161.41,0.508,-6.33
raw,V35Q35G15M15 (V+Q),3,6,18.63,78.98,0.236,272.89,0.605,-0.27
raw,V35Q35G15M15 (V+Q),5,7,5.37,75.3,0.071,49.64,0.329,-13.54
raw,V35Q35G15M15 (V+Q),5,10,4.93,81.55,0.06,44.9,0.316,-13.98
raw,V35Q35G15M15 (V+Q),7,10,6.79,70.18,0.097,65.91,0.365,-12.11
raw,V35Q35G15M15 (V+Q),10,14,6.84,67.46,0.101,66.49,0.371,-12.07
raw,V35Q35G15M15 (V+Q),15,20,8.14,50.0,0.163,82.7,0.421,-10.77
raw,V50Q20G05M25 (가치),3,4,4.76,56.19,0.085,43.07,0.32,-13.45
raw,V50Q20G05M25 (가치),3,6,5.97,59.14,0.101,56.3,0.348,-12.51
raw,V50Q20G05M25 (가치),5,7,14.18,50.35,0.282,177.65,0.549,-4.73
raw,V50Q20G05M25 (가치),5,10,13.51,47.44,0.285,165.33,0.534,-5.4
raw,V50Q20G05M25 (가치),7,10,8.92,50.19,0.178,93.18,0.425,-9.98
raw,V50Q20G05M25 (가치),10,14,6.1,57.04,0.107,57.74,0.348,-12.81
raw,V50Q20G05M25 (가치),15,20,4.33,52.26,0.083,38.62,0.292,-14.58
raw,V30Q30G20M20 (균형),3,4,34.1,77.83,0.438,858.22,0.843,14.57
raw,V30Q30G20M20 (균형),3,6,28.05,73.94,0.379,571.54,0.759,9.14
raw,V30Q30G20M20 (균형),5,7,17.1,76.63,0.223,237.42,0.603,-1.8
raw,V30Q30G20M20 (균형),5,10,8.24,83.82,0.098,84.07,0.4,-10.66
raw,V30Q30G20M20 (균형),7,10,16.44,66.75,0.246,222.95,0.612,-2.47
raw,V30Q30G20M20 (균형),10,14,8.3,63.19,0.131,84.76,0.412,-10.61
raw,V30Q30G20M20 (균형),15,20,9.35,50.65,0.185,99.03,0.455,-9.56
raw,V20Q10G20M50 (M↑),3,4,41.61,66.45,0.626,1357.69,0.937,22.19
raw,V20Q10G20M50 (M↑),3,6,33.44,68.73,0.486,822.42,0.83,13.52
raw,V20Q10G20M50 (M↑),5,7,35.5,66.13,0.537,938.21,0.935,16.42
raw,V20Q10G20M50 (M↑),5,10,36.08,50.59,0.713,973.08,0.956,17.18
raw,V20Q10G20M50 (M↑),7,10,23.55,53.32,0.442,409.93,0.754,4.65
raw,V20Q10G20M50 (M↑),10,14,16.73,52.37,0.32,229.3,0.619,-2.17
raw,V20Q10G20M50 (M↑),15,20,7.56,55.93,0.135,75.26,0.388,-11.35
raw,M100,3,4,-7.15,69.6,-0.103,-43.52,0.124,-26.56
raw,M100,3,6,-15.68,75.25,-0.208,-73.1,-0.097,-34.34
raw,M100,5,7,-11.12,84.03,-0.132,-59.66,-0.052,-29.77
raw,M100,5,10,-9.88,82.85,-0.119,-55.11,-0.026,-28.81
raw,M100,7,10,0.34,80.88,0.004,2.64,0.209,-18.49
raw,M100,10,14,-0.37,80.85,-0.005,-2.8,0.174,-19.44
raw,M100,15,20,5.57,65.21,0.085,51.82,0.33,-13.38
1조+,V15Q00G55M30 (현재),3,4,52.97,52.48,1.009,2542.31,1.215,33.99
