univ,weights,slots,exit,cagr,mdd,calmar,total,sharpe,alpha
raw,V15Q00G55M30 (raw),3,4,47.92,45.35,1.057,160.8,0.924,37.57
raw,V15Q00G55M30 (raw),3,6,51.55,45.9,1.123,176.73,0.969,41.2
raw,V15Q00G55M30 (raw),5,7,42.4,38.44,1.103,137.59,1.013,32.2
raw,V15Q00G55M30 (raw),5,10,41.45,37.08,1.118,133.73,1.0,31.25
raw,V15Q00G55M30 (raw),7,10,42.98,34.42,1.249,139.97,1.125,32.78
raw,V15Q00G55M30 (raw),10,14,46.28,39.8,1.163,153.78,1.232,36.08
raw,V15Q00G55M30 (raw),15,20,23.82,41.39,0.575,68.72,0.82,13.62
raw,V40Q25G15M20 (V↑),3,4,34.71,38.98,0.891,107.43,0.956,25.09
raw,V40Q25G15M20 (V↑),3,6,39.12,41.37,0.946,124.43,1.03,27.87
raw,V40Q25G15M20 (V↑),5,7,39.68,38.57,1.029,126.66,1.153,29.49
raw,V40Q25G15M20 (V↑),5,10,49.97,38.57,1.296,169.74,1.344,39.77
raw,V40Q25G15M20 (V↑),7,10,53.19,35.6,1.494,184.12,1.511,42.99
raw,V40Q25G15M20 (V↑),10,14,47.27,40.62,1.164,157.99,1.417,37.07
raw,V40Q25G15M20 (V↑),15,20,28.58,46.77,0.611,85.07,1.014,18.39
raw,V35Q35G15M15 (V+Q),3,4,29.76,39.46,0.754,89.23,0.844,18.1
raw,V35Q35G15M15 (V+Q),3,6,26.09,37.56,0.695,76.4,0.773,15.89
raw,V35Q35G15M15 (V+Q),5,7,19.5,35.59,0.548,54.67,0.697,9.3
raw,V35Q35G15M15 (V+Q),5,10,29.11,34.23,0.85,86.92,0.919,18.91
raw,V35Q35G15M15 (V+Q),7,10,30.15,37.0,0.815,90.64,0.982,19.95
raw,V35Q35G15M15 (V+Q),10,14,26.54,42.3,0.627,77.95,0.944,16.34
raw,V35Q35G15M15 (V+Q),15,20,20.29,48.27,0.42,57.2,0.785,10.09
raw,V50Q20G05M25 (가치),3,4,11.46,58.85,0.195,30.43,0.471,2.16
raw,V50Q20G05M25 (가치),3,6,19.69,54.16,0.364,55.27,0.654,10.52
raw,V50Q20G05M25 (가치),5,7,35.0,42.42,0.825,108.49,1.052,24.8
raw,V50Q20G05M25 (가치),5,10,30.41,42.86,0.71,91.58,0.94,20.22
raw,V50Q20G05M25 (가치),7,10,21.7,48.0,0.452,61.74,0.782,11.5
raw,V50Q20G05M25 (가치),10,14,28.82,44.54,0.647,85.91,1.012,18.62
raw,V50Q20G05M25 (가치),15,20,18.28,51.2,0.357,50.84,0.732,8.08
raw,V30Q30G20M20 (균형),3,4,71.77,33.68,2.131,276.06,1.542,59.75
raw,V30Q30G20M20 (균형),3,6,47.22,38.53,1.225,157.78,1.147,37.02
raw,V30Q30G20M20 (균형),5,7,47.45,32.76,1.448,158.77,1.275,37.25
raw,V30Q30G20M20 (균형),5,10,41.14,34.85,1.181,132.51,1.178,30.95
raw,V30Q30G20M20 (균형),7,10,45.72,37.6,1.216,151.41,1.33,35.52
raw,V30Q30G20M20 (균형),10,14,26.27,44.67,0.588,77.01,0.922,16.07
raw,V30Q30G20M20 (균형),15,20,24.85,44.53,0.558,72.2,0.912,14.66
raw,V20Q10G20M50 (M↑),3,4,-3.91,67.5,-0.058,-9.3,0.148,-16.34
raw,V20Q10G20M50 (M↑),3,6,-7.78,65.25,-0.119,-17.99,0.068,-20.29
raw,V20Q10G20M50 (M↑),5,7,15.19,56.65,0.268,41.37,0.557,4.48
raw,V20Q10G20M50 (M↑),5,10,-1.21,62.88,-0.019,-2.94,0.164,-11.41
raw,V20Q10G20M50 (M↑),7,10,7.26,55.17,0.132,18.72,0.375,-2.94
raw,V20Q10G20M50 (M↑),10,14,14.6,50.49,0.289,39.62,0.559,4.41
raw,V20Q10G20M50 (M↑),15,20,11.39,54.88,0.208,30.24,0.493,1.2
raw,M100,3,4,-22.11,60.62,-0.365,-45.75,-0.23,-33.51
raw,M100,3,6,-18.83,63.8,-0.295,-40.0,-0.165,-27.25
raw,M100,5,7,-44.18,83.76,-0.527,-76.01,-1.027,-52.94
raw,M100,5,10,-36.59,82.56,-0.443,-67.22,-0.768,-46.71
raw,M100,7,10,-31.04,81.42,-0.381,-59.75,-0.655,-41.32
raw,M100,10,14,-14.04,68.42,-0.205,-30.95,-0.199,-25.58
raw,M100,15,20,-10.1,65.75,-0.154,-22.96,-0.126,-20.59
1조+,V15Q00G55M30 (raw),3,4,28.28,48.87,0.579,84.0,0.879,18.01
