종목코드,종목명,시가총액,PER,PBR,마법공식_점수,rebalance_date
078930,GS,39860.697162,11.36,0.62,0.9114553990610328,20150331
010140,삼성중공업,41673.007173,6.19,0.71,0.9054929577464789,20150331
096770,SK이노베이션,88212.148056,12.18,0.56,0.9053521126760564,20150331
006260,LS,16744.0,11.74,0.69,0.843262910798122,20150331
001450,현대해상,22171.2,9.56,1.09,0.7943192488262911,20150331
017670,SK텔레콤,220032.062475,11.74,1.64,0.7834037558685446,20150331
000270,기아,183224.232844,4.8,0.9,0.7818779342723005,20150331
042660,한화오션,34641.727198,12.72,0.7,0.7611737089201878,20150331
000240,한국앤컴퍼니,19627.256503,7.74,0.86,0.7583568075117371,20150331
000150,두산,24780.58452,19.92,1.01,0.7534272300469483,20150331
034020,두산에너빌리티,30042.786448,36.66,0.64,0.731338028169014,20150331
029780,삼성카드,47560.0747555,17.34,0.77,0.7311737089201877,20150331
003550,LG,105777.521303,12.03,0.92,0.7238262910798122,20150331
088350,한화생명,64010.661,17.46,0.92,0.7190375586854459,20150331
005380,현대차,371165.867115,5.36,0.93,0.7081220657276995,20150331
033780,KT&G,121778.444839,19.57,2.31,0.7004225352112676,20150331
009540,HD한국조선해양,92720.0,24.17,0.54,0.6991549295774648,20150331
051910,LG화학,149772.686,13.13,1.44,0.6874178403755868,20150331
018880,한온시스템,40995.84,13.83,2.74,0.6701877934272301,20150331
003600,SK,79835.0804,24.46,0.69,0.6430046948356807,20150331
029780,삼성카드,42867.78967,6.51,0.67,0.9334190115440115,20150630
005380,현대차,299576.01144,5.03,0.67,0.9082115800865801,20150630
000270,기아,183629.596191,6.13,0.82,0.8705808080808081,20150630
017670,SK텔레콤,201864.2775,9.94,1.39,0.8392857142857143,20150630
001450,현대해상,26373.0,10.1,1.11,0.8152056277056277,20150630
088350,한화생명,68874.429,16.45,0.8,0.8151154401154401,20150630
034220,LG디스플레이,92495.35845,10.23,0.81,0.8136949855699855,20150630
002380,KCC,51653.2,14.77,0.83,0.7688492063492063,20150630
009150,삼성전기,38168.478656,7.88,0.87,0.755275974025974,20150630
003550,LG,106640.306958,12.86,0.89,0.745377886002886,20150630
033780,KT&G,130290.579653,14.47,2.31,0.7443181818181819,20150630
012330,현대모비스,206368.98956,5.92,0.89,0.7382981601731602,20150630
000150,두산,23185.26792,34.84,1.01,0.7257169913419914,20150630
032830,삼성생명,215000.0,15.22,0.97,0.7241612554112554,20150630
005930,삼성전자,1867755.59316,8.28,1.33,0.7173069985569985,20150630
047050,포스코인터내셔널,29380.083078,15.93,1.24,0.7072510822510822,20150630
004020,현대제철,78904.203768,10.26,0.58,0.7045454545454546,20150630
018880,한온시스템,41155.98,14.95,2.54,0.6996302308802309,20150630
015760,한국전력,294019.547266,10.68,0.55,0.6943542568542569,20150630
000720,현대건설,45711.5415325,10.89,0.84,0.6806908369408369,20150630
029780,삼성카드,41998.8479875,6.38,0.66,0.9238461538461538,20150930
034220,LG디스플레이,81045.25605,8.96,0.71,0.8448717948717949,20150930
005380,현대차,361253.42556,6.07,0.81,0.8303846153846154,20150930
002380,KCC,43447.6,12.42,0.7,0.8191025641025641,20150930
001450,현대해상,27043.5,10.35,1.14,0.8002564102564103,20150930
017670,SK텔레콤,212361.21993,10.46,1.46,0.7953846153846154,20150930
004020,현대제철,68724.579275,7.8,0.44,0.7912820512820513,20150930
000270,기아,217274.753992,7.25,0.97,0.7908974358974359,20150930
047050,포스코인터내셔널,23629.3303825,12.81,0.99,0.786025641025641,20150930
011780,금호석유화학,16208.811612,14.96,1.14,0.7751282051282051,20150930
010140,삼성중공업,28397.672478,17.75,0.51,0.7748717948717949,20150930
088350,한화생명,70872.048,16.93,0.82,0.7643589743589744,20150930
000720,현대건설,38083.67163,9.08,0.7,0.7550000000000001,20150930
032830,삼성생명,197800.0,14.0,0.89,0.7447435897435897,20150930
003550,LG,105087.292779,12.68,0.87,0.735897435897436,20150930
005930,삼성전자,1670374.48158,7.41,1.19,0.7243589743589743,20150930
000150,두산,23610.68568,35.47,1.02,0.7237179487179487,20150930
003690,코리안리,17152.59903,13.93,0.93,0.697948717948718,20150930
012330,현대모비스,225351.042845,6.46,0.97,0.6973076923076923,20150930
033780,KT&G,153081.134155,17.0,2.72,0.6878205128205128,20150930
029780,삼성카드,43620.8724615,6.62,0.68,0.922043979812545,20160331
088350,한화생명,58191.51,13.9,0.67,0.8731074260994953,20160331
017670,SK텔레콤,168354.807435,8.29,1.16,0.8522440519105984,20160331
005380,현대차,335921.630475,5.64,0.76,0.8377343186733959,20160331
002380,KCC,43915.09408,12.51,0.71,0.8297584715212689,20160331
010140,삼성중공업,25511.730153,15.95,0.46,0.8292627974044702,20160331
000270,기아,195790.496601,6.53,0.87,0.8260183850036049,20160331
000150,두산,18803.464992,28.25,0.82,0.7875811103100216,20160331
034220,LG디스플레이,95178.9762,10.53,0.83,0.7861391492429705,20160331
047050,포스코인터내셔널,24597.278856,13.33,1.03,0.7805064888248018,20160331
004020,현대제철,74062.410675,8.41,0.47,0.7804614275414563,20160331
001450,현대해상,29680.8,11.36,1.25,0.7641492429704397,20160331
011780,금호석유화학,17732.196162,16.36,1.25,0.7352198990627252,20160331
005930,삼성전자,1903309.70144,8.57,1.38,0.7035418168709445,20160331
003550,LG,118201.634735,14.26,0.98,0.698720259552992,20160331
000240,한국앤컴퍼니,21348.1297035,11.45,0.88,0.6975036049026676,20160331
009150,삼성전기,43919.893248,9.07,1.0,0.6779920692141312,20160331
033780,KT&G,151021.7467,16.77,2.68,0.6759643114635905,20160331
032830,삼성생명,235000.0,16.64,1.06,0.6704893655371305,20160331
000720,현대건설,46936.4549475,11.19,0.86,0.6698359769286228,20160331
015760,한국전력,387746.302508,2.92,0.58,0.9826844903064416,20160630
005380,현대차,298474.629045,5.68,0.62,0.9078330206378986,20160630
088350,한화생명,50287.887,8.8,0.58,0.8978658536585367,20160630
078930,GS,44088.346861,9.13,0.71,0.8755863039399625,20160630
000270,기아,175116.965904,6.59,0.72,0.839235459662289,20160630
017670,SK텔레콤,174007.007205,10.27,1.14,0.8314962476547842,20160630
029780,삼성카드,48081.439765,14.35,0.72,0.8274312070043778,20160630
096770,SK이노베이션,129914.11742,16.07,0.83,0.7991322701688555,20160630
004800,효성,43721.231475,8.41,1.34,0.7646966854283928,20160630
001450,현대해상,26149.5,11.02,1.04,0.7645012507817386,20160630
004020,현대제철,61184.8924225,7.7,0.4,0.7579737335834897,20160630
034220,LG디스플레이,94463.3448,9.77,0.77,0.7446450906816762,20160630
003550,LG,109918.892447,11.86,0.86,0.7217010631644778,20160630
010950,S-Oil,85225.173544,13.96,1.64,0.7192776735459663,20160630
002380,KCC,40167.531965,20.32,0.69,0.7111866791744841,20160630
032640,LG유플러스,47590.638349,13.54,1.07,0.7030956848030019,20160630
034730,SK,142479.601425,1.88,1.14,0.7004768605378362,20160630
000720,현대건설,37137.1476275,10.1,0.64,0.6951219512195123,20160630
030200,KT,77419.651072,13.13,0.71,0.6915650406504065,20160630
000660,SK하이닉스,235872.76626,5.4,1.1,0.6704971857410882,20160630
015760,한국전력,346660.60158,2.61,0.52,0.9835064935064934,20160930
088350,한화생명,50027.328,8.75,0.58,0.9376190476190477,20160930
005380,현대차,298474.629045,5.68,0.62,0.9270129870129871,20160930
000270,기아,170860.6507605,6.43,0.71,0.872099567099567,20160930
078930,GS,49709.72723,10.29,0.8,0.8329653679653679,20160930
017670,SK텔레콤,182485.30686,10.77,1.2,0.8231385281385282,20160930
029780,삼성카드,58045.304391,17.32,0.87,0.7767099567099567,20160930
004020,현대제철,67790.45878,8.53,0.44,0.7574458874458875,20160930
004800,효성,45652.6915,8.78,1.4,0.7527056277056277,20160930
096770,SK이노베이션,149331.88586,18.47,0.95,0.7355627705627705,20160930
003550,LG,111644.463757,12.05,0.88,0.7318181818181818,20160930
034220,LG디스플레이,100546.2117,10.4,0.82,0.7313852813852814,20160930
