,0
2015-03-31,-0.003561912889532559
2015-06-30,1.2031895023368147e-05
2016-06-30,-3.659996456444336e-08
2025-03-31,9.26597961716749e-11
2025-04-01,9.342016265835021e-11
2025-04-02,9.231290310214637e-11
2025-04-03,9.241921052739516e-11
2025-04-04,9.32962013408935e-11
2025-04-07,8.812772383173378e-11
2025-04-08,8.856281426166111e-11
2025-04-09,8.615046370518746e-11
2025-04-10,9.233199886656919e-11
2025-04-11,9.423340604723087e-11
2025-04-14,9.589630417477442e-11
2025-04-15,9.690440904809193e-11
2025-04-16,9.629120593128151e-11
2025-04-17,9.780078838987253e-11
2025-04-18,9.844520821703359e-11
2025-04-21,9.914149415985434e-11
2025-04-22,9.826663036529199e-11
2025-04-23,1.0032583020303882e-10
2025-04-24,9.978389284664037e-11
2025-04-25,1.0103702325574871e-10
2025-04-28,1.0110755803434992e-10
2025-04-29,1.027856328704648e-10
2025-04-30,1.0195930375276865e-10
2025-05-02,1.0301221107231418e-10
2025-05-07,1.0261434063088333e-10
2025-05-08,1.0353185611515621e-10
2025-05-09,1.0329751880651089e-10
2025-05-12,1.0356060345381456e-10
2025-05-13,1.0434461075098378e-10
2025-05-14,1.055180685601995e-10
2025-05-15,1.0509254969273171e-10
2025-05-16,1.0716480744873239e-10
2025-05-19,1.0528516797549587e-10
2025-05-20,1.0531665102552142e-10
2025-05-21,1.0697863441732867e-10
2025-05-22,1.0575515339967089e-10
2025-05-23,1.0582278071078197e-10
2025-05-26,1.0773638180885676e-10
2025-05-27,1.0737354875085403e-10
2025-05-28,1.0809370943453824e-10
2025-05-29,1.0900912826309296e-10
2025-05-30,1.0867493774375093e-10
2025-06-02,1.0810237623039437e-10
2025-06-04,1.100731459074099e-10
2025-06-05,1.1131500729050664e-10
2025-06-09,1.1177197149598272e-10
2025-06-10,1.1392978300287705e-10
2025-06-11,1.1519234685463064e-10
2025-06-12,1.1526822381587037e-10
2025-06-13,1.136549098762254e-10
2025-06-16,1.1796429234853782e-10
2025-06-17,1.1766661264454816e-10
2025-06-18,1.1918739633330558e-10
2025-06-19,1.1998382409522314e-10
2025-06-20,1.2239556335995254e-10
2025-06-23,1.2139285774843552e-10
2025-06-24,1.2307756118579054e-10
2025-06-25,1.22424222659349e-10
2025-06-26,1.226598538822001e-10
2025-06-27,1.220257936776647e-10
2025-06-30,1.2266859402746281e-10
2025-07-01,1.2270380738649668e-10
2025-07-02,1.2106000532783092e-10
2025-07-03,1.2138639312923421e-10
2025-07-04,1.1844174019937183e-10
2025-07-07,1.1984021478724692e-10
2025-07-08,1.23176510211988e-10
2025-07-09,1.2399738647762054e-10
2025-07-10,1.2569657395008476e-10
2025-07-11,1.2638627455483132e-10
2025-07-14,1.2578578603516065e-10
2025-07-15,1.275170848872531e-10
2025-07-16,1.262862994700873e-10
2025-07-17,1.287155991871531e-10
2025-07-18,1.2733673701921783e-10
2025-07-21,1.2792425671673704e-10
2025-07-22,1.2870998349145663e-10
2025-07-23,1.277835862617013e-10
2025-07-24,1.266662908545439e-10
2025-07-25,1.2617829406260957e-10
2025-07-28,1.2422346690962956e-10
2025-07-29,1.2542879122145825e-10
2025-07-30,1.2587393551784229e-10
2025-07-31,1.281840784979078e-10
2025-08-01,1.2385582026662297e-10
2025-08-04,1.2582021405794904e-10
2025-08-05,1.3097722132745298e-10
2025-08-06,1.311049605818455e-10
2025-08-07,1.3108857562133185e-10
2025-08-08,1.3165339302837017e-10
2025-08-11,1.3207675754029846e-10
2025-08-12,1.3155920920808358e-10
2025-08-13,1.3097257435864966e-10
2025-08-14,1.324499041642323e-10
2025-08-18,1.3206652986798041e-10
2025-08-19,1.3177427186511917e-10
2025-08-20,1.3065081641165402e-10
2025-08-21,1.311600765649794e-10
2025-08-22,1.32717093511406e-10
2025-08-25,1.3354004553749002e-10
2025-08-26,1.3430012499693993e-10
2025-08-27,1.3444271407030405e-10
2025-08-28,1.3361242001308485e-10
2025-08-29,1.3314591811784732e-10
2025-09-01,1.3065965701757407e-10
2025-09-02,1.3003512771241963e-10
2025-09-03,1.3101124203011677e-10
2025-09-04,1.3204051610624867e-10
2025-09-05,1.3249918373426934e-10
2025-09-08,1.3304374714066686e-10
2025-09-09,1.3317100970636052e-10
2025-09-10,1.3434637424982446e-10
2025-09-11,1.3743592942445916e-10
2025-09-12,1.3602139838900066e-10
2025-09-15,1.3517750859716637e-10
2025-09-16,1.3490425368777745e-10
2025-09-17,1.3432361258275326e-10
2025-09-18,1.355094739860146e-10
2025-09-19,1.3701014219426026e-10
2025-09-22,1.355424685061832e-10
2025-09-23,1.3533832985658412e-10
2025-09-24,1.3599922970881405e-10
2025-09-25,1.359431861634516e-10
2025-09-26,1.3343833220638686e-10
2025-09-29,1.361490567061011e-10
2025-09-30,1.373309739467718e-10
2025-10-01,1.3996390584226453e-10
2025-10-02,1.3977366226566392e-10
2025-10-10,1.3946081774273656e-10
2025-10-13,1.3812747171728906e-10
2025-10-14,1.3421448796538407e-10
2025-10-15,1.376088979916951e-10
2025-10-16,1.3861523626422878e-10
2025-10-17,1.374785298095118e-10
2025-10-20,1.3819948613831525e-10
2025-10-21,1.399324040112276e-10
2025-10-22,1.4097244421322084e-10
2025-10-23,1.401431634799626e-10
2025-10-24,1.3999890604757442e-10
2025-10-27,1.4383611614117142e-10
2025-10-28,1.4382618547581372e-10
2025-10-29,1.4434825895805606e-10
2025-10-30,1.441558182287814e-10
2025-10-31,1.4571625427515254e-10
2025-11-03,1.4734667082879247e-10
2025-11-04,1.4620360576276338e-10
2025-11-05,1.4419058934992443e-10
2025-11-06,1.4498618767236359e-10
2025-11-07,1.4393396576772038e-10
2025-11-10,1.4468740426514842e-10
2025-11-11,1.4354137647843115e-10
2025-11-12,1.454054026938005e-10
2025-11-13,1.4498653559943825e-10
2025-11-14,1.445546307581511e-10
2025-11-17,1.4485418079547158e-10
2025-11-18,1.4178830729692987e-10
2025-11-19,1.4138612648041142e-10
2025-11-20,1.4248499063961775e-10
2025-11-21,1.4172941938151394e-10
2025-11-24,1.449691664528096e-10
2025-11-25,1.4467446067043042e-10
2025-11-26,1.4839963495691728e-10
2025-11-27,1.4923810074232298e-10
2025-11-28,1.469206781456801e-10
2025-12-01,1.457968884492121e-10
2025-12-02,1.468225674098836e-10
2025-12-03,1.5059449246869574e-10
2025-12-04,1.5142977167594397e-10
2025-12-05,1.517688042282817e-10
2025-12-08,1.5155404928042836e-10
2025-12-09,1.524346562912377e-10
2025-12-10,1.513421693542911e-10
2025-12-11,1.5038774401421375e-10
2025-12-12,1.5107414133074696e-10
2025-12-15,1.5028379002932216e-10
2025-12-16,1.5001748858000205e-10
2025-12-17,1.4958296188484814e-10
2025-12-18,1.46699747067711e-10
2025-12-19,1.4799960552235699e-10
2025-12-22,1.4876097037158115e-10
2025-12-23,1.488436226503191e-10
2025-12-24,1.4908510468966588e-10
2025-12-26,1.4679266876958473e-10
2025-12-29,1.4636537144363803e-10
2025-12-30,1.452360417555871e-10
