종목코드,종목명,시가총액,PER,PBR,성장주_점수,rebalance_date
013120,동원개발,3759.45534,11.45,1.38,0.8663054187192119,20150331
032190,다우데이타,4462.5,23.06,1.65,0.8591133004926108,20150331
060720,KH바텍,5112.0,10.65,2.61,0.8191133004926108,20150331
018310,삼목에스폼,3978.8,18.34,3.37,0.7578325123152709,20150331
034830,한국토지신탁,9367.350433,17.67,2.46,0.7532019704433497,20150331
178920,PI첨단소재,3200.929098,15.59,1.89,0.7031527093596059,20150331
026960,동서,30508.2,24.56,3.09,0.6953694581280788,20150331
095340,ISC,5070.963688,40.0,5.19,0.6881773399014778,20150331
095660,네오위즈,5128.111872,10.79,1.74,0.6823645320197045,20150331
108320,LX세미콘,6351.20915,19.07,2.32,0.66935960591133,20150331
024660,하림홀딩스,5028.465516,16.49,1.83,0.6485714285714286,20150331
016170,카카오M,11672.1218575,34.21,7.44,0.6466995073891626,20150331
039030,이오테크닉스,15694.130654,45.94,6.68,0.6428571428571429,20150331
023410,유진기업,3656.25,3.59,0.64,0.6419704433497537,20150331
035720,카카오,68229.158316,23.52,2.9,0.6361576354679803,20150331
041830,인바디,4522.489951,72.64,8.77,0.6114285714285714,20150331
056190,에스에프에이,9767.18272,15.07,2.12,0.6094581280788178,20150331
030190,NICE평가정보,3897.891444,25.08,3.62,0.6,20150331
041140,넥슨지티,6013.46474,29.26,6.16,0.5839408866995074,20150331
063080,컴투스홀딩스,7892.07496,52.31,4.74,0.5813793103448276,20150331
032190,다우데이타,7247.1,27.03,2.5,0.8435171385991058,20150630
192440,슈피겐코리아,5806.083042,10.69,4.5,0.7850968703427719,20150630
016250,SGC E&C,5824.0,30.05,3.26,0.7693492300049677,20150630
025900,동화기업,6718.961808,22.75,1.9,0.7623447590660706,20150630
086450,동국제약,5139.576,24.16,2.92,0.7340784898161947,20150630
060720,KH바텍,3940.0,14.58,1.47,0.733879781420765,20150630
078070,유비쿼스홀딩스,3646.4,15.38,2.04,0.7177347242921013,20150630
095340,ISC,4554.894908,37.85,3.93,0.7055141579731744,20150630
130960,CJ E&M,30327.225687,13.45,2.01,0.6975658221559862,20150630
030190,NICE평가정보,5950.05236,33.33,5.05,0.6951813214108296,20150630
026960,동서,38135.25,29.79,3.61,0.6641828117237953,20150630
078340,컴투스,12487.391548,15.61,6.06,0.6622454048683557,20150630
023410,유진기업,5061.6,28.62,0.86,0.6573770491803279,20150630
053030,바이넥스,5886.745236,47.28,4.49,0.6512667660208643,20150630
121440,골프존홀딩스,4020.435501,5.92,0.97,0.6466467958271237,20150630
034830,한국토지신탁,10352.05843,16.8,2.42,0.6395429706905117,20150630
