ticker,name,strategy,current_price,daily_return,per,rsi,from_52w_high,volume_signal,quality_score,price_score,category,reasoning
018290,브이티,A+B,19780,-0.20181634712411706,7.7051232512820516,71.12010796221323,-55.45045045045045,1.0007166646734147,77,62,DIP_BUYING,PER 7.7 초저평가 + 고점 대비 55% 급락
041510,에스엠,A+C,108500,2.551984877126654,8.155199819435325,44.95192307692308,-29.08496732026144,0.6131285861589681,71,75,DIP_BUYING,PER 8.2 저평가 + 볼린저 하단
067160,SOOP,A+B,71600,1.849217638691323,8.124632943731491,63.72093023255814,-44.01876465989054,0.6660724107193657,70,50,DIP_BUYING,PER 8.1 저평가 + 고점 대비 44% 조정
419530,SAMG엔터,A+B,38250,5.955678670360111,10.987944407894735,47.27272727272727,-59.65189873417721,0.5537580556762989,67,58,DIP_BUYING,PER 11.0 저평가 + 고점 대비 60% 급락
439260,대한조선,A,72000,4.499274310595065,10.354215991041434,57.87234042553192,-33.762649494020245,1.1685279488553586,67,57,DIP_BUYING,PER 10.4 저평가 + 고점 대비 34% 조정
204620,글로벌텍스프리,A+B,4935,6.015037593984962,14.512478391213389,78.43866171003717,-35.658409387222946,1.1607372993165366,67,63,DIP_BUYING,고점 대비 36% 조정
200670,휴메딕스,A,42250,1.1976047904191618,8.57982897830018,50.21097046413502,-44.261213720316626,0.6402404140613958,66,56,DIP_BUYING,PER 8.6 저평가 + 고점 대비 44% 조정
462870,시프트업,A,33900,1.8018018018018018,10.399546389177939,43.21608040201005,-50.72674418604651,0.845928220730062,66,76,DIP_BUYING,PER 10.4 저평가 + 고점 대비 51% 급락
059210,메타바이오메드,A,5040,6.217070600632244,7.7799602769230765,65.2482269503546,-22.699386503067483,1.3845654370603173,64,50,DIP_BUYING,PER 7.8 초저평가
259960,크래프톤,A,246500,-1.0040160642570282,9.365267565520558,58.51851851851852,-36.139896373057,0.905536434189846,63,56,DIP_BUYING,PER 9.4 저평가 + 고점 대비 36% 조정
037460,삼지전자,A,22000,2.564102564102564,3.5300637561455264,74.14634146341464,-3.508771929824561,0.8445489150045318,73,44,NO_ENTRY,60일선 +45% 괴리
124500,아이티센글로벌,A+B,51300,8.571428571428571,11.501374252173912,72.86821705426357,-4.646840148698884,0.5663616211333279,71,44,NO_ENTRY,60일선 +77% 괴리
402340,SK스퀘어,A,544000,7.7227722772277225,10.263589567204686,68.05324459234609,-4.56140350877193,1.5565070065716975,64,58,NO_ENTRY,60일선 +50% 괴리
190510,나무가,A,26400,9.54356846473029,12.442831167785235,50.44642857142857,-1.858736059479554,0.9929219030247373,63,36,NO_ENTRY,60일선 +34% 괴리
006910,보성파워텍,B,7750,4.871447902571042,18.217996937799043,73.65269461077844,-5.372405372405373,0.16281696154545325,54,49,NO_ENTRY,60일선 +35% 괴리
000660,SK하이닉스,B,904000,8.91566265060241,18.43023316530564,68.83720930232559,-0.5500550055005501,0.9676872723981974,52,33,NO_ENTRY,60일선 +40% 괴리
043260,성호전자,B+C,19590,16.330166270783845,999.0,70.85972850678733,0.0,1.2382485729528283,52,48,NO_ENTRY,60일선 +148% 괴리
090710,휴림로봇,C,14670,2.0166898470097356,999.0,62.09488022545796,-31.76744186046512,0.23790777031597604,52,44,NO_ENTRY,60일선 +73% 괴리
290650,엘앤씨바이오,C,89600,2.050113895216401,15.786162019858157,85.22267206477733,-2.8199566160520604,0.8845142877344384,52,24,NO_ENTRY,60일선 +45% 괴리 + RSI 85 극과열
319400,현대무벡스,C,34400,2.9940119760479043,142.42883797769517,61.74016686531586,-25.782092772384036,0.4462664525772891,49,41,NO_ENTRY,60일선 +85% 괴리
