종목코드,기준일,당기순이익,법인세비용,자산,총부채,유동부채,유동자산,비유동자산,현금,감가상각비,자본,매출액,매출총이익,영업현금흐름,종목명,시가총액,섹터,매출액_1y,당기순이익_1y,영업이익_1y,EBIT,매출성장률,순이익성장률,영업이익성장률,ROE,부채비율,영업이익률,모멘텀_3M,모멘텀_6M,매출성장률_z,순이익성장률_z,영업이익성장률_z,ROE_z,부채비율_z,영업이익률_z,모멘텀_3M_z,모멘텀_6M_z,성장성_점수,퀄리티_점수,모멘텀_점수,코스닥성장_점수,코스닥성장_순위
319400,2024-12-31,269.0,73.0,2989.0,1267.0,1102.0,2197.0,791.0,586.0,33.0,1721.0,3414.0,635.0,551.0,현대무벡스,3653134079200,KOSDAQ,2901.9,215.20000000000002,0,0,17.647058823529417,25.0,0,15.630447414294016,73.61998837884951,0.0,300.0,300.0,-0.8150972712773829,0.9949874371066199,0,0.6271378616173275,0.0405539423362213,0,3.7983505878088963,2.384550847375521,0.05996338860974567,0.22256393465118296,3.091450717592209,1.001929696512772,1.0
043260,2024-12-31,81.0,50.0,3673.0,2239.0,1678.0,1898.0,1776.0,369.0,65.0,1435.0,2073.0,360.0,252.0,성호전자,1191503426400,KOSDAQ,1762.05,64.8,0,0,17.647058823529417,25.0,0,5.644599303135889,156.02787456445992,0.0,300.0,300.0,-0.8150972712773829,0.9949874371066199,0,0.2874749578844081,-0.6540552862160328,0,3.7983505878088963,2.384550847375521,0.05996338860974567,-0.12219344277720824,3.091450717592209,0.9329782210270938,2.0
090710,2024-12-31,-94.0,-14.0,3349.0,1225.0,1200.0,1923.0,1426.0,459.0,42.0,2124.0,1331.0,148.0,-308.0,휴림로봇,1813360250460,KOSDAQ,1131.35,-75.2,0,0,17.647058823529417,25.0,0,-4.425612052730696,57.674199623352166,0.0,258.9315525876461,300.0,-0.8150972712773829,0.9949874371066199,0,-0.05505751329506481,0.17495967143314436,0,3.203587064159407,2.384550847375521,0.05996338860974567,0.039967386046026517,2.7940689557674636,0.8761958582443172,3.0
475830,2024-12-31,-57.0,4.0,1538.0,321.0,319.0,1225.0,313.0,197.0,29.0,1218.0,209.0,209.0,-113.0,오름테라퓨틱,2409873768000,KOSDAQ,177.65,-45.6,0,0,17.647058823529417,25.0,0,-4.679802955665025,26.354679802955665,0.0,196.3276836158192,300.0,-0.8150972712773829,0.9949874371066199,0,-0.06370367126102583,0.438949302863241,0,2.296942181047169,2.384550847375521,0.05996338860974567,0.1250818772007384,2.340746514211345,0.757222024008424,4.0
174900,2024-12-31,-163.0,,482.0,188.0,181.0,232.0,250.0,189.0,15.0,294.0,23.0,11.0,-144.0,앱클론,1248256303800,KOSDAQ,19.55,-130.4,0,0,17.647058823529417,25.0,0,-55.44217687074829,63.94557823129252,0.0,213.1081854607899,300.0,-0.8150972712773829,0.9949874371066199,0,-1.7903567439336594,0.12209874199480127,0,2.5399616043458275,2.384550847375521,0.05996338860974567,-0.5560860006462861,2.462256225860674,0.6574413619338177,5.0
437730,2024-12-31,83.0,-9.0,1403.0,251.0,210.0,943.0,460.0,102.0,36.0,1152.0,1004.0,138.0,69.0,삼현,2143431529200,KOSDAQ,853.4,66.4,0,0,17.647058823529417,25.0,0,7.204861111111111,21.788194444444446,0.0,117.58957654723127,300.0,-0.8150972712773829,0.9949874371066199,0,0.34054636958435786,0.47743982869624685,0,1.1566372278212789,2.384550847375521,0.05996338860974567,0.2726620660935349,1.7705940375984,0.6156923188030997,6.0
041510,2024-12-31,8.0,253.0,14191.0,5900.0,4846.0,8140.0,6051.0,3584.0,331.0,8291.0,9897.0,3072.0,1357.0,에스엠,2731336517000,KOSDAQ,8412.449999999999,6.4,0,0,17.647058823529438,25.0,0,0.09649017006392474,71.1615004221445,0.0,-9.15966386554622,-17.91951404707669,4.075486356386914,0.9949874371066199,0,0.09875920361005258,0.061276333141945714,0,-0.6789769625784006,-0.9743490946571142,1.6901579311645112,0.053345178917332765,-0.8266630286177574,0.6077490927803949,7.0
056080,2024-12-31,-32.0,1.0,547.0,190.0,152.0,345.0,203.0,86.0,8.0,357.0,260.0,45.0,19.0,유진로봇,1277288775600,KOSDAQ,221.0,-25.6,0,0,17.647058823529417,25.0,0,-8.96358543417367,53.221288515406165,0.0,167.75147928994082,231.50183150183153,-0.8150972712773829,0.9949874371066199,0,-0.20941407857080596,0.21249288934065844,0,1.8830944451750165,1.6608504010928486,0.05996338860974567,0.0010262702566174915,1.7719724231339327,0.561778675296376,8.0
458870,2024-12-31,-89.0,1.0,281.0,67.0,39.0,164.0,116.0,108.0,11.0,214.0,81.0,34.0,-111.0,씨어스테크놀로지,2032873740000,KOSDAQ,68.85,-71.2,0,0,17.647058823529417,25.0,0,-41.58878504672897,31.308411214953267,0.0,117.29729729729729,300.0,-0.8150972712773829,0.9949874371066199,0,-1.3191415560881312,0.39719471220680025,0,1.152404366646009,2.384550847375521,0.05996338860974567,-0.3073156146271103,1.768477607010765,0.4990618534826803,9.0
058610,2024-12-31,131.0,12.0,3975.0,1434.0,1189.0,2676.0,1299.0,280.0,68.0,2541.0,3885.0,637.0,113.0,에스피지,3506240616000,KOSDAQ,3302.25,104.80000000000001,0,0,17.647058823529417,24.99999999999998,0,5.155450609996064,56.434474616292796,0.0,226.7387944358578,297.3684210526316,-0.8150972712773829,-0.9949874371066199,0,0.27083684526547236,0.18540921055651058,0,2.737363491544053,2.3567475513109044,-0.6033615694613342,0.15208201860732765,2.5470555214274784,0.49285227541904186,10.0
