ticker,name,strategy_a_rank,strategy_b_rank,strategy_a_score,strategy_b_score,entry_score,combined_score,in_both,final_rank
123330,제닉,2.0,16.0,96.66666666666667,50.0,70,72.22222222222223,True,1.0
402340,SK스퀘어,8.5,10.0,75.0,70.0,50,65.0,True,2.0
124500,아이티센글로벌,22.5,3.0,28.333333333333332,93.33333333333333,45,55.55555555555555,True,3.0
278470,에이피알,31.0,1.0,0.0,100.0,65,55.0,False,4.0
476060,온코닉테라퓨틱스,31.0,4.0,0.0,90.0,65,51.666666666666664,False,5.0
204620,글로벌텍스프리,26.0,12.0,16.666666666666664,63.33333333333333,70,50.0,True,6.0
383220,F&F,3.0,31.0,93.33333333333333,0.0,50,47.77777777777777,False,7.0
250060,모비스,6.0,31.0,83.33333333333334,0.0,55,46.111111111111114,False,8.0
119850,지엔씨에너지,21.0,23.0,33.33333333333333,26.666666666666668,75,45.0,True,9.0
226950,올릭스,31.0,9.0,0.0,73.33333333333333,60,44.444444444444436,False,10.0
439260,대한조선,11.0,31.0,66.66666666666666,0.0,65,43.888888888888886,False,11.0
123410,코리아에프티,13.0,31.0,60.0,0.0,70,43.333333333333336,False,12.0
259960,크래프톤,10.0,31.0,70.0,0.0,55,41.666666666666664,False,13.0
190510,나무가,14.0,31.0,56.666666666666664,0.0,60,38.888888888888886,False,14.0
123690,한국화장품,31.0,18.0,0.0,43.333333333333336,65,36.111111111111114,False,15.0
257720,실리콘투,19.5,31.0,38.333333333333336,0.0,55,31.111111111111114,False,16.0
271560,오리온,17.0,31.0,46.666666666666664,0.0,40,28.888888888888886,False,17.0
100840,SNT에너지,28.0,31.0,10.0,0.0,65,25.0,False,18.0
336570,원텍,31.0,29.0,0.0,6.666666666666667,65,23.88888888888889,False,19.0
294570,쿠콘,26.0,31.0,16.666666666666664,0.0,55,23.888888888888886,False,20.0
240810,원익IPS,31.0,22.0,0.0,30.0,35,21.666666666666668,False,21.0
160980,싸이맥스,22.5,31.0,28.333333333333332,0.0,35,21.11111111111111,False,22.0
282330,BGF리테일,31.0,27.0,0.0,13.333333333333334,45,19.444444444444446,False,23.0
