종목코드,기준일,당기순이익,법인세비용,자산,총부채,유동부채,유동자산,비유동자산,현금,감가상각비,자본,매출액,매출총이익,영업현금흐름,시가총액,이익수익률,투하자본수익률,마법공식_순위
000660,2024-12-31,197969.0,40884.0,1198552.0,459395.0,249654.0,422789.0,775763.0,112051.0,119853.0,739157.0,661930.0,318281.0,297959.0,0.0,0.6876554654751486,0.2881061944767775,1.0
000270,2024-12-31,97750.0,37252.0,927559.0,369156.0,269774.0,417975.0,509584.0,135666.0,20098.0,558403.0,1074488.0,247708.0,125644.0,0.0,0.5781917855154396,0.21170574278603765,2.0
005930,2024-12-31,344514.0,30784.0,5145319.0,1123399.0,933263.0,2270623.0,2874697.0,537056.0,396500.0,4021921.0,3008709.0,1143086.0,729826.0,0.0,0.640065627115869,0.09835995111591833,3.0
012330,2024-12-31,40602.0,12043.0,665969.0,204787.0,127452.0,284241.0,381728.0,47885.0,9029.0,461182.0,572370.0,80626.0,42527.0,0.0,0.33552790914073755,0.09942623817725803,4.0
207940,2024-12-31,10833.0,2867.0,173363.0,64316.0,38532.0,55181.0,118182.0,3912.0,3044.0,109047.0,45473.0,22908.0,16593.0,0.0,0.22680617177670354,0.10395562536517258,5.0
003550,2024-12-31,7905.0,2166.0,316393.0,35066.0,22448.0,50641.0,265751.0,13798.0,1642.0,281326.0,71755.0,14287.0,13615.0,0.0,0.4735283054353959,0.03445409200073896,6.5
035420,2024-12-31,19320.0,3902.0,381679.0,111670.0,60922.0,93749.0,287930.0,41955.0,6086.0,270009.0,107377.0,107377.0,25899.0,0.0,0.294534708217597,0.07379771253150115,6.5
017670,2024-12-31,13871.0,3747.0,305153.0,186876.0,92243.0,74767.0,230386.0,20237.0,36999.0,118276.0,179406.0,179406.0,50873.0,0.0,0.08621398371437519,0.10015291823706306,8.0
028260,2024-12-31,27720.0,9505.0,619904.0,247319.0,147473.0,201810.0,418095.0,36224.0,9331.0,372585.0,421032.0,71076.0,33069.0,0.0,0.17634240507828228,0.08038203329295338,9.0
068270,2024-12-31,4189.0,1572.0,210552.0,34752.0,31871.0,55841.0,154711.0,9964.0,726.0,175801.0,35573.0,16817.0,9019.0,0.0,0.23241084395675327,0.03237335281391363,10.0
