no,defense_start,defense_end,business_days,calendar_days,kospi_start,kospi_end,kospi_return_pct,ongoing
1,2018-07-02,2019-04-08,188,281,2271.54,2210.6,-2.68,False
2,2019-05-13,2019-11-07,123,179,2079.01,2144.29,3.14,False
3,2019-12-05,2019-12-13,7,9,2060.74,2170.25,5.31,False
4,2020-03-03,2020-06-03,63,93,2014.15,2147.0,6.6,False
5,2021-10-05,2023-02-06,330,490,2962.17,2438.19,-17.69,False
6,2023-10-06,2023-12-13,48,69,2408.73,2510.66,4.23,False
7,2024-01-18,2024-02-06,14,20,2440.04,2576.2,5.58,False
8,2024-08-09,2024-08-20,7,12,2588.43,2696.63,4.18,False
9,2024-09-10,2025-02-21,106,165,2523.43,2654.58,5.2,False
10,2025-03-07,2025-03-20,10,14,2563.48,2637.1,2.87,False
11,2025-04-03,2025-05-12,25,40,2486.7,2607.33,4.85,False
