date,from,to,gap_days,year
2017-11-02,0.0,1.0,,2017
2018-02-13,1.0,0.0,103.0,2018
2018-03-14,0.0,1.0,29.0,2018
2018-04-09,1.0,0.0,26.0,2018
2018-04-19,0.0,1.0,10.0,2018
2018-06-05,1.0,0.0,47.0,2018
2019-04-09,0.0,1.0,308.0,2019
2019-05-13,1.0,0.0,34.0,2019
2019-11-08,0.0,1.0,179.0,2019
2019-12-05,1.0,0.0,27.0,2019
2019-12-16,0.0,1.0,11.0,2019
2020-03-03,1.0,0.0,78.0,2020
2020-06-04,0.0,1.0,93.0,2020
2021-10-05,1.0,0.0,488.0,2021
2023-02-07,0.0,1.0,490.0,2023
2023-10-06,1.0,0.0,241.0,2023
2023-12-14,0.0,1.0,69.0,2023
2024-01-18,1.0,0.0,35.0,2024
2024-02-07,0.0,1.0,20.0,2024
2024-08-09,1.0,0.0,184.0,2024
2024-08-21,0.0,1.0,12.0,2024
2024-09-10,1.0,0.0,20.0,2024
2025-02-24,0.0,1.0,167.0,2025
2025-03-07,1.0,0.0,11.0,2025
2025-03-21,0.0,1.0,14.0,2025
2025-04-03,1.0,0.0,13.0,2025
2025-05-13,0.0,1.0,40.0,2025
