scenario,confirm,buffer,cooldown,total_trans,total_whipsaw,2018_trans,2018_whipsaw
기본 (C5 / B0% / CD0),5,0.0,0,26,15,5,4
C=3,3,0.0,0,32,22,7,6
C=7,7,0.0,0,22,11,1,0
C=10,10,0.0,0,14,3,1,0
C=15,15,0.0,0,12,1,1,0
C=20,20,0.0,0,10,0,1,0
B=1%,5,1.0,0,16,5,1,0
B=2%,5,2.0,0,12,2,1,0
B=3%,5,3.0,0,10,0,1,0
B=5%,5,5.0,0,10,1,1,0
CD=15,5,0.0,15,24,13,5,4
CD=20,5,0.0,20,20,9,3,1
CD=30,5,0.0,30,18,6,3,1
CD=40,5,0.0,40,16,2,3,0
C=10 + B=2%,10,2.0,0,10,0,1,0
C=10 + B=3%,10,3.0,0,10,0,1,0
C=10 + CD=20,10,0.0,20,14,3,1,0
C=10 + CD=30,10,0.0,30,12,1,1,0
B=2% + CD=30,5,2.0,30,10,0,1,0
B=3% + CD=30,5,3.0,30,10,0,1,0
C=10 + B=2% + CD=20,10,2.0,20,10,0,1,0
C=10 + B=3% + CD=30,10,3.0,30,10,0,1,0
C=15 + B=3% + CD=20,15,3.0,20,10,0,1,0
