final_month,regime,hindsight_trade,detect_month,realtime_trade,delay_days,missed
2006-12-01,Summer,2007-01-03,2007-01-01,2007-02-01,29.0,False
2007-06-01,Spring,2007-07-02,2007-07-01,2007-08-01,30.0,False
2007-09-01,Summer,2007-10-01,2007-10-01,2007-11-01,31.0,False
2008-02-01,Winter,2008-03-03,2008-03-01,2008-04-01,29.0,False
2008-06-01,Autumn,2008-07-01,2008-07-01,2008-08-01,31.0,False
2008-08-01,Summer,2008-09-02,,,,True
2008-09-01,Autumn,2008-10-01,,,,True
2008-10-01,Winter,2008-11-03,2008-11-01,2008-12-01,28.0,False
2009-09-01,Spring,2009-10-01,,,,True
2009-10-01,Summer,2009-11-02,2009-11-01,2009-12-01,29.0,False
2010-03-01,Spring,2010-04-01,2010-04-01,2010-05-03,32.0,False
2010-12-01,Summer,2011-01-03,2011-01-01,2011-02-01,29.0,False
2011-10-01,Spring,2011-11-01,2011-11-01,2011-12-01,30.0,False
2012-08-01,Winter,2012-09-04,,,,True
2012-09-01,Summer,2012-10-01,2012-10-01,2012-11-01,31.0,False
2012-12-01,Spring,2013-01-02,2013-01-01,2013-02-01,30.0,False
2013-02-01,Summer,2013-03-01,,,,True
2013-03-01,Spring,2013-04-01,2013-04-01,2013-05-01,30.0,False
2013-06-01,Summer,2013-07-01,2013-07-01,2013-08-01,31.0,False
2013-09-01,Spring,2013-10-01,2013-10-01,2013-11-01,31.0,False
2013-12-01,Summer,2014-01-02,2014-01-01,2014-02-03,32.0,False
2014-02-01,Spring,2014-03-03,,,,True
2014-03-01,Summer,2014-04-01,2014-04-01,2014-05-01,30.0,False
2014-07-01,Spring,2014-08-01,2014-09-01,2014-10-01,61.0,False
2015-04-01,Summer,2015-05-01,2015-05-01,2015-06-01,31.0,False
2015-09-01,Spring,2015-10-01,2015-10-01,2015-11-02,32.0,False
2015-11-01,Autumn,2015-12-01,2015-12-01,2016-01-04,34.0,False
2016-04-01,Spring,2016-05-02,,,,True
2016-05-01,Summer,2016-06-01,2016-06-01,2016-07-01,30.0,False
2016-07-01,Spring,2016-08-01,2016-08-01,2016-09-01,31.0,False
2016-09-01,Summer,2016-10-03,2016-09-01,2016-10-03,0.0,False
2017-04-01,Spring,2017-05-01,2017-05-01,2017-06-01,31.0,False
2017-08-01,Summer,2017-09-01,2017-09-01,2017-10-02,31.0,False
2017-12-01,Spring,2018-01-02,,,,True
2018-01-01,Summer,2018-02-01,2018-02-01,2018-03-01,28.0,False
2018-08-01,Spring,2018-09-04,2018-09-01,2018-10-01,27.0,False
2019-04-01,Summer,2019-05-01,2019-05-01,2019-06-03,33.0,False
2019-06-01,Spring,2019-07-01,2019-07-01,2019-08-01,31.0,False
2019-09-01,Autumn,2019-10-01,,,,True
2019-10-01,Winter,2019-11-01,,,,True
2019-11-01,Autumn,2019-12-02,2019-12-01,2020-01-02,31.0,False
2020-03-01,Spring,2020-04-01,,,,True
2020-04-01,Winter,2020-05-01,2020-05-01,2020-06-01,31.0,False
2020-07-01,Autumn,2020-08-03,,,,True
2020-08-01,Summer,2020-09-01,2020-09-01,2020-10-01,30.0,False
2020-11-01,Spring,2020-12-01,2020-12-01,2021-01-04,34.0,False
2021-01-01,Summer,2021-02-01,2021-02-01,2021-03-01,28.0,False
2022-08-01,Spring,2022-09-01,2022-09-01,2022-10-03,32.0,False
2022-12-01,Winter,2023-01-03,2023-01-01,2023-02-01,29.0,False
2023-09-01,Autumn,2023-10-02,,,,True
2023-10-01,Winter,2023-11-01,2023-11-01,2023-12-01,30.0,False
2024-02-01,Autumn,2024-03-01,2024-03-01,2024-04-01,31.0,False
2024-06-01,Winter,2024-07-01,2024-07-01,2024-08-01,31.0,False
2024-11-01,Autumn,2024-12-02,2024-12-01,2025-01-02,31.0,False
2025-02-01,Summer,2025-03-03,,,,True
2025-03-01,Spring,2025-04-01,,,,True
2025-04-01,Winter,2025-05-01,2025-05-01,2025-06-02,32.0,False
2025-06-01,Autumn,2025-07-01,2025-07-01,2025-08-01,31.0,False
2026-01-01,Winter,2026-02-02,,,,True
2026-02-01,Spring,2026-03-02,,,,True
2026-03-01,Summer,2026-04-01,2026-04-01,2026-05-01,30.0,False
