regime,months
Spring,1
Summer,6
Spring,3
Summer,5
Winter,4
Autumn,2
Summer,1
Autumn,1
Winter,11
Spring,1
Summer,5
Spring,9
Summer,10
Spring,10
Winter,1
Summer,3
Spring,2
Summer,1
Spring,3
Summer,3
Spring,3
Summer,2
Spring,1
Summer,4
Spring,9
Summer,5
Spring,2
Autumn,5
Spring,1
Summer,2
Spring,2
Summer,7
Spring,4
Summer,4
Spring,1
Summer,7
Spring,8
Summer,2
Spring,3
Autumn,1
Winter,1
Autumn,4
Spring,1
Winter,3
Autumn,1
Summer,3
Spring,2
Summer,19
Spring,4
Winter,9
Autumn,1
Winter,4
Autumn,4
Winter,5
Autumn,3
Summer,1
Spring,1
Winter,2
Autumn,6
Winter,1
Spring,1
Summer,4
