indicator,target_month,release_date,value,release_known
BUSINV,2004-01-01,2006-06-01,1159536.0,False
BUSINV,2004-02-01,2006-06-01,1168628.0,False
BUSINV,2004-03-01,2006-06-01,1177125.0,False
BUSINV,2004-04-01,2006-06-01,1184339.0,False
BUSINV,2004-05-01,2006-06-01,1193801.0,False
BUSINV,2004-06-01,2006-06-01,1205965.0,False
BUSINV,2004-07-01,2006-06-01,1219555.0,False
BUSINV,2004-08-01,2006-06-01,1230738.0,False
BUSINV,2004-09-01,2006-06-01,1229817.0,False
BUSINV,2004-10-01,2006-06-01,1236408.0,False
BUSINV,2004-11-01,2006-06-01,1248920.0,False
BUSINV,2004-12-01,2006-06-01,1250071.0,False
BUSINV,2005-01-01,2006-06-01,1260868.0,False
BUSINV,2005-02-01,2006-06-01,1266619.0,False
BUSINV,2005-03-01,2006-06-01,1270806.0,False
BUSINV,2005-04-01,2006-06-01,1275081.0,False
BUSINV,2005-05-01,2006-06-01,1277357.0,False
BUSINV,2005-06-01,2006-06-01,1276882.0,False
BUSINV,2005-07-01,2006-06-01,1272347.0,False
BUSINV,2005-08-01,2006-06-01,1277245.0,False
BUSINV,2005-09-01,2006-06-01,1284152.0,False
BUSINV,2005-10-01,2006-06-01,1289407.0,False
BUSINV,2005-11-01,2006-06-01,1296537.0,False
BUSINV,2005-12-01,2006-06-01,1306407.0,False
BUSINV,2006-01-01,2006-06-01,1313677.0,False
BUSINV,2006-02-01,2006-06-01,1314806.0,False
BUSINV,2006-03-01,2006-06-01,1324104.0,False
BUSINV,2006-04-01,2006-06-13,1310331.0,True
BUSINV,2006-05-01,2006-07-14,1324108.0,True
BUSINV,2006-06-01,2006-08-11,1339154.0,True
BUSINV,2006-07-01,2006-09-14,1347284.0,True
BUSINV,2006-08-01,2006-10-13,1357035.0,True
BUSINV,2006-09-01,2006-11-14,1362623.0,True
BUSINV,2006-10-01,2006-12-13,1365943.0,True
BUSINV,2006-11-01,2007-01-12,1368239.0,True
BUSINV,2006-12-01,2007-02-14,1366352.0,True
BUSINV,2007-01-01,2007-03-13,1370168.0,True
BUSINV,2007-02-01,2007-04-16,1368476.0,True
BUSINV,2007-03-01,2007-05-11,1366320.0,True
