run_date,prod_date,ticker,name,rank,has_consensus,grow,confirmed,confirm_bar,entry_px,weight_pct,fwd_per,revision
20260625,20260625,000660,SK하이닉스,1,1,3.5015,1,,2917000.0,47.7,7.9,
20260625,20260625,089970,브이엠,2,1,1.9012,0,,100000.0,15.9,26.2,
20260625,20260625,080220,제주반도체,3,0,1.6451,1,,108100.0,36.4,20.0,
20260626,20260626,000660,SK하이닉스,1,1,3.5044,1,,2673000.0,36.2,7.2,0.0
20260626,20260626,080220,제주반도체,2,0,1.6451,1,,99200.0,27.6,18.3,
20260626,20260626,005930,삼성전자,3,1,3.6943,1,,339500.0,36.2,6.4,-0.0001
20260629,20260629,000660,SK하이닉스,1,1,2.918,1,,2628000.0,36.2,8.5,-0.0001
20260629,20260629,080220,제주반도체,2,0,1.6451,1,,96900.0,27.6,17.9,
20260629,20260629,005930,삼성전자,3,1,3.1534,1,,323000.0,36.2,7.2,0.0109
20260630,20260630,000660,SK하이닉스,1,1,2.918,1,,2650000.0,36.2,8.6,-0.0001
20260630,20260630,080220,제주반도체,2,0,1.6451,1,,103900.0,27.6,19.2,
20260630,20260630,005930,삼성전자,3,1,3.1534,1,,334000.0,36.2,7.4,0.0109
20260701,20260701,000660,SK하이닉스,1,1,2.938,1,,2560000.0,36.2,8.3,0.0067
20260701,20260701,080220,제주반도체,2,0,1.6451,1,,103300.0,27.6,19.1,
20260701,20260701,005930,삼성전자,3,1,3.1616,1,,314500.0,36.2,7.0,0.0136
20260702,20260702,000660,SK하이닉스,1,1,2.9536,1,,2187000.0,36.2,7.0,0.0121
20260702,20260702,080220,제주반도체,2,0,1.6451,1,,89700.0,27.6,16.6,
20260702,20260702,005930,삼성전자,3,1,3.1944,1,,286000.0,36.2,6.3,0.0241
20260703,20260703,000660,SK하이닉스,1,1,2.9656,1,,2425000.0,47.7,7.8,0.0162
20260703,20260703,080220,제주반도체,2,0,1.6451,1,,91500.0,36.4,16.9,
20260703,20260703,131290,티에스이,3,1,2.4013,0,,251000.0,15.9,20.8,0.1198
20260706,20260706,000660,SK하이닉스,1,1,2.9966,1,,2343000.0,36.2,7.4,0.0268
20260706,20260706,080220,제주반도체,2,0,1.6451,1,,89300.0,27.6,16.5,
20260706,20260706,005930,삼성전자,3,1,3.1943,1,,318000.0,36.2,7.0,0.024
20260707,20260707,000660,SK하이닉스,1,1,2.9966,1,,2201000.0,47.7,7.0,0.0268
20260707,20260707,080220,제주반도체,2,0,1.6451,1,,82300.0,36.4,15.2,
20260707,20260707,278470,에이피알,3,1,1.5067,0,,410000.0,15.9,28.5,0.0067
