date,ticker,name,fwd_per,gap,price,has_consensus,sweetspot
20260629,000080,하이트진로,10.89,0.678,14860.0,1,0
20260629,000100,유한양행,39.83,0.695,73800.0,1,0
20260629,000120,CJ대한통운,6.73,1.347,77100.0,1,0
20260629,000150,두산,67.47,3.887,1478000.0,1,0
20260629,000240,한국앤컴퍼니,5.25,1.182,23300.0,1,0
20260629,000270,기아,6.59,1.191,140600.0,1,0
20260629,000370,한화손해보험,2.78,0.73,5980.0,1,0
20260629,000640,동아쏘시오홀딩스,6.47,0.669,79000.0,1,0
20260629,000660,SK하이닉스,8.54,2.918,2628000.0,1,1
20260629,000720,현대건설,24.07,1.26,116100.0,1,0
20260629,000810,삼성화재,14.12,0.966,625000.0,1,0
20260629,000880,한화,10.68,1.593,104100.0,1,0
20260629,000990,DB하이텍,17.14,1.226,143600.0,1,0
20260629,001040,CJ,15.92,1.945,160300.0,1,0
20260629,001120,LX인터내셔널,4.64,2.84,35350.0,1,1
20260629,001230,동국홀딩스,9.75,2.224,1745.0,1,1
20260629,001250,GS글로벌,10.96,1.167,2695.0,1,0
20260629,001340,PKC,27.12,3.367,6210.0,1,0
20260629,001430,세아베스틸지주,14.36,1.102,35050.0,1,0
20260629,001440,대한전선,65.62,2.106,34450.0,1,0
20260629,001450,현대해상,4.42,0.636,34700.0,1,0
20260629,001680,대상,6.4,0.93,17230.0,1,0
20260629,001740,SK네트웍스,24.18,0.976,9550.0,1,0
20260629,002350,넥센타이어,4.54,0.852,6960.0,1,0
20260629,002380,KCC,2.71,0.907,490500.0,1,0
20260629,002990,금호건설,5.86,0.744,8610.0,1,0
20260629,003030,세아제강지주,5.25,1.04,120300.0,1,0
20260629,003160,디아이,17.8,3.726,25350.0,1,0
20260629,003230,삼양식품,15.75,1.276,1160000.0,1,0
20260629,003490,대한항공,50.53,0.335,28350.0,1,0
20260629,003540,대신증권,6.88,0.574,27450.0,1,0
20260629,003550,LG,13.44,2.282,100800.0,1,0
20260629,003570,SNT다이내믹스,13.81,1.419,37750.0,1,0
20260629,003850,보령,11.15,0.628,8610.0,1,0
20260629,004000,롯데정밀화학,6.45,1.494,45750.0,1,0
20260629,004020,현대제철,19.92,26.881,29100.0,1,0
20260629,004170,신세계,18.49,4.862,729000.0,1,0
20260629,004370,농심,10.92,0.957,343500.0,1,0
20260629,004690,삼천리,3.11,1.094,116900.0,1,0
20260629,004800,효성,8.78,0.982,174100.0,1,0
20260629,005180,빙그레,7.86,1.444,67400.0,1,0
20260629,005300,롯데칠성,9.42,1.519,99600.0,1,0
20260629,005380,현대차,12.58,0.938,497000.0,1,0
20260629,005440,현대지에프홀딩스,8.31,0.615,15250.0,1,0
20260629,005490,POSCO홀딩스,14.31,2.241,333000.0,1,0
20260629,005500,삼진제약,10.93,1.048,18790.0,1,0
20260629,005690,파미셀,14.44,1.26,13200.0,1,0
20260629,005810,풍산홀딩스,4.93,1.12,34950.0,1,0
20260629,005830,DB손해보험,5.83,0.956,135700.0,1,0
20260629,005850,에스엘,7.07,1.123,58600.0,1,0
20260629,005880,대한해운,3.84,0.719,1901.0,1,0
20260629,005930,삼성전자,7.19,3.153,323000.0,1,1
20260629,005940,NH투자증권,7.18,1.114,29150.0,1,0
20260629,006040,동원산업,4.31,0.827,33350.0,1,0
20260629,006260,LS,19.38,1.699,358500.0,1,0
20260629,006280,녹십자,18.72,0.767,127900.0,1,0
20260629,006360,GS건설,9.32,3.557,25250.0,1,1
20260629,006650,대한유화,6.49,1.443,120000.0,1,0
20260629,006730,서부T&D,15.19,1.638,10420.0,1,0
20260629,006800,미래에셋증권,10.46,1.01,43550.0,1,0
20260629,007070,GS리테일,9.48,2.57,23250.0,1,1
20260629,007340,DN오토모티브,7.0,1.141,37500.0,1,0
20260629,007660,이수페타시스,30.78,1.516,109700.0,1,0
20260629,007690,국도화학,7.41,1.981,33850.0,1,1
20260629,007810,코리아써키트,19.95,2.345,87600.0,1,0
20260629,009150,삼성전기,123.08,1.506,2038000.0,1,0
20260629,009240,한샘,30.57,0.664,33900.0,1,0
20260629,009450,경동나비엔,5.32,1.831,63100.0,1,1
20260629,009540,HD한국조선해양,7.34,1.393,363500.0,1,0
20260629,009900,명신산업,4.99,1.097,7650.0,1,0
20260629,010120,LS ELECTRIC,66.33,1.502,224000.0,1,0
20260629,010130,고려아연,17.76,1.368,1125000.0,1,0
20260629,010140,삼성중공업,20.29,1.911,24450.0,1,0
20260629,010690,화신,4.36,1.163,10980.0,1,0
20260629,010780,아이에스동서,4.71,1.52,23100.0,1,0
20260629,010950,S-Oil,5.07,2.443,103700.0,1,1
20260629,011070,LG이노텍,26.37,1.694,915000.0,1,0
20260629,011200,HMM,13.74,0.884,19220.0,1,0
20260629,011210,현대위아,11.28,4.529,65800.0,1,0
20260629,011560,세보엠이씨,5.92,1.129,25150.0,1,0
20260629,011760,현대코퍼레이션,3.06,1.358,23250.0,1,0
20260629,011780,금호석유화학,8.37,0.935,120000.0,1,0
20260629,012330,현대모비스,11.03,1.178,502000.0,1,0
20260629,012450,한화에어로스페이스,24.56,1.356,1020000.0,1,0
20260629,012630,HDC,3.94,1.091,21550.0,1,0
20260629,012750,에스원,17.22,1.004,71900.0,1,0
20260629,013030,하이록코리아,7.33,0.991,31650.0,1,0
20260629,013120,동원개발,8.01,0.974,2290.0,1,0
20260629,013580,계룡건설,1.88,0.965,22150.0,1,0
20260629,014620,성광벤드,16.5,1.347,29150.0,1,0
20260629,014680,한솔케미칼,18.12,1.112,278500.0,1,0
20260629,014830,유니드,4.88,1.313,64200.0,1,0
20260629,015760,한국전력,4.46,0.632,38250.0,1,0
20260629,016360,삼성증권,6.09,1.329,109700.0,1,0
20260629,016380,KG스틸,3.64,0.997,5380.0,1,0
20260629,016580,환인제약,8.76,1.293,9710.0,1,0
20260629,017670,SK텔레콤,15.93,3.319,90200.0,1,0
20260629,017800,현대엘리베이터,14.06,0.773,72100.0,1,0
20260629,017810,풀무원,8.74,2.078,9420.0,1,1
20260629,017940,E1,2.58,1.122,80500.0,1,0
20260629,017960,한국카본,12.42,1.208,27700.0,1,0
20260629,018260,삼성에스디에스,21.77,1.103,198700.0,1,0
20260629,018290,브이티,8.95,0.707,12510.0,1,0
20260629,018670,SK가스,3.88,1.247,213000.0,1,0
20260629,020000,한섬,5.77,1.133,21650.0,1,0
20260629,021240,코웨이,9.2,1.062,91300.0,1,0
20260629,021320,KCC건설,2.98,1.779,5570.0,1,1
20260629,023160,태광,13.05,0.66,26850.0,1,0
20260629,023530,롯데쇼핑,12.92,5.556,171100.0,1,0
20260629,024110,기업은행,5.74,1.055,20150.0,1,0
20260629,025540,한국단자,6.09,1.013,72200.0,1,0
20260629,027410,BGF,5.96,1.112,3860.0,1,0
20260629,028050,삼성E&A,13.2,1.137,47650.0,1,0
20260629,028260,삼성물산,29.3,1.022,471000.0,1,0
20260629,028670,팬오션,6.75,0.641,4825.0,1,0
20260629,029780,삼성카드,8.38,1.046,46750.0,1,0
20260629,030000,제일기획,9.51,1.082,18570.0,1,0
20260629,030190,NICE평가정보,8.74,1.119,13840.0,1,0
20260629,030200,KT,9.24,0.931,52700.0,1,0
20260629,030520,한글과컴퓨터,10.49,1.259,18330.0,1,0
20260629,031430,신세계인터내셔날,8.5,3.221,13210.0,1,1
20260629,031980,피에스케이홀딩스,21.62,2.638,134700.0,1,0
20260629,032350,롯데관광개발,15.32,1.763,14890.0,1,0
20260629,032640,LG유플러스,8.57,1.348,14570.0,1,0
20260629,032830,삼성생명,28.68,0.992,408500.0,1,0
20260629,033240,자화전자,7.37,1.066,28600.0,1,0
20260629,033270,유나이티드제약,6.39,1.118,17790.0,1,0
20260629,033500,동성화인텍,7.52,1.152,18490.0,1,0
20260629,033640,네패스,111.96,0.226,25750.0,1,0
20260629,033780,KT&G,14.56,1.013,172700.0,1,0
20260629,034020,두산에너빌리티,191.72,1.905,88000.0,1,0
20260629,034230,파라다이스,14.06,1.034,14370.0,1,0
20260629,034730,SK,6.39,3.387,785000.0,1,1
20260629,035150,백산,4.06,1.437,9670.0,1,0
20260629,035250,강원랜드,10.54,1.017,14540.0,1,0
20260629,035420,NAVER,16.52,1.068,204000.0,1,0
20260629,035600,KG이니시스,4.43,1.207,9480.0,1,0
20260629,035720,카카오,23.16,1.395,35850.0,1,0
