date,n_reliable,vol_top3,fused_top3,same,vol_fwd1,fused_fwd1,vol_fwd3,fused_fwd3,vol_fwd5,fused_fwd5
20260601,41,000660|089970|080220,000660|089970|080220,True,-0.1520899014260668,-0.1520899014260668,1.4627216600684367,1.4627216600684367,10.980564986296182,10.980564986296182
20260602,35,089970|000660|080220,000660|089970|080220,True,10.613095802043778,10.613095802043778,-4.405451912381186,-4.405451912381186,9.477136405866494,9.477136405866494
20260604,41,089970|000660|080220,000660|089970|080220,True,-8.313693799546588,-8.313693799546588,0.0578074863783584,0.0578074863783584,1.4247056166760732,1.4247056166760732
20260605,41,089970|080220|000660,000660|089970|080220,True,-5.621883799633157,-5.621883799633157,5.920242493132519,5.920242493132519,,
20260608,29,089970|080220|000660,000660|089970|080220,True,16.023433598534908,16.023433598534908,17.54693800039249,17.54693800039249,,
20260609,34,089970|000660|080220,000660|089970|080220,True,-2.9763282085124207,-2.9763282085124207,,,,
20260611,37,089970|080220|000660,089970|080220|000660,True,,,,,,
20260612,45,000660|080220|187870,000660|080220|005930,False,,,,,,
20260624,23,000660|089970|080220,000660|089970|080220,True,,,,,,
20260626,18,000660|080220|005930,000660|005930|080220,True,,,,,,
20260702,25,000660|080220|131290,000660|080220|005930,False,,,,,,
20260703,24,000660|080220|131290,000660|080220|005930,False,,,,,,
20260708,22,000660|080220|005930,000660|080220|005930,True,,,,,,
20260709,20,000660|080220|089970,000660|080220|089970,True,,,,,,
