ed,xd,name,t,hold_d,ep,xp,ret,why,brd_at_entry,reentry_gap,entry_wr
20190208,20190213,슈피겐코리아,192440,5,66800.0,66500.0,-0.004491017964071808,순위이탈,1.0,9999,2.0
20190208,20190213,메가스터디교육,215200,5,34450.0,34550.0,0.002902757619738683,순위이탈,1.0,9999,3.0
20190208,20190221,유니테스트,086390,13,14150.0,15450.0,0.09187279151943462,순위이탈,1.0,9999,1.0
20190213,20190214,와이솔,122990,1,16350.0,17000.0,0.039755351681957096,순위이탈,1.0,9999,7.2
20190213,20190306,SK하이닉스,000660,21,76200.0,68100.0,-0.10629921259842523,순위이탈,1.0,9999,3.1
20190218,20190220,유니켐,011330,2,1775.0,1770.0,-0.0028169014084507005,순위이탈,1.0,9999,2.9
20190222,20190424,신대양제지,016590,61,7120.0,8510.0,0.1952247191011236,순위이탈,1.0,9999,4.0
20190228,20190305,SK네트웍스,001740,5,5900.0,5970.0,0.011864406779660941,순위이탈,1.0,9999,3.3
20190305,20190403,메가스터디교육,215200,29,35050.0,39950.0,0.13980028530670463,순위이탈,1.0,13,3.0
20190308,20190424,유니켐,011330,47,1805.0,2260.0,0.25207756232686984,순위이탈,1.0,11,2.0
20190403,20190405,SK하이닉스,000660,2,79900.0,79000.0,-0.01126408010012514,순위이탈,1.0,20,3.0
20190405,20190416,파워로직스,047310,11,10150.0,11950.0,0.17733990147783252,순위이탈,1.0,9999,3.6
20190417,20190419,삼보판지,023600,2,13400.0,12350.0,-0.07835820895522383,순위이탈,1.0,9999,2.2
20190419,20190424,메가스터디교육,215200,5,40900.0,42650.0,0.04278728606356963,순위이탈,1.0,12,3.4
20190424,20190425,유니테스트,086390,1,15400.0,17150.0,0.11363636363636354,순위이탈,1.0,43,7.0
20190424,20190502,SK하이닉스,000660,8,78500.0,80700.0,0.028025477707006363,순위이탈,1.0,13,2.4
20190430,20190507,에스넷,038680,7,8560.0,8020.0,-0.06308411214953269,순위이탈,1.0,9999,1.0
20190507,20190516,도이치모터스,067990,9,7930.0,7760.0,-0.021437578814628044,순위이탈,1.0,9999,1.0
20190509,20190510,아세아제지,002310,1,8490.0,8330.0,-0.018845700824499434,순위이탈,1.0,9999,5.2
20190513,20190516,태림포장,011280,3,7100.0,6870.0,-0.032394366197183055,순위이탈,1.0,9999,1.8
20190513,20190521,메가스터디교육,215200,8,42550.0,38750.0,-0.08930669800235014,국면전환,1.0,11,3.5
20190516,20190521,엠씨넥스,097520,5,21100.0,21700.0,0.028436018957346043,국면전환,1.0,9999,2.2
20190516,20190521,파워로직스,047310,5,10000.0,10400.0,0.040000000000000036,국면전환,1.0,20,3.8
20191008,20191010,케이엠더블유,032500,2,71100.0,74000.0,0.04078762306610417,순위이탈,0.5,9999,2.0
20191008,20191014,엠씨넥스,097520,6,23300.0,24000.0,0.030042918454935563,순위이탈,0.5,9999,1.0
20191008,20191023,대덕,008060,15,11100.0,10700.0,-0.036036036036036,순위이탈,0.5,9999,3.6
20191010,20191011,한국항공우주,047810,1,38000.0,38150.0,0.003947368421052699,순위이탈,0.5,9999,4.6
20191011,20191014,NHN KCP,060250,3,11928.0,11756.0,-0.014419852448021464,순위이탈,0.5,9999,4.5
20191014,20191015,이엔에프테크놀로지,102710,1,21350.0,21650.0,0.014051522248243575,순위이탈,0.5,9999,8.6
20191015,20191016,에스에이엠티,031330,1,2220.0,2245.0,0.011261261261261257,순위이탈,0.5,9999,8.5
20191024,20191025,메가스터디,072870,1,12100.0,13300.0,0.09917355371900816,순위이탈,0.5,9999,15.3
20191025,20191029,LG유플러스,032640,4,13850.0,13800.0,-0.0036101083032491488,순위이탈,0.5,9999,1.4
20191025,20191029,KG이니시스,035600,4,15550.0,16150.0,0.03858520900321549,순위이탈,0.5,9999,1.6
20191029,20191030,DB하이텍,000990,1,17100.0,17150.0,0.0029239766081872176,순위이탈,0.5,9999,13.4
20191029,20191104,엠씨넥스,097520,6,24000.0,24650.0,0.027083333333333348,순위이탈,0.5,11,7.4
20191030,20191031,이엔에프테크놀로지,102710,1,25700.0,26000.0,0.011673151750972721,순위이탈,0.5,11,8.8
20191030,20191031,NHN KCP,060250,1,12272.0,12185.0,-0.007089308996088617,순위이탈,0.5,12,8.9
20191031,20191101,비츠로셀,082920,1,6762.0,6813.0,0.007542147293700063,순위이탈,0.5,9999,1.0
20191031,20191101,SOOP,067160,1,73900.0,76200.0,0.0311231393775373,순위이탈,0.5,9999,3.0
20191114,20191115,메가스터디교육,215200,1,37600.0,37600.0,0.0,순위이탈,1.0,138,3.6
20191115,20191118,이엔에프테크놀로지,102710,3,24250.0,24500.0,0.010309278350515427,순위이탈,1.0,11,7.0
20191118,20191119,비츠로셀,082920,1,6661.0,6485.0,-0.02642245909022667,순위이탈,1.0,11,1.8
20191118,20191121,SFA반도체,036540,3,3575.0,3695.0,0.03356643356643363,순위이탈,1.0,9999,3.0
20191119,20191121,SOOP,067160,2,74300.0,74100.0,-0.0026917900403768957,순위이탈,1.0,12,3.6
20191119,20200309,엠씨넥스,097520,111,26450.0,31950.0,0.20793950850661624,국면전환,1.0,11,1.0
