date,tickers,names,prices
20260223,000660|402340|089970|119850|095610,SK하이닉스|SK스퀘어|브이엠|지엔씨에너지|테스,951000.00|580000.00|34650.00|39800.00|69500.00
20260224,000660|402340|119850|005930|095610,SK하이닉스|SK스퀘어|지엔씨에너지|삼성전자|테스,1005000.00|617000.00|40150.00|200000.00|72000.00
20260225,000660|402340|089970|119850|095610,SK하이닉스|SK스퀘어|브이엠|지엔씨에너지|테스,1018000.00|647000.00|41050.00|39300.00|69900.00
20260226,000660|402340|089970|119850|005930,SK하이닉스|SK스퀘어|브이엠|지엔씨에너지|삼성전자,1099000.00|679000.00|42250.00|38500.00|218000.00
20260227,000660|402340|089970|005930|119850,SK하이닉스|SK스퀘어|브이엠|삼성전자|지엔씨에너지,1061000.00|645000.00|41600.00|216500.00|39000.00
20260303,000660|402340|089970|005930|095610,SK하이닉스|SK스퀘어|브이엠|삼성전자|테스,939000.00|581000.00|38450.00|195100.00|70300.00
20260304,402340|000660|089970|005930|095610,SK스퀘어|SK하이닉스|브이엠|삼성전자|테스,507000.00|849000.00|32750.00|172200.00|60500.00
20260305,000660|402340|089970|489790|042700,SK하이닉스|SK스퀘어|브이엠|한화비전|한미반도체,941000.00|566000.00|39450.00|78300.00|315000.00
20260306,037460|000660|402340|005930|089970,삼지전자|SK하이닉스|SK스퀘어|삼성전자|브이엠,21000.00|924000.00|553000.00|188200.00|43400.00
20260309,000660|402340|089970|005930|222080,SK하이닉스|SK스퀘어|브이엠|삼성전자|씨아이에스,836000.00|509000.00|39900.00|173500.00|14900.00
20260310,000660|402340|089970|005930|222080,SK하이닉스|SK스퀘어|브이엠|삼성전자|씨아이에스,938000.00|554000.00|41350.00|187900.00|14560.00
20260311,000660|402340|089970|005930|222080,SK하이닉스|SK스퀘어|브이엠|삼성전자|씨아이에스,955000.00|565000.00|40000.00|190000.00|14360.00
20260312,000660|402340|089970|005930|222080,SK하이닉스|SK스퀘어|브이엠|삼성전자|씨아이에스,930000.00|554000.00|39550.00|187900.00|13920.00
20260313,000660|402340|089970|005930,SK하이닉스|SK스퀘어|브이엠|삼성전자,910000.00|534000.00|38700.00|183500.00
20260316,000660|402340|089970|005930,SK하이닉스|SK스퀘어|브이엠|삼성전자,974000.00|562000.00|40000.00|188700.00
20260317,000660|402340|089970|005930,SK하이닉스|SK스퀘어|브이엠|삼성전자,970000.00|587000.00|41050.00|193900.00
20260318,000660|402340|089970|005930,SK하이닉스|SK스퀘어|브이엠|삼성전자,1056000.00|630000.00|45900.00|208500.00
20260319,000660|402340|089970|037460,SK하이닉스|SK스퀘어|브이엠|삼지전자,1013000.00|611000.00|48800.00|22950.00
20260320,088130|171090|000660|402340|006910|019180|089970|037460,동아엘텍|선익시스템|SK하이닉스|SK스퀘어|보성파워텍|티에이치엔|브이엠|삼지전자,8670.00|103200.00|1007000.00|608000.00|12850.00|8830.00|47650.00|23150.00
20260323,088130|171090|000660|402340|006910,동아엘텍|선익시스템|SK하이닉스|SK스퀘어|보성파워텍,7900.00|94900.00|933000.00|557000.00|11330.00
20260324,088130|171090|000660|402340,동아엘텍|선익시스템|SK하이닉스|SK스퀘어,8080.00|93200.00|986000.00|595000.00
20260325,171090|402340|000660|088130|089970,선익시스템|SK스퀘어|SK하이닉스|동아엘텍|브이엠,94900.00|605000.00|995000.00|8080.00|47750.00
20260326,171090|402340|089970|000660|088130,선익시스템|SK스퀘어|브이엠|SK하이닉스|동아엘텍,91700.00|558000.00|45300.00|933000.00|7470.00
20260327,171090|088130|278470|000660|402340,선익시스템|동아엘텍|에이피알|SK하이닉스|SK스퀘어,92800.00|7630.00|327000.00|922000.00|544000.00
20260330,171090|088130|278470|000660|006910,선익시스템|동아엘텍|에이피알|SK하이닉스|보성파워텍,85800.00|7180.00|326000.00|873000.00|9750.00
20260331,171090|088130|124500|006910|402340,선익시스템|동아엘텍|아이티센글로벌|보성파워텍|SK스퀘어,83800.00|6790.00|45650.00|9460.00|466500.00
20260401,088130|171090|124500|278470|006910,동아엘텍|선익시스템|아이티센글로벌|에이피알|보성파워텍,7520.00|88200.00|49650.00|344500.00|10170.00
20260402,088130|171090|124500|278470,동아엘텍|선익시스템|아이티센글로벌|에이피알,6990.00|81600.00|47750.00|339500.00
20260403,006910|000660|402340,보성파워텍|SK하이닉스|SK스퀘어,9720.00|876000.00|483000.00
20260406,000660|006910|402340,SK하이닉스|보성파워텍|SK스퀘어,886000.00|9330.00|487000.00
20260407,171090|088130|006910,선익시스템|동아엘텍|보성파워텍,82500.00|7100.00|9010.00
20260408,171090|088130|000660,선익시스템|동아엘텍|SK하이닉스,86300.00|7400.00|1033000.00
20260409,171090|088130|006910,선익시스템|동아엘텍|보성파워텍,84400.00|7040.00|9680.00
20260410,171090|088130|006910,선익시스템|동아엘텍|보성파워텍,85000.00|7270.00|9750.00
20260413,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,7150.00|9640.00|81900.00
20260414,006910|088130|171090,보성파워텍|동아엘텍|선익시스템,10030.00|7470.00|83800.00
20260415,006910|088130|171090,보성파워텍|동아엘텍|선익시스템,10400.00|7620.00|91200.00
20260416,006910|088130|171090,보성파워텍|동아엘텍|선익시스템,10670.00|7680.00|97500.00
20260417,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,7580.00|10280.00|97300.00
20260420,088130|006910|089970,동아엘텍|보성파워텍|브이엠,9280.00|10080.00|55000.00
20260421,088130|089970|171090,동아엘텍|브이엠|선익시스템,10600.00|54600.00|118000.00
20260422,088130|171090|006910,동아엘텍|선익시스템|보성파워텍,10390.00|114000.00|10030.00
20260423,088130|171090|089970,동아엘텍|선익시스템|브이엠,10610.00|105200.00|57100.00
20260424,088130|006910|089970,동아엘텍|보성파워텍|브이엠,11250.00|12110.00|55800.00
20260427,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,14620.00|12190.00|114500.00
20260428,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,11920.00|12040.00|109700.00
20260429,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,11910.00|12430.00|105400.00
20260504,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,11240.00|14350.00|98500.00
20260506,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,10870.00|15830.00|92800.00
20260507,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,10740.00|15600.00|90700.00
20260508,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,10430.00|14310.00|92500.00
20260511,088130|171090|124500,동아엘텍|선익시스템|아이티센글로벌,10260.00|90000.00|56600.00
20260512,088130|171090,동아엘텍|선익시스템,10000.00|91100.00
20260513,006910|124500|000660,보성파워텍|아이티센글로벌|SK하이닉스,12460.00|54800.00|1976000.00
20260514,006910|124500|000660,보성파워텍|아이티센글로벌|SK하이닉스,12240.00|53100.00|1970000.00
20260515,000660|006910|080220,SK하이닉스|보성파워텍|제주반도체,1819000.00|11430.00|82300.00
20260518,031330|000660|080220,에스에이엠티|SK하이닉스|제주반도체,18590.00|1840000.00|92600.00
20260519,031330|000660|080220,에스에이엠티|SK하이닉스|제주반도체,15640.00|1745000.00|95900.00
