date,factor,ic,n
20190102,value_s,0.237388,61
20190102,growth_s,-0.087414,61
20190102,momentum_s,-0.073453,61
20190102,mom_10_z,-0.119674,61
20190102,vol_low_z,-0.265521,61
20190102,score,-0.089742,61
20190103,value_s,0.206008,58
20190103,growth_s,-0.171491,58
20190103,momentum_s,-0.09988,58
20190103,mom_10_z,0.008521,58
20190103,vol_low_z,-0.155003,58
20190103,score,-0.194623,58
20190104,value_s,0.007024,67
20190104,growth_s,-0.020792,67
20190104,momentum_s,-0.217934,67
20190104,mom_10_z,-0.006984,67
20190104,vol_low_z,-0.178027,67
20190104,score,-0.109506,67
20190107,value_s,0.043062,79
20190107,growth_s,-0.071397,79
20190107,momentum_s,-0.224489,79
20190107,mom_10_z,-0.005355,79
20190107,vol_low_z,-0.040579,79
20190107,score,-0.158447,79
20190108,value_s,-0.025,82
20190108,growth_s,-0.110436,82
20190108,mom_10_z,-0.020004,82
20190108,vol_low_z,-0.142129,82
20190108,score,-0.016358,82
20190109,value_s,-0.047163,88
20190109,growth_s,-0.157074,88
20190109,momentum_s,0.040981,88
20190109,mom_10_z,-0.040682,88
20190109,vol_low_z,-0.158976,88
20190109,score,-0.141665,88
20190110,value_s,0.102905,82
20190110,growth_s,-0.198877,82
20190110,momentum_s,0.098573,82
20190110,mom_10_z,-0.176348,82
20190110,vol_low_z,-0.137645,82
20190110,score,-0.068817,82
20190111,value_s,0.084421,83
20190111,growth_s,-0.274254,83
20190111,momentum_s,0.120125,83
20190111,mom_10_z,0.088556,83
20190111,vol_low_z,-0.270392,83
20190111,score,-0.136371,83
20190114,value_s,0.0725,92
20190114,growth_s,-0.141186,92
20190114,mom_10_z,0.001788,92
20190114,vol_low_z,-0.068986,92
20190114,score,0.063415,92
20190115,value_s,-0.005725,91
20190115,growth_s,-0.022894,91
20190115,momentum_s,0.049594,91
20190115,mom_10_z,0.030937,91
20190115,vol_low_z,-0.141886,91
20190115,score,-0.063777,91
20190116,value_s,-0.053744,96
20190116,growth_s,0.024322,96
20190116,momentum_s,-0.049973,96
20190116,mom_10_z,-0.086232,96
20190116,vol_low_z,0.020646,96
20190116,score,-0.059721,96
20190117,value_s,-0.091616,94
20190117,growth_s,0.016118,94
20190117,momentum_s,-0.087252,94
20190117,mom_10_z,-0.028111,94
20190117,vol_low_z,-0.074522,94
20190117,score,-0.03455,94
20190118,value_s,-0.048917,100
20190118,growth_s,0.074883,100
20190118,momentum_s,-0.250444,100
20190118,mom_10_z,-0.080301,100
20190118,vol_low_z,0.117049,100
20190118,score,-0.051229,100
20190121,value_s,-0.07653,107
20190121,growth_s,0.24736,107
20190121,momentum_s,-0.369678,107
20190121,mom_10_z,-0.23585,107
20190121,vol_low_z,0.236858,107
20190121,score,0.00481,107
20190122,value_s,-0.063056,108
20190122,growth_s,0.185936,108
20190122,momentum_s,-0.32244,108
20190122,mom_10_z,-0.211444,108
20190122,vol_low_z,0.246521,108
20190122,score,-0.01118,108
20190123,value_s,-0.114755,110
20190123,growth_s,0.225313,110
20190123,momentum_s,-0.306389,110
20190123,mom_10_z,-0.253461,110
20190123,vol_low_z,0.19617,110
20190123,score,-0.028916,110
20190124,value_s,-0.088537,117
20190124,growth_s,0.219777,117
20190124,momentum_s,-0.396057,117
20190124,mom_10_z,-0.229503,117
20190124,vol_low_z,0.191978,117
20190124,score,-0.030129,117
20190125,value_s,-0.115626,120
20190125,growth_s,0.206907,120
20190125,momentum_s,-0.387214,120
20190125,mom_10_z,-0.290541,120
20190125,vol_low_z,0.19202,120
20190125,score,-0.053608,120
20190128,value_s,-0.052558,121
20190128,growth_s,0.332048,121
20190128,momentum_s,-0.380181,121
20190128,mom_10_z,-0.10664,121
20190128,vol_low_z,0.275154,121
20190128,score,0.0634,121
20190129,value_s,-0.081519,131
20190129,growth_s,0.295485,131
20190129,mom_10_z,-0.007679,131
20190129,vol_low_z,0.217539,131
20190129,score,0.181554,131
20190130,value_s,-0.163749,128
20190130,growth_s,0.265414,128
20190130,momentum_s,-0.289965,128
20190130,mom_10_z,-0.020755,128
20190130,vol_low_z,0.208913,128
20190130,score,0.04458,128
20190131,value_s,-0.212134,132
20190131,growth_s,0.2599,132
20190131,momentum_s,-0.243017,132
20190131,mom_10_z,0.017417,132
