symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error,ticker,source
005930.KS,SamsungElec,KS,1186887403361000.0,True,True,True,5,43656.223,42877.54,34773.367,24894.336,21307.426,51203.273,22808.857,True,True,True,9.0,20.0,3.0,3.0,36.0,0.693,0.42718,0.47674,5.6637006,,True,,005930,US (5천억+)
005380.KS,HyundaiMtr,KS,106883553852000.0,True,True,True,5,44433.69,44370.844,45205.598,47006.9,47301.918,49662.477,51729.957,True,True,True,9.0,2.0,15.0,7.0,31.0,0.034,0.05475,0.17708,13.954197,,True,,005380,US (5천억+)
000660.KS,SK hynix,KS,721967495745000.0,True,True,True,5,294399.22,292667.16,215432.33,188427.95,164505.56,376562.03,176893.7,True,True,True,1.0,26.0,0.0,0.0,38.0,1.981,0.71535003,0.59647,5.154529,,True,,000660,US (5천억+)
402340.KS,SKSQUARE,KS,80705227265000.0,True,True,True,5,158899.11,154696.98,163839.28,153441.25,123785.61,201982.39,103948.37,True,True,True,3.0,3.0,0.0,0.0,10.0,1.081,-0.11807,0.97103995,5.7777314,,True,,402340,US (5천억+)
373220.KS,LG Energy Solution,KS,86814000000000.0,True,True,True,5,2315.5833,2686.6643,3307.5625,3680.162,3766.0632,8687.075,9610.384,True,True,True,1.0,1.0,6.0,5.0,30.0,,0.19408001,0.17883,50.189503,,True,,373220,US (5천억+)
207940.KS,SAMSUNG BIOLOGICS,KS,73371157335000.0,True,True,True,5,40933.105,40913.598,39525.504,37825.32,37475.453,48468.535,46159.53,True,True,True,6.0,6.0,3.0,2.0,25.0,,0.46221,0.55152,29.283548,,True,,207940,US (5천억+)
012450.KS,HANWHA AEROSPACE,KS,70899676375000.0,True,True,True,5,44091.83,45199.93,48430.69,49191.78,49305.3,54738.91,57038.566,True,True,True,2.0,1.0,8.0,7.0,21.0,0.745,0.095249996,0.20352,23.52988,,True,,012450,US (5천억+)
000270.KS,KIA CORP.,KS,66565416159000.0,True,True,True,5,21560.646,21561.31,21946.033,21987.611,21648.334,23577.922,23789.467,True,True,True,0.0,10.0,14.0,0.0,30.0,0.035,0.065560006,0.19638,7.409474,,True,,000270,US (5천억+)
034020.KS,Doosan Enerbility,KS,68091649819800.0,True,True,True,5,628.70575,628.70575,655.11304,674.1752,811.6896,1004.2572,1179.7239,True,True,True,3.0,4.0,4.0,4.0,21.0,0.059,0.03372,0.16082,115.70741,,False,,034020,US (5천억+)
329180.KS,HD HYUNDAI HEAVY INDUSTRIES,KS,59513014575000.0,True,True,True,5,29838.547,25876.225,25351.383,25787.973,25892.525,33197.746,31809.527,True,True,True,8.0,8.0,0.0,0.0,23.0,0.296,0.1106,0.16833,20.39295,,True,,329180,US (5천억+)
105560.KS,KBFinancialGroup,KS,58052815843500.0,True,True,True,5,17647.672,17585.252,17544.242,17470.943,16660.73,18903.162,17899.023,True,True,True,10.0,10.0,1.0,1.0,20.0,6.874,0.08885,0.0,8.183816,,True,,105560,US (5천억+)
028260.KS,SAMSUNG C&T,KS,49463174304000.0,True,True,True,5,17042.197,15349.875,15379.072,15398.595,15301.355,17846.936,16977.514,True,True,True,2.0,2.0,0.0,0.0,16.0,0.084,0.074939996,0.18868999,24.233852,,True,,028260,US (5천억+)
068270.KS,Celltrion,KS,46671748722000.0,True,True,True,5,6209.368,6546.989,6026.181,5926.4785,5917.3096,7461.494,6844.3027,True,True,True,10.0,11.0,3.0,2.0,24.0,0.251,0.35382,0.59268004,25.799122,,True,,068270,US (5천억+)
032830.KS,SAMSUNG LIFE,KS,46100000000000.0,True,True,True,5,13844.051,13816.346,13639.408,13466.439,13428.442,15471.062,14251.84,True,True,True,1.0,3.0,1.0,0.0,18.0,,-0.83023,0.58278,20.813051,,True,,032830,US (5천억+)
055550.KS,ShinhanGroup,KS,45804145836500.0,True,True,True,5,11785.393,11578.175,11592.087,11541.628,11242.003,12881.762,12190.595,True,True,True,8.0,7.0,2.0,2.0,20.0,0.066,0.5145,0.0,7.4058194,,True,,055550,US (5천억+)
042660.KS,Hanwha Ocean,KS,39833741220000.0,True,True,True,5,4689.391,4479.2856,4591.019,4623.1514,4422.4463,6005.159,5479.5537,True,True,True,6.0,6.0,2.0,1.0,20.0,0.021,0.074489996,0.14396,19.866251,,True,,042660,US (5천억+)
012330.KS,Mobis,KS,37472556779000.0,True,True,True,5,47602.016,47211.246,49138.7,49422.9,49620.36,53016.605,54241.125,True,True,True,0.0,4.0,19.0,0.0,29.0,0.047,0.06044,0.14446999,12.260309,,True,,012330,US (5천억+)
006800.KS,MIRAE ASSET SEC,KS,37039604413600.0,True,True,True,5,4846.9,4126.737,4130.584,3754.5042,3573.5454,3511.9946,3220.992,True,True,True,0.0,3.0,1.0,1.0,11.0,0.793,0.33001,0.95739,20.330328,,False,,006800,US (5천억+)
009150.KS,SamsungElecMech,KS,35815627232000.0,True,True,True,5,17135.057,17097.664,15394.855,14391.113,13697.6875,26290.979,17553.309,True,True,True,16.0,17.0,0.0,0.0,27.0,0.164,0.08253,0.20128,38.910686,,True,,009150,US (5천억+)
