symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error
006110.KS,SamaAlum,KS,1226512200500.0,True,True,False,5,507.0,0.0,0.0,0.0,0.0,,,True,True,True,0,0,0,0,,0.103,-0.10533,0.074489996,,,False,
439960.KQ,,KQ,1302016138300.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.311,-1.20149,0.50387,,,False,
033790.KQ,FINO,KQ,1262969627920.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.36,-0.58672,0.054619998,,,False,
006340.KS,DaewonCbl,KS,1147202906080.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.217,-0.032780003,0.04718,,,False,
083450.KQ,GST,KQ,1225595000000.0,True,True,False,5,3288.0,3033.0,3033.0,3033.0,3033.0,,,True,True,True,1,1,0,0,,,,,,,False,
199800.KQ,ToolGen,KQ,1175493450300.0,True,False,False,0,,,,,,,,False,False,False,,,,,,1.383,-17.17063,0.8557,,,False,
094170.KQ,DONGWOON ANATECH,KQ,1005767921600.0,True,True,True,5,380.0,1077.0,1077.0,1077.0,1077.0,799.0,1348.0,True,True,True,0,0,0,0,,0.765,-0.00569,0.28022,63.07885,,False,
327260.KQ,RF Materials,KQ,999877389500.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.42,0.13108,0.17009,,,False,
031330.KQ,SAMT,KQ,944953383150.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.399,0.04299,0.04302,,,False,
336370.KS,Solus Advanced Materials,KS,796966854400.0,True,True,True,5,-490.0,-187.9948,-161.7448,-135.39584,-140.11137,324.0,249.5,True,True,True,0,0,1,1,4,0.023,-0.12939,0.063260004,36.203705,,True,
077360.KQ,DSHM,KQ,822864106220.0,True,True,True,5,513.0,423.0,423.0,423.0,0.0,912.0,0.0,True,True,True,1,1,0,0,1,,,,,,False,
059090.KQ,MiCo,KQ,828736094400.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.957,0.040489998,0.33163,,,False,
0011T0.KQ,CHAEVI,KQ,778039206400.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.215,-0.00956,0.01988,,,False,
368770.KQ,FIBERPRO,KQ,749076330000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.263,0.24322,0.42658,,,False,
033640.KQ,NEPES,KQ,728670783200.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.171,0.010720001,0.19344,,,False,
452260.KS,HANWHA GALLERIA,KS,705648980400.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.104,0.047020003,0.61272,,,False,
015860.KS,ILJINHOLDINGS,KS,708136381050.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.274,0.061890002,0.15506,,,False,
389500.KQ,SBB TECH,KQ,708139560800.0,True,True,True,5,-738.0,0.0,0.0,0.0,0.0,-357.0,0.0,True,True,True,0,0,0,0,,0.379,-0.41485,0.053839996,-261.90475,,False,
092190.KQ,SEOUL VIOSYS,KQ,702703627560.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.232,0.06923,0.14421,,,False,
089890.KQ,KOSES,KQ,696568404000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
089010.KQ,CHEMTRON,KQ,678347592150.0,True,True,True,5,1996.0,2448.0,3020.0,3020.0,3020.0,3389.0,3926.0,True,True,True,1,1,0,0,2,,,,,,False,
161000.KS,AK CHEMICAL,KS,665027852030.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.03,-0.015800001,0.08157,,,False,
217590.KS,TMC,KS,663795898750.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.034,-0.02773,0.082399994,,,False,
278280.KQ,Chunbo,KQ,675632580000.0,True,True,True,5,-785.96576,-785.96576,-785.96576,-1384.4829,-618.9863,576.2722,-34.6597,True,True,True,0,0,0,0,6,0.091,-0.073699996,0.09984,93.0116,,False,
016380.KS,KG DONGBU STL,KS,654058186380.0,True,True,True,5,1613.0,1474.0,1474.0,1482.0,1941.0,1691.5,2046.0,True,True,True,0,0,0,0,2,-0.056,-0.00695,0.08652,4.0910435,,False,
017900.KS,AUK,KS,651867333750.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.073,-0.06141,0.13359,,,False,
332570.KQ,PS Electronics,KQ,662369963340.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.163,-0.04133,0.12949,,,False,
460860.KS,DONGKUK STEEL,KS,649368942530.0,True,True,True,5,228.0,228.0,228.0,490.0,490.0,476.0,817.5,True,True,True,0,0,1,1,2,-0.008,0.00088,0.085360005,28.907562,,False,
290550.KQ,DKT,KQ,651040036500.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.169,0.05284,0.08997,,,False,
