symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error,ticker
005930.KS,SamsungElec,KS,1186887403361000.0,True,True,True,5,43656.223,42877.54,34773.367,24894.336,21307.426,51203.273,22808.857,True,True,True,9.0,20.0,3.0,3.0,36.0,0.693,0.42718,0.47674,5.6637006,,True,,005930
005380.KS,HyundaiMtr,KS,106883553852000.0,True,True,True,5,44433.69,44370.844,45205.598,47006.9,47301.918,49662.477,51729.957,True,True,True,9.0,2.0,15.0,7.0,31.0,0.034,0.05475,0.17708,13.954197,,True,,005380
000660.KS,SK hynix,KS,721967495745000.0,True,True,True,5,294399.22,292667.16,215432.33,188427.95,164505.56,376562.03,176893.7,True,True,True,1.0,26.0,0.0,0.0,38.0,1.981,0.71535003,0.59647,5.154529,,True,,000660
012450.KS,HANWHA AEROSPACE,KS,70899676375000.0,True,True,True,5,44091.83,45199.93,48430.69,49191.78,49305.3,54738.91,57038.566,True,True,True,2.0,1.0,8.0,7.0,21.0,0.745,0.095249996,0.20352,23.52988,,True,,012450
000270.KS,KIA CORP.,KS,66565416159000.0,True,True,True,5,21560.646,21561.31,21946.033,21987.611,21648.334,23577.922,23789.467,True,True,True,0.0,10.0,14.0,0.0,30.0,0.035,0.065560006,0.19638,7.409474,,True,,000270
329180.KS,HD HYUNDAI HEAVY INDUSTRIES,KS,59513014575000.0,True,True,True,5,29838.547,25876.225,25351.383,25787.973,25892.525,33197.746,31809.527,True,True,True,8.0,8.0,0.0,0.0,23.0,0.296,0.1106,0.16833,20.39295,,True,,329180
028260.KS,SAMSUNG C&T,KS,49463174304000.0,True,True,True,5,17042.197,15349.875,15379.072,15398.595,15301.355,17846.936,16977.514,True,True,True,2.0,2.0,0.0,0.0,16.0,0.084,0.074939996,0.18868999,24.233852,,True,,028260
012330.KS,Mobis,KS,37472556779000.0,True,True,True,5,47602.016,47211.246,49138.7,49422.9,49620.36,53016.605,54241.125,True,True,True,0.0,4.0,19.0,0.0,29.0,0.047,0.06044,0.14446999,12.260309,,True,,012330
009150.KS,SamsungElecMech,KS,35815627232000.0,True,True,True,5,17135.057,17097.664,15394.855,14391.113,13697.6875,26290.979,17553.309,True,True,True,16.0,17.0,0.0,0.0,27.0,0.164,0.08253,0.20128,38.910686,,True,,009150
009540.KS,HDKSOE,KS,29264683466000.0,True,True,True,5,49552.133,46677.7,46477.65,47006.27,47673.945,57608.38,57270.43,True,True,True,3.0,4.0,3.0,3.0,16.0,0.138,0.12722999,0.17766,7.6290984,,True,,009540
298040.KS,HYOSUNG HEAVY,KS,25111007764000.0,True,True,True,5,85232.23,84237.31,83222.055,83222.055,83037.86,122144.38,112932.11,True,True,True,5.0,7.0,6.0,7.0,16.0,0.109,0.12913999,0.20988001,32.674446,,False,,298040
034730.KS,SK,KS,25085935238000.0,True,True,True,5,0.0,0.0,65553.0,65553.0,65553.0,0.0,31643.0,True,True,True,1.0,1.0,0.0,0.0,11.0,0.012,0.00959,0.07779,7.665479,,True,,034730
010140.KS,SamsungHvyInd,KS,25080000000000.0,True,True,True,5,1268.9396,1409.6786,1419.4332,1420.7001,1419.4591,1752.4156,1811.4968,True,True,True,1.0,1.0,10.0,10.0,23.0,0.051,0.10438,0.12904,17.17629,,False,,010140
267250.KS,HD HYUNDAI,KS,20617195185000.0,True,True,True,5,18261.09,18262.404,20244.8,19050.342,18169.4,21509.25,19305.8,True,True,True,0.0,0.0,2.0,1.0,5.0,0.096,0.10515001,0.14067,12.824852,,False,,267250
064350.KS,HYUNDAI ROTEM,KS,20333209185900.0,True,True,True,5,8464.204,8605.066,9030.035,9184.975,9184.975,12772.498,13745.6455,True,True,True,0.0,1.0,10.0,1.0,18.0,0.239,0.15383,0.23091999,16.598162,,True,,064350
066570.KS,LGELECTRONICS,KS,18927398169400.0,True,True,True,5,12337.15,11232.662,10645.68,10609.102,10590.602,15326.246,12275.664,True,True,True,4.0,11.0,1.0,2.0,26.0,0.043,0.070539996,0.23743,13.767233,,True,,066570
000720.KS,HyundaiEng&Const,KS,18874802167500.0,True,True,True,5,4849.688,4815.6255,4592.878,4581.2017,4575.9106,6559.2974,6539.734,True,True,True,1.0,8.0,4.0,0.0,20.0,0.112,0.010829999,0.06375,25.078905,,True,,000720
047810.KS,KOREA AEROSPACE,KS,18559260372800.0,True,True,True,5,3583.6267,3862.306,3777.8882,3931.9138,4107.164,5271.2183,5316.625,True,True,True,1.0,1.0,8.0,7.0,22.0,0.34,0.05248,0.15213999,31.358974,,False,,047810
033780.KS,KT&G,KS,18004233265000.0,True,True,True,5,12350.186,11379.446,11383.99,11363.422,10979.234,13131.3955,12489.548,True,True,True,12.0,12.0,1.0,0.0,19.0,0.101,0.14175001,0.47486,14.332064,,True,,033780
003670.KS,POSCO FUTURE M,KS,17611351560000.0,True,True,True,5,572.8413,562.2481,475.23624,522.2531,520.81104,1181.7495,1324.4316,True,True,True,1.0,1.0,1.0,1.0,26.0,-0.229,-0.09328,0.0865,207.74284,,True,,003670
086280.KS,HYUNDAIGLOVIS,KS,17287500000000.0,True,True,True,5,22636.182,22643.36,23849.42,23792.969,23792.969,24341.553,25385.6,True,True,True,3.0,4.0,11.0,12.0,20.0,0.082,0.066750005,0.092130005,10.845652,,True,,086280
017670.KS,SKTelecom,KS,16796582144600.0,True,True,True,5,5615.436,5511.464,5529.019,5513.6987,5530.29,6133.326,5837.6836,True,True,True,10.0,12.0,4.0,3.0,25.0,-0.014,0.1224,0.70408994,16.892765,,True,,017670
079550.KS,LIG Defense&Aerospace,KS,15444000000000.0,True,True,True,5,17714.594,17475.477,17369.346,17052.611,18510.738,24279.178,24473.82,True,True,True,5.0,6.0,4.0,4.0,20.0,0.203,0.02785,0.15389,36.20386,,False,,079550
