ticker,name,market,mc_krw,g_score,rev_z,oca_z,v_score,q_score,m_score,composite_score,composite_rank,ntm_score,s_7,s_30,s_60,s_90,rev_net30,na,fwd_pe
005930,SamsungElec,KS,1186887403361000.0,0.3533,0.2314,0.4204,-0.3618,1.0987,1.5776,0.6133,67,0.6307960826158298,0.018160626752374256,0.2554499827411018,0.7536608728989598,1.0488736180522227,17.0,36.0,5.6637006
005380,HyundaiMtr,KS,106883553852000.0,-0.3166,-0.0786,-0.5018,0.556,-0.6015,1.9788,0.5029,86,-0.03707505215413083,0.001416380540338719,-0.017075495826866308,-0.05474111247497706,-0.06063661097209622,-13.0,31.0,13.954197
000660,SK hynix,KS,721967495745000.0,1.835,1.4314,1.9459,-1.0488,2.3955,2.0834,1.477,5,0.4894704247752417,0.005918190479587794,0.36655078650451395,0.5623967675708405,0.7896004244476599,26.0,38.0,5.154529
012450,HANWHA AEROSPACE,KS,70899676375000.0,1.5394,2.2102,0.6232,-0.2526,0.4111,-0.5887,0.6321,60,-0.07955031316053796,-0.024515524692184227,-0.0895890601599936,-0.10367484160971603,-0.10573853115182345,-7.0,21.0,23.52988
000270,KIA CORP.,KS,66565416159000.0,-0.7253,-0.0846,-1.2477,1.2047,0.8773,0.6936,-0.0101,187,-0.005732431965382041,-3.079590247534446e-05,-0.017560668025970744,-0.01941843522700125,-0.004050565738684477,-4.0,30.0,7.409474
329180,HD HYUNDAI HEAVY INDUSTRIES,KS,59513014575000.0,0.9841,0.6759,1.1361,-0.6159,0.8885,0.0524,0.4646,90,0.15554491325446684,0.15312596794934347,0.17699878543115366,0.15707221346943387,0.1524000459592101,8.0,23.0,20.39295
028260,SAMSUNG C&T,KS,49463174304000.0,-0.3909,-0.6988,-0.0183,0.3045,-0.4628,1.0228,0.1375,155,0.11144811311074346,0.11024988802840414,0.10814209075814198,0.10673714062873924,0.1137704471270682,2.0,16.0,24.233852
012330,Mobis,KS,37472556779000.0,-0.0538,-0.0483,-0.0488,0.769,0.0365,1.2325,0.4555,91,-0.024666275217937086,0.00827705331056088,-0.0312723779831374,-0.03684292099411403,-0.04067572262676041,-15.0,29.0,12.260309
009150,SamsungElecMech,KS,35815627232000.0,0.2255,0.1515,0.2652,-1.1523,0.4305,1.9406,0.5333,81,0.15649945136638216,0.0021870239115706117,0.11303789480316646,0.1906693387787311,0.25094524166944243,17.0,27.0,38.910686
009540,HDKSOE,KS,29264683466000.0,0.8877,0.5103,1.1245,0.7135,0.8913,-0.8489,0.3406,108,0.050203373119106304,0.06158043348322657,0.06614970851581352,0.054160072688175534,0.039396529907478856,1.0,16.0,7.6290984
298040,HYOSUNG HEAVY,KS,25111007764000.0,0.9542,0.6988,1.0582,-1.4024,0.9817,1.6505,0.8096,34,0.02158721570976791,0.011810918463564402,0.0241543542754382,0.0241543542754382,0.026426138631221896,1.0,16.0,32.674446
010140,SamsungHvyInd,KS,25080000000000.0,0.2269,0.0121,0.4072,-0.4184,0.2643,0.5529,0.2279,130,-0.10425578078865266,-0.09983765093688735,-0.10602372834452514,-0.10682092582382453,-0.10604004018150301,-9.0,23.0,17.17629
267250,HD HYUNDAI,KS,20617195185000.0,0.3224,-0.176,0.771,1.0846,0.4107,1.1706,0.6912,54,-0.011439982677767382,-7.1951096909174e-05,-0.09798614952975575,-0.04142980740188289,0.005046396688938472,-2.0,5.0,12.824852
064350,HYUNDAI ROTEM,KS,20333209185900.0,1.4234,1.0643,1.5558,-0.4303,1.1271,-0.3162,0.6235,64,-0.05826069677354748,-0.016369659454093785,-0.06266099743799444,-0.07847283198919983,-0.07847283198919983,-9.0,18.0,16.598162
066570,LGELECTRONICS,KS,18927398169400.0,-0.5931,-0.436,-0.6531,0.1561,0.3756,0.5448,-0.1394,215,0.1441330673791161,0.09832825024023685,0.15888792449143685,0.16288353151850163,0.16491489341210241,10.0,26.0,13.767233
000720,HyundaiEng&Const,KS,18874802167500.0,0.2218,-0.7863,1.1962,0.2179,-1.0265,0.9682,0.4451,93,0.0434891633041665,0.0070733282727238654,0.055914831615383735,0.05860608582241653,0.05983014615713863,4.0,20.0,25.078905
047810,KOREA AEROSPACE,KS,18559260372800.0,-0.2743,-0.4293,-0.0732,-0.7342,-0.9686,-0.0681,-0.2814,248,-0.0993807484167736,-0.07215360460823152,-0.05142065876909753,-0.08857953600101813,-0.12746929511458516,-7.0,22.0,31.358974
033780,KT&G,KS,18004233265000.0,0.2349,0.2626,0.1715,0.0823,0.5074,0.2695,0.2224,132,0.10519680505513104,0.08530643758931672,0.0848732298605322,0.08683687009071732,0.12486772756642214,11.0,19.0,14.332064
003670,POSCO FUTURE M,KS,17611351560000.0,-0.8183,-1.4484,-0.0549,-1.182,-1.4502,0.0299,-0.6184,285,0.0858281739759228,0.018840792881292128,0.2053821905501147,0.09686529385847595,0.0999023753413522,0.0,26.0,207.74284
086280,HYUNDAIGLOVIS,KS,17287500000000.0,0.0597,-0.2626,0.3743,0.887,1.0852,0.9319,0.4455,92,-0.03435349149377431,-0.000317002423668567,-0.05087075492821199,-0.04861885878975424,-0.04861885878975424,-7.0,20.0,10.845652
017670,SKTelecom,KS,16796582144600.0,-0.9295,-0.77,-0.9378,0.2732,1.2379,0.7728,-0.2384,235,0.016765698416678725,0.018864679148770592,0.015629716591677376,0.018451733679245075,0.015396299289910606,8.0,25.0,16.892765
079550,LIG Defense&Aerospace,KS,15444000000000.0,0.7116,1.033,0.2778,-0.9979,-0.4325,0.3647,0.3511,105,-0.011530333002201137,0.013683002758665873,0.01987685661855084,0.0388200375883787,-0.04300984650098771,2.0,20.0,36.20386
030200,KT,KS,14944885920500.0,0.3851,-0.0362,0.7466,1.5784,1.5483,-0.8093,0.2058,134,-0.015667716434769448,-0.013065240508981689,-0.023653208693164993,-0.03343328511231427,-0.012078989803054031,-6.0,24.0,9.125038
003550,LG Corp.,KS,13957053442500.0,-0.4034,-0.456,-0.2842,0.2737,-1.0482,-0.5052,-0.3324,256,0.09641420918688624,0.09937676740633164,0.10507301804957304,0.11220179841999212,0.08974739463606048,1.0,13.0,10.829816
047050,POSCO INTERNATIONAL,KS,12631256178400.0,-0.3595,-0.531,-0.1283,0.9026,0.3113,-0.0681,-0.0828,209,0.12541033435340623,0.10650308296579117,0.11949793535210032,0.13584935988076474,0.13584935988076474,5.0,12.0,14.057246
